Employment_Sector,Employment_Tenure_Months,Net_Salary_Per_Cutoff,Salary_Frequency,Housing_Status,Years_at_Current_Address,Household_Head,Number_of_Dependents,Comaker_Relationship,Comaker_Employment_Tenure_Months,Comaker_Net_Salary_Per_Cutoff,Has_Community_Role,Paluwagan_Participation,Other_Income_Source,Disaster_Preparedness,Is_Renewing_Client,Default
Public,51,43099.61,Biweekly,Rented,2.8,No,5,Friend,58,21835.8,No,No,OFW Remittance,Savings,0,1
Private,111,20468.1,Bimonthly,Rented,8.0,Yes,5,Sibling,14,15783.37,No,Yes,Business,None,0,0
Private,57,25021.78,Weekly,Rented,2.6,Yes,2,Friend,89,32506.55,No,Yes,None,Savings,0,1
Private,70,16017.35,Weekly,Owned,6.5,No,3,Sibling,68,26911.15,No,No,None,Insurance,0,0
Private,110,19604.44,Biweekly,Owned,7.6,No,4,Parent,82,28889.82,No,No,None,Community Plan,0,0
Public,111,32905.3,Monthly,Owned,7.9,Yes,3,Sibling,15,36910.44,No,Yes,OFW Remittance,Insurance,0,0
Private,44,28799.61,Weekly,Rented,9.9,No,3,Spouse,18,35417.36,No,Yes,Freelance,None,0,0
Public,13,21856.87,Biweekly,Owned,0.7,No,5,Sibling,59,34011.54,No,No,Freelance,None,0,1
Public,93,33591.32,Bimonthly,Rented,0.9,Yes,5,Sibling,60,21951.49,Yes,Yes,Freelance,None,0,0
Public,54,42795.91,Biweekly,Rented,7.0,Yes,3,Parent,30,39644.82,Yes,No,None,None,0,0
Private,38,24598.98,Weekly,Owned,8.6,No,3,Sibling,61,24905.49,Yes,Yes,Freelance,Insurance,0,0
Public,90,32173.21,Weekly,Owned,7.9,Yes,3,Parent,112,17830.29,Yes,Yes,Freelance,None,0,0
Private,23,30499.91,Biweekly,Owned,1.1,No,4,Parent,18,24662.67,Yes,No,OFW Remittance,Insurance,0,0
Private,41,27601.45,Monthly,Owned,9.9,No,1,Friend,53,36475.26,No,Yes,OFW Remittance,Savings,0,1
Public,17,24668.5,Monthly,Rented,5.6,No,5,Parent,42,30119.28,Yes,Yes,OFW Remittance,Community Plan,0,0
Public,61,33141.91,Biweekly,Owned,7.3,No,5,Spouse,111,39574.97,Yes,No,Freelance,Savings,0,0
Public,85,36868.63,Bimonthly,Rented,4.0,No,5,Friend,18,27378.03,No,Yes,OFW Remittance,Savings,0,0
Private,19,33401.83,Bimonthly,Rented,8.9,No,4,Friend,62,24345.51,Yes,No,Business,None,0,1
Public,43,42056.7,Bimonthly,Rented,6.6,Yes,2,Spouse,46,38435.98,No,No,None,None,0,0
Private,93,23077.83,Weekly,Rented,6.7,No,0,Parent,66,34854.45,No,Yes,Freelance,Insurance,0,0
Private,24,16098.95,Monthly,Rented,9.9,No,1,Spouse,12,21630.04,Yes,Yes,OFW Remittance,Insurance,0,0
Public,92,25708.67,Bimonthly,Rented,8.6,Yes,5,Parent,62,15976.97,No,No,Business,None,0,0
Public,114,26698.99,Biweekly,Rented,8.2,Yes,4,Spouse,104,30839.28,Yes,Yes,OFW Remittance,None,0,0
Public,77,18360.01,Monthly,Rented,9.2,Yes,4,Friend,118,31619.69,No,No,Business,Insurance,0,1
Private,51,39680.64,Biweekly,Owned,9.1,No,0,Spouse,31,36458.62,No,Yes,None,Community Plan,0,0
Private,63,22672.53,Bimonthly,Rented,9.4,Yes,0,Friend,67,27551.24,Yes,No,Business,Community Plan,0,0
Private,20,32043.8,Monthly,Rented,5.9,No,5,Spouse,14,43570.19,Yes,Yes,OFW Remittance,Savings,0,0
Public,95,38427.16,Bimonthly,Owned,4.4,No,3,Sibling,50,23454.82,Yes,No,OFW Remittance,None,0,0
Public,18,26817.83,Bimonthly,Rented,9.1,Yes,3,Parent,38,23178.74,No,No,Freelance,None,0,0
Private,45,18487.35,Biweekly,Rented,2.6,No,3,Friend,75,27639.39,No,Yes,Business,Savings,0,0
Private,61,17362.03,Bimonthly,Rented,0.5,No,4,Friend,29,42982.8,Yes,Yes,OFW Remittance,None,0,0
Private,99,40171.89,Biweekly,Rented,1.5,No,1,Parent,19,44575.78,Yes,Yes,None,None,0,0
Public,70,25393.19,Weekly,Owned,5.2,No,2,Friend,64,16807.24,No,Yes,None,Community Plan,0,0
Public,101,17872.16,Monthly,Rented,3.9,No,0,Spouse,54,34830.12,Yes,Yes,Freelance,Community Plan,0,0
Private,109,33131.87,Bimonthly,Rented,8.7,Yes,4,Spouse,29,15746.37,No,No,None,None,0,0
Public,45,41065.55,Weekly,Owned,8.4,No,4,Sibling,55,36735.96,No,Yes,Freelance,None,0,0
Private,37,19480.43,Bimonthly,Rented,8.9,Yes,4,Spouse,88,22509.03,Yes,Yes,OFW Remittance,None,0,0
Public,99,26761.9,Monthly,Rented,2.4,Yes,3,Friend,44,19703.16,No,Yes,OFW Remittance,Community Plan,0,1
Private,10,29572.57,Bimonthly,Owned,4.9,Yes,3,Spouse,81,21923.6,Yes,Yes,OFW Remittance,Community Plan,0,0
Private,36,25226.93,Biweekly,Rented,0.9,No,5,Parent,57,20310.07,Yes,Yes,Freelance,None,0,0
Private,18,41589.95,Bimonthly,Owned,7.4,Yes,5,Spouse,100,32712.78,Yes,Yes,OFW Remittance,Insurance,0,0
Private,13,21895.78,Bimonthly,Owned,3.8,Yes,4,Parent,105,40662.51,Yes,No,OFW Remittance,None,0,0
Public,37,33946.13,Bimonthly,Owned,7.0,No,4,Parent,109,24349.06,No,No,None,Savings,0,0
Public,72,23017.03,Biweekly,Owned,1.7,Yes,4,Spouse,87,28822.53,No,No,Freelance,None,0,0
Public,14,22285.64,Bimonthly,Owned,1.1,Yes,2,Spouse,118,26488.82,No,Yes,Freelance,Insurance,0,0
Public,62,29406.72,Weekly,Owned,7.9,No,1,Parent,19,22246.99,No,No,OFW Remittance,None,0,0
Public,59,30743.11,Monthly,Owned,2.9,Yes,0,Parent,38,44988.12,Yes,Yes,OFW Remittance,Savings,0,0
Public,7,28965.16,Bimonthly,Rented,3.3,Yes,0,Friend,110,16177.31,Yes,Yes,None,Insurance,0,0
Private,16,30913.4,Monthly,Owned,1.2,Yes,3,Parent,65,43734.39,No,Yes,OFW Remittance,Savings,0,0
Public,99,18746.36,Monthly,Rented,3.8,Yes,2,Friend,60,39351.15,Yes,Yes,None,Insurance,0,1
Public,101,27093.7,Weekly,Rented,1.9,Yes,2,Sibling,80,29801.06,Yes,Yes,None,Community Plan,0,0
Public,45,41254.39,Bimonthly,Owned,1.5,No,3,Spouse,99,39762.62,Yes,No,Business,Savings,0,0
Public,94,26782.47,Weekly,Owned,8.5,Yes,0,Sibling,59,28023.06,No,No,OFW Remittance,Savings,0,0
Private,21,39803.0,Biweekly,Owned,0.3,Yes,5,Parent,103,28762.01,No,No,Business,None,0,0
Public,114,24172.43,Biweekly,Rented,2.4,No,5,Spouse,34,44892.13,No,No,None,Savings,0,0
Public,68,19916.88,Biweekly,Rented,5.0,Yes,0,Friend,80,38173.97,No,No,OFW Remittance,Savings,0,1
Public,48,25810.48,Weekly,Owned,7.8,No,4,Friend,79,42800.58,No,No,OFW Remittance,Insurance,0,0
Private,101,35805.02,Biweekly,Owned,9.5,Yes,4,Friend,37,26828.46,No,Yes,Business,Community Plan,0,0
Public,45,24329.93,Monthly,Owned,2.5,Yes,0,Friend,34,35872.92,Yes,Yes,Freelance,Community Plan,0,0
Public,52,33585.02,Bimonthly,Owned,8.6,Yes,4,Spouse,94,24106.01,No,No,OFW Remittance,Insurance,0,0
Private,58,24569.08,Biweekly,Rented,3.7,Yes,4,Friend,104,37557.15,No,Yes,Business,None,0,0
Public,24,39048.69,Weekly,Owned,8.4,No,0,Sibling,112,25616.29,No,Yes,OFW Remittance,Savings,0,0
Public,89,21836.25,Biweekly,Owned,6.1,Yes,4,Spouse,103,24019.93,Yes,No,None,Community Plan,0,0
Private,73,36250.61,Bimonthly,Owned,6.0,Yes,0,Friend,53,16260.17,Yes,Yes,OFW Remittance,None,0,0
Private,22,44384.89,Weekly,Owned,7.6,No,1,Spouse,13,24716.2,Yes,Yes,Business,Insurance,0,0
Public,55,42191.6,Monthly,Owned,0.5,No,0,Spouse,101,22811.53,Yes,No,None,Community Plan,0,0
Public,94,37289.62,Monthly,Rented,8.7,No,2,Spouse,103,41496.49,Yes,No,OFW Remittance,None,0,0
Private,56,29674.84,Weekly,Rented,9.9,No,1,Parent,56,30555.66,No,No,Business,None,0,0
Private,96,25053.44,Monthly,Rented,6.7,No,2,Friend,113,29636.71,Yes,Yes,None,Savings,0,0
Public,117,34647.8,Weekly,Owned,6.2,Yes,5,Parent,41,21329.66,Yes,Yes,OFW Remittance,Savings,0,0
Private,78,19655.89,Biweekly,Rented,3.3,No,3,Spouse,40,40187.19,No,Yes,Business,Community Plan,0,0
Private,44,35903.9,Bimonthly,Owned,1.9,Yes,5,Friend,76,19705.73,Yes,No,Freelance,Savings,0,0
Private,61,27989.1,Weekly,Rented,6.0,No,2,Spouse,59,16180.14,No,Yes,None,Insurance,0,0
Private,97,30412.04,Biweekly,Rented,1.5,No,4,Sibling,36,42822.83,No,Yes,Freelance,Community Plan,0,0
Public,102,18346.27,Monthly,Rented,6.3,Yes,1,Sibling,50,22714.83,Yes,Yes,None,None,0,0
Public,6,19964.07,Bimonthly,Rented,4.9,No,3,Sibling,120,18941.14,Yes,Yes,None,Community Plan,0,1
Public,114,34326.93,Weekly,Rented,9.7,Yes,4,Friend,106,32003.88,Yes,No,None,Savings,0,0
Private,9,29265.6,Monthly,Owned,9.0,Yes,1,Sibling,85,27807.29,Yes,Yes,Business,None,0,0
Public,56,32260.45,Bimonthly,Owned,5.9,Yes,3,Parent,85,19105.22,No,Yes,Business,Savings,0,0
Private,25,16701.66,Biweekly,Rented,7.9,Yes,1,Sibling,71,23078.07,Yes,No,Business,Community Plan,0,1
Public,39,36111.04,Weekly,Rented,9.5,Yes,1,Spouse,19,43700.97,Yes,Yes,None,Community Plan,0,0
Private,84,39940.3,Monthly,Owned,0.1,No,1,Parent,18,17778.3,Yes,No,Freelance,Community Plan,0,0
Private,114,35818.91,Biweekly,Owned,4.1,No,0,Parent,48,42030.33,Yes,Yes,None,Insurance,0,0
Public,30,36851.02,Bimonthly,Rented,4.6,No,0,Parent,103,34282.01,Yes,Yes,None,None,0,0
Private,30,34020.08,Biweekly,Owned,7.2,No,1,Friend,65,33033.13,Yes,No,None,None,0,0
Public,120,43961.58,Monthly,Owned,3.6,No,3,Parent,38,29391.24,Yes,Yes,None,Community Plan,0,0
Private,65,18244.87,Biweekly,Rented,5.0,Yes,5,Spouse,64,32107.65,No,No,OFW Remittance,None,0,0
Private,107,15084.76,Monthly,Rented,9.3,No,5,Sibling,27,37087.22,No,Yes,Freelance,None,0,0
Private,19,44138.85,Weekly,Owned,4.5,No,2,Parent,93,36381.27,No,No,Freelance,Savings,0,0
Private,87,44941.57,Biweekly,Owned,7.5,Yes,0,Spouse,103,21617.34,Yes,No,Freelance,Community Plan,0,0
Public,51,43833.24,Biweekly,Rented,5.6,No,3,Friend,101,33790.03,Yes,Yes,Business,Insurance,0,0
Public,77,43032.34,Monthly,Rented,0.4,Yes,2,Parent,85,32526.9,No,No,OFW Remittance,Insurance,0,0
Public,7,30303.16,Monthly,Owned,3.3,No,0,Parent,25,22130.27,Yes,Yes,Freelance,Insurance,0,0
Private,80,38048.31,Monthly,Rented,1.2,Yes,0,Friend,50,22931.58,No,No,Freelance,Savings,0,0
Public,100,21956.6,Weekly,Owned,1.6,No,4,Friend,42,26405.44,Yes,No,Business,None,0,0
Private,88,28261.56,Weekly,Rented,4.6,No,4,Friend,62,33387.44,No,Yes,Business,Community Plan,0,0
Public,107,21848.55,Weekly,Rented,9.7,Yes,4,Sibling,77,37096.38,No,No,OFW Remittance,Savings,0,0
Private,11,35433.62,Biweekly,Owned,2.5,Yes,3,Friend,63,33824.16,No,No,None,Savings,0,0
Public,55,36447.82,Monthly,Rented,0.8,No,4,Friend,88,44434.5,No,No,None,None,0,0
Public,119,41846.9,Monthly,Owned,1.1,Yes,5,Friend,117,21059.33,No,Yes,Business,Savings,0,0
Private,46,40565.56,Bimonthly,Owned,8.0,No,3,Parent,66,29244.36,Yes,Yes,OFW Remittance,None,0,0
Public,47,41960.6,Bimonthly,Owned,9.7,No,1,Sibling,81,41802.37,No,No,OFW Remittance,Savings,0,0
Public,35,16329.93,Bimonthly,Rented,0.9,No,2,Friend,82,17994.61,No,No,Business,None,0,0
Public,106,32143.48,Weekly,Rented,7.8,Yes,1,Parent,19,18066.15,Yes,No,None,Insurance,0,0
Public,117,27305.07,Biweekly,Owned,7.7,Yes,0,Parent,90,32869.09,Yes,No,OFW Remittance,Community Plan,0,0
Public,75,15582.9,Monthly,Rented,6.5,No,4,Spouse,20,29450.62,Yes,Yes,Freelance,Savings,0,0
Public,120,33343.71,Weekly,Owned,1.7,No,1,Friend,108,36694.39,No,No,Freelance,Savings,0,0
Public,100,16242.01,Weekly,Owned,7.3,Yes,3,Sibling,67,43489.08,Yes,No,Freelance,None,0,1
Private,89,25749.39,Bimonthly,Owned,2.7,No,1,Spouse,40,33469.52,No,Yes,Business,Insurance,0,0
Private,101,34371.58,Monthly,Rented,6.5,No,1,Spouse,36,27462.14,No,Yes,Freelance,Insurance,0,0
Public,14,27985.28,Monthly,Rented,2.8,No,4,Spouse,57,40303.35,No,No,Freelance,Insurance,0,0
Private,43,26822.76,Weekly,Owned,6.3,No,0,Spouse,39,23629.23,Yes,Yes,OFW Remittance,Community Plan,0,0
Private,75,23029.18,Bimonthly,Owned,8.4,Yes,3,Spouse,58,23043.08,Yes,Yes,None,Insurance,0,0
Public,82,37091.72,Monthly,Rented,1.7,Yes,5,Friend,65,42319.33,No,No,Business,Savings,0,0
Private,44,22773.84,Biweekly,Rented,5.1,Yes,4,Parent,91,15580.18,No,No,OFW Remittance,Community Plan,0,0
Public,110,43862.36,Biweekly,Rented,3.3,Yes,4,Friend,87,18288.59,No,Yes,Freelance,None,0,0
Private,52,42405.01,Bimonthly,Owned,6.1,No,4,Sibling,103,18163.92,Yes,Yes,OFW Remittance,Community Plan,0,0
Public,21,23715.2,Biweekly,Rented,7.5,No,2,Spouse,15,36777.48,Yes,No,Freelance,Savings,0,0
Public,91,34871.99,Monthly,Rented,5.4,No,0,Friend,46,26819.69,Yes,No,Business,Insurance,0,0
Public,89,41591.18,Weekly,Rented,2.0,No,1,Friend,52,43247.94,No,Yes,Business,Savings,0,0
Private,97,29316.0,Monthly,Owned,8.6,No,4,Parent,120,17254.57,No,No,OFW Remittance,Savings,0,0
Private,22,35250.01,Weekly,Rented,5.2,Yes,4,Parent,43,36004.46,Yes,No,Business,None,0,0
Private,41,24314.2,Monthly,Rented,9.9,No,3,Parent,103,42902.83,No,Yes,None,Savings,0,1
Private,81,32882.09,Weekly,Rented,7.2,Yes,0,Spouse,49,44974.37,Yes,Yes,Freelance,Savings,0,0
Private,96,23088.23,Bimonthly,Rented,4.9,Yes,1,Friend,27,26045.2,Yes,Yes,Freelance,Community Plan,0,0
Private,14,15167.5,Monthly,Rented,6.9,No,2,Parent,101,22547.72,No,No,None,Savings,0,0
Public,51,30776.78,Monthly,Rented,5.9,No,2,Spouse,22,20867.49,No,No,Business,Insurance,0,0
Public,18,23268.73,Monthly,Owned,0.6,Yes,1,Parent,84,40379.92,Yes,No,Freelance,Community Plan,0,0
Public,62,36850.23,Weekly,Owned,3.4,No,2,Friend,114,44068.32,No,Yes,None,Community Plan,0,0
Private,60,25909.92,Weekly,Rented,8.6,No,5,Friend,40,42622.65,Yes,Yes,OFW Remittance,None,0,0
Private,70,39073.22,Monthly,Owned,9.9,Yes,3,Friend,22,29301.19,No,Yes,OFW Remittance,Community Plan,0,0
Public,27,41564.7,Bimonthly,Rented,8.0,Yes,4,Sibling,21,35617.1,Yes,Yes,Freelance,Savings,0,0
Public,109,37149.13,Weekly,Owned,4.0,Yes,5,Sibling,106,27849.8,No,No,Freelance,Insurance,0,0
Private,8,36099.71,Monthly,Owned,6.7,No,0,Sibling,16,43020.85,No,Yes,OFW Remittance,None,0,0
Public,79,24377.03,Bimonthly,Rented,7.0,No,2,Friend,65,42796.75,No,Yes,None,None,0,0
Public,71,17791.94,Weekly,Owned,3.4,Yes,2,Parent,71,18198.38,No,Yes,Business,Savings,0,0
Public,105,21962.65,Bimonthly,Rented,7.2,No,4,Sibling,34,20332.78,No,No,Freelance,Savings,0,0
Public,21,17325.49,Biweekly,Rented,4.3,No,1,Spouse,114,42899.53,Yes,No,OFW Remittance,Community Plan,0,1
Public,119,41733.71,Bimonthly,Rented,9.0,Yes,5,Parent,12,35784.83,No,Yes,Business,Insurance,0,0
Private,116,25608.06,Weekly,Rented,9.7,Yes,0,Parent,88,36051.05,Yes,No,Freelance,Insurance,0,0
Public,53,19425.93,Bimonthly,Rented,4.6,No,2,Spouse,25,20882.15,Yes,Yes,None,Insurance,0,0
Public,87,30666.07,Biweekly,Rented,9.1,No,1,Spouse,10,25795.16,Yes,Yes,None,Insurance,0,0
Public,40,27228.43,Monthly,Rented,3.7,No,1,Parent,87,35201.31,No,Yes,Business,Savings,0,0
Public,92,27497.41,Weekly,Rented,3.9,Yes,2,Sibling,100,26726.29,Yes,No,Business,Community Plan,0,0
Public,10,27976.21,Monthly,Rented,7.9,Yes,2,Parent,26,23534.88,Yes,Yes,None,None,0,0
Public,77,17079.19,Monthly,Rented,1.0,No,0,Sibling,106,37189.68,Yes,No,Freelance,Insurance,0,0
Public,20,25456.98,Biweekly,Owned,7.4,Yes,2,Parent,61,29102.86,Yes,No,None,Insurance,0,1
Private,111,28212.41,Biweekly,Owned,7.8,Yes,4,Spouse,115,24104.31,Yes,Yes,None,None,0,0
Public,76,33450.1,Bimonthly,Rented,1.5,No,1,Friend,12,16578.39,Yes,Yes,None,Community Plan,0,0
Private,73,29815.53,Biweekly,Rented,2.8,No,4,Spouse,27,24920.84,Yes,No,None,None,0,0
Private,15,21204.39,Bimonthly,Owned,3.8,Yes,0,Sibling,34,43891.59,Yes,Yes,Freelance,Insurance,0,0
Public,52,24862.08,Biweekly,Owned,2.8,No,1,Sibling,33,22902.22,No,No,OFW Remittance,None,0,0
Private,49,38114.66,Weekly,Owned,5.1,No,3,Parent,46,22817.15,No,Yes,None,None,0,0
Public,35,24514.45,Weekly,Rented,9.6,Yes,3,Friend,106,22157.09,Yes,No,None,None,0,1
Private,101,21723.08,Monthly,Rented,0.5,No,4,Sibling,52,17155.6,Yes,No,None,None,0,0
Public,102,36442.82,Biweekly,Owned,6.8,No,2,Friend,56,24287.06,Yes,No,Business,Savings,0,0
Private,30,41301.29,Weekly,Owned,9.8,Yes,3,Parent,113,36533.98,No,No,OFW Remittance,Insurance,0,0
Public,49,25342.43,Weekly,Owned,2.0,Yes,4,Parent,39,42030.82,Yes,Yes,Business,Savings,0,0
Private,120,27242.34,Monthly,Owned,9.8,Yes,2,Parent,88,16809.07,No,No,OFW Remittance,Savings,0,0
Public,36,38529.52,Weekly,Owned,3.8,No,5,Parent,18,21222.9,Yes,No,None,Community Plan,0,0
Private,24,36137.31,Weekly,Owned,7.3,No,1,Sibling,109,19179.84,No,No,None,Savings,0,0
Public,85,35844.64,Weekly,Owned,2.2,Yes,1,Spouse,94,33864.92,No,No,OFW Remittance,Insurance,0,0
Public,47,42727.8,Bimonthly,Owned,9.5,Yes,2,Friend,109,16877.3,Yes,Yes,OFW Remittance,Savings,0,0
Public,13,21266.74,Weekly,Rented,6.1,No,2,Parent,68,38138.5,No,Yes,OFW Remittance,Insurance,0,0
Private,71,41041.18,Bimonthly,Owned,5.6,No,4,Parent,115,26443.97,Yes,No,Freelance,Savings,0,0
Public,82,31730.72,Biweekly,Rented,7.0,Yes,0,Parent,53,41618.2,No,No,None,None,0,1
Public,90,39012.04,Weekly,Owned,6.7,Yes,2,Spouse,59,28067.22,Yes,No,Freelance,Savings,0,0
Private,117,38391.7,Monthly,Owned,8.0,Yes,4,Spouse,104,34538.13,No,Yes,None,Savings,0,0
