Employment_Sector,Employment_Tenure_Months,Net_Salary_Per_Cutoff,Salary_Frequency,Housing_Status,Years_at_Current_Address,Household_Head,Number_of_Dependents,Comaker_Relationship,Comaker_Employment_Tenure_Months,Comaker_Net_Salary_Per_Cutoff,Has_Community_Role,Paluwagan_Participation,Other_Income_Source,Disaster_Preparedness,Is_Renewing_Client,Default
Public,28,19118.59,Weekly,Owned,4.4,No,5,Spouse,76,23812.59,Yes,Yes,Freelance,Savings,0,1
Private,42,38214.61,Bimonthly,Owned,2.4,No,2,Parent,50,36431.17,No,Yes,Freelance,None,0,0
Public,95,41288.29,Weekly,Rented,6.6,Yes,5,Spouse,37,29503.59,No,Yes,Freelance,Insurance,0,0
Public,48,28830.81,Bimonthly,Rented,6.0,No,0,Spouse,19,38336.4,No,Yes,OFW Remittance,Savings,0,0
Private,73,38943.5,Monthly,Rented,3.0,No,3,Spouse,50,42611.07,No,Yes,Business,None,0,0
Private,50,32900.83,Bimonthly,Owned,8.6,No,3,Parent,100,36428.71,Yes,No,OFW Remittance,Community Plan,0,0
Public,70,27528.84,Bimonthly,Owned,1.9,Yes,3,Parent,117,28833.84,Yes,No,Business,None,0,0
Public,112,24406.67,Biweekly,Owned,1.2,Yes,5,Parent,31,43110.8,Yes,Yes,Freelance,Community Plan,0,0
Private,62,32254.44,Weekly,Rented,2.7,Yes,3,Spouse,99,16164.66,No,No,None,Community Plan,0,0
Public,73,17263.1,Weekly,Owned,1.0,No,3,Sibling,55,22281.73,No,No,Business,Community Plan,0,1
Public,23,25818.17,Monthly,Owned,5.1,No,5,Sibling,78,25608.98,No,Yes,Business,None,0,0
Private,118,31898.22,Biweekly,Owned,2.2,No,1,Friend,98,26215.15,Yes,Yes,Business,Community Plan,0,0
Private,51,22067.31,Monthly,Rented,6.9,Yes,3,Spouse,115,39595.78,No,No,None,Insurance,0,1
Public,105,22816.85,Weekly,Owned,1.0,No,2,Sibling,24,16811.76,No,No,Business,Savings,0,0
Private,41,44861.6,Weekly,Rented,2.0,Yes,1,Friend,84,39552.28,No,No,None,None,0,0
Public,96,43783.16,Biweekly,Rented,3.3,Yes,4,Spouse,24,30361.85,Yes,Yes,None,Community Plan,0,0
Public,54,15003.1,Weekly,Owned,3.9,Yes,2,Sibling,16,34864.59,No,Yes,Business,Insurance,0,0
Private,60,16674.32,Bimonthly,Owned,4.8,No,1,Sibling,64,29429.27,No,No,None,Community Plan,0,0
Private,106,26231.19,Bimonthly,Owned,4.3,No,2,Sibling,103,27930.21,Yes,Yes,Freelance,Insurance,0,0
Private,73,19550.11,Monthly,Owned,0.8,Yes,2,Sibling,19,41062.95,No,Yes,OFW Remittance,Insurance,0,0
Public,9,30568.34,Biweekly,Owned,1.4,Yes,5,Spouse,76,33152.27,No,Yes,OFW Remittance,Savings,0,0
Private,75,15327.53,Monthly,Rented,5.2,Yes,2,Friend,56,24847.48,Yes,No,OFW Remittance,None,0,0
Private,56,40462.3,Biweekly,Rented,8.1,No,2,Friend,19,31903.9,No,No,Business,Community Plan,0,0
Private,70,27700.4,Bimonthly,Owned,0.8,No,0,Parent,112,38491.24,Yes,Yes,Business,None,0,0
Private,42,27772.76,Biweekly,Owned,7.1,No,3,Spouse,75,26259.13,Yes,Yes,Freelance,None,0,0
Private,15,25329.67,Weekly,Rented,7.6,No,2,Spouse,11,35428.94,Yes,Yes,Freelance,Savings,0,1
Private,87,29520.39,Bimonthly,Owned,5.9,No,1,Spouse,84,40793.95,Yes,Yes,OFW Remittance,Insurance,0,0
Private,72,39814.53,Biweekly,Rented,2.5,No,4,Spouse,104,18385.92,Yes,Yes,None,Insurance,0,0
Private,75,19574.55,Bimonthly,Owned,2.3,Yes,3,Friend,48,44138.49,No,Yes,None,Savings,0,0
Private,28,42852.53,Biweekly,Rented,0.1,Yes,1,Parent,106,32434.02,No,Yes,Business,Community Plan,0,0
Private,93,26944.41,Monthly,Owned,6.6,No,0,Friend,72,20606.0,No,Yes,None,Savings,0,0
Private,106,24460.51,Weekly,Owned,6.9,Yes,5,Spouse,67,41002.75,No,No,Business,None,0,0
Private,88,36207.69,Biweekly,Owned,5.1,No,2,Parent,110,29567.49,Yes,No,Business,Community Plan,0,0
Private,62,32190.45,Monthly,Rented,4.6,No,3,Friend,38,20304.05,No,Yes,None,Community Plan,0,0
Private,26,33116.96,Biweekly,Owned,1.4,Yes,2,Spouse,101,33354.29,Yes,Yes,OFW Remittance,Insurance,0,0
Public,27,30601.8,Biweekly,Rented,1.1,No,5,Sibling,102,16586.87,Yes,No,Freelance,None,0,0
Private,68,16496.0,Biweekly,Rented,1.7,No,5,Parent,118,17209.25,Yes,No,None,Savings,0,1
Public,73,33458.34,Monthly,Owned,5.7,No,0,Spouse,89,16617.09,No,Yes,OFW Remittance,None,0,0
Private,34,28762.58,Biweekly,Rented,9.9,No,5,Friend,49,36163.2,Yes,No,OFW Remittance,Community Plan,0,0
Public,68,39100.31,Biweekly,Owned,9.1,Yes,3,Friend,100,44287.6,Yes,Yes,Business,Savings,0,0
Public,53,33535.66,Biweekly,Owned,6.9,No,5,Sibling,99,16438.87,Yes,Yes,None,Community Plan,0,0
Public,6,15634.56,Bimonthly,Owned,7.7,No,4,Friend,108,20427.39,Yes,No,Business,Insurance,0,1
Private,87,36723.96,Biweekly,Owned,4.1,Yes,2,Friend,59,17761.63,Yes,No,OFW Remittance,Savings,0,0
Private,98,25330.15,Monthly,Rented,4.0,Yes,4,Parent,49,38568.69,No,Yes,Business,Insurance,0,0
Private,92,21064.25,Bimonthly,Rented,9.8,Yes,3,Spouse,105,17067.49,Yes,No,Freelance,None,0,0
Public,104,30873.1,Monthly,Rented,5.2,No,4,Friend,63,15959.24,No,No,None,Insurance,0,0
Private,60,36573.62,Monthly,Rented,1.7,Yes,4,Friend,76,22173.76,Yes,Yes,Business,Community Plan,0,0
Private,91,20700.45,Biweekly,Rented,2.2,Yes,5,Sibling,105,22674.11,Yes,Yes,None,Insurance,0,0
Private,26,29521.28,Monthly,Rented,3.0,Yes,4,Parent,30,27170.41,No,Yes,Freelance,Savings,0,0
Private,104,37377.8,Bimonthly,Rented,2.8,Yes,5,Sibling,101,30337.12,Yes,No,Business,Insurance,0,0
Public,56,29104.69,Biweekly,Owned,3.2,No,5,Friend,48,19462.46,No,Yes,None,None,0,0
Private,94,44914.51,Bimonthly,Rented,9.0,Yes,0,Spouse,71,42918.5,No,No,OFW Remittance,Savings,0,0
Public,27,20490.08,Biweekly,Owned,8.2,Yes,4,Sibling,113,27802.03,No,No,None,Community Plan,0,0
Private,93,37826.73,Weekly,Rented,7.4,Yes,2,Friend,86,23686.91,No,No,None,None,0,0
Private,28,17989.08,Weekly,Rented,4.7,Yes,1,Parent,21,28472.53,Yes,Yes,None,Community Plan,0,0
Public,40,25891.35,Weekly,Owned,2.5,No,0,Spouse,114,35160.9,No,No,Business,None,0,0
Private,80,37926.97,Bimonthly,Owned,9.2,No,0,Parent,34,26582.5,Yes,Yes,None,Savings,0,0
Public,67,19964.43,Weekly,Owned,7.8,No,5,Spouse,110,32988.63,Yes,Yes,OFW Remittance,Savings,0,0
Public,57,40196.72,Weekly,Owned,7.2,Yes,0,Spouse,38,23219.1,No,No,Freelance,Insurance,0,0
Public,11,16843.31,Weekly,Owned,1.6,No,3,Sibling,30,42606.28,No,No,Freelance,Insurance,0,0
Private,27,34054.05,Weekly,Owned,5.3,No,2,Spouse,85,23268.94,No,Yes,None,Community Plan,0,0
Private,9,30831.02,Biweekly,Rented,3.3,No,2,Friend,84,37586.88,Yes,Yes,None,None,0,0
Private,61,25951.48,Monthly,Owned,3.0,No,5,Sibling,71,35615.17,Yes,No,OFW Remittance,Insurance,0,0
Private,93,39137.99,Monthly,Rented,4.2,Yes,0,Sibling,31,23442.5,No,Yes,None,Savings,0,0
Private,46,26225.75,Bimonthly,Owned,5.4,No,2,Parent,120,28686.83,No,No,Freelance,Community Plan,0,0
Public,49,41914.65,Bimonthly,Rented,4.3,Yes,4,Sibling,113,40237.3,Yes,No,OFW Remittance,None,0,0
Public,111,18351.17,Biweekly,Rented,7.2,Yes,1,Parent,51,20216.61,Yes,No,Business,Community Plan,0,0
Public,99,24170.72,Bimonthly,Rented,0.3,Yes,4,Friend,86,27963.04,Yes,No,Freelance,Community Plan,0,0
Private,18,28418.02,Biweekly,Owned,3.4,No,1,Parent,72,19340.35,Yes,Yes,Freelance,None,0,0
Public,55,21624.93,Weekly,Owned,1.9,No,0,Friend,77,18918.45,Yes,No,Business,Savings,0,1
Public,47,25176.64,Biweekly,Owned,8.4,No,4,Parent,95,38963.69,No,Yes,Freelance,None,0,1
Private,13,44058.27,Weekly,Owned,0.3,Yes,1,Sibling,87,39411.59,Yes,Yes,OFW Remittance,Community Plan,0,0
Private,35,40117.8,Biweekly,Owned,3.9,Yes,2,Spouse,10,30980.11,No,No,Business,None,0,0
Private,116,34689.74,Biweekly,Owned,1.8,Yes,4,Spouse,54,20363.71,Yes,Yes,None,None,0,0
Private,28,22886.86,Monthly,Owned,3.7,No,0,Friend,94,25997.49,No,Yes,Freelance,Savings,0,0
Private,76,32066.59,Bimonthly,Rented,6.1,Yes,5,Sibling,32,27004.5,Yes,Yes,None,Community Plan,0,0
Public,74,36042.26,Weekly,Owned,3.0,No,4,Friend,20,19900.36,Yes,No,None,Community Plan,0,0
Public,111,20907.0,Weekly,Rented,8.7,Yes,2,Parent,72,37897.48,No,No,OFW Remittance,Community Plan,0,0
Public,58,39178.35,Biweekly,Rented,0.2,Yes,4,Sibling,89,26593.82,Yes,No,None,None,0,0
Private,54,36144.09,Weekly,Rented,4.1,No,4,Sibling,102,40296.27,No,No,Business,Savings,0,0
Public,106,32766.61,Weekly,Owned,3.3,Yes,3,Spouse,108,44121.86,No,No,Freelance,Insurance,0,0
Public,17,43680.86,Bimonthly,Owned,5.4,No,0,Sibling,85,39238.2,No,No,OFW Remittance,Community Plan,0,0
Private,51,41627.03,Weekly,Rented,4.0,Yes,2,Sibling,96,35301.44,Yes,Yes,OFW Remittance,Savings,0,0
Private,42,29539.37,Weekly,Owned,7.7,Yes,4,Sibling,67,37510.64,No,Yes,Business,Community Plan,0,0
Private,61,34900.86,Biweekly,Owned,7.0,Yes,2,Friend,33,33755.01,No,Yes,None,Insurance,0,0
Private,67,44450.9,Monthly,Rented,4.3,Yes,2,Spouse,57,20395.35,No,No,Freelance,Community Plan,0,0
Private,45,41729.03,Bimonthly,Rented,5.9,No,3,Parent,90,41708.34,No,Yes,None,Savings,0,0
Public,50,26069.31,Bimonthly,Rented,8.2,No,2,Spouse,103,27853.08,No,Yes,Business,Insurance,0,0
Public,29,40910.49,Monthly,Owned,1.5,Yes,1,Parent,68,21316.28,No,Yes,OFW Remittance,Savings,0,0
Private,62,37084.86,Biweekly,Owned,0.6,No,0,Sibling,25,42382.63,No,No,OFW Remittance,Insurance,0,0
Private,107,37476.33,Monthly,Owned,6.9,Yes,5,Parent,106,34253.42,No,Yes,None,Community Plan,0,0
Private,46,34067.97,Weekly,Rented,3.7,No,2,Parent,19,41274.61,Yes,Yes,Freelance,Savings,0,0
Private,111,43651.42,Bimonthly,Owned,3.3,Yes,2,Sibling,21,19953.41,No,Yes,Business,None,0,0
Private,118,28050.23,Weekly,Rented,5.0,No,2,Friend,47,29144.61,Yes,No,None,Savings,0,0
Private,97,44561.78,Monthly,Rented,9.1,Yes,4,Parent,36,44108.04,No,No,None,Insurance,0,0
Private,120,28792.4,Monthly,Owned,4.9,Yes,0,Parent,34,40092.05,Yes,No,None,Savings,0,0
Private,29,16979.58,Weekly,Rented,2.9,No,5,Spouse,22,27443.07,No,Yes,Freelance,Insurance,0,1
Public,27,42216.47,Bimonthly,Rented,6.3,No,5,Friend,98,22799.74,No,No,None,Insurance,0,1
Private,100,19853.33,Weekly,Owned,5.8,Yes,3,Parent,13,35804.75,No,Yes,OFW Remittance,Insurance,0,0
Public,53,30197.68,Biweekly,Owned,9.1,Yes,2,Friend,41,40523.47,Yes,Yes,Business,None,0,0
Private,119,37992.87,Monthly,Rented,4.2,Yes,4,Friend,89,22743.43,No,Yes,OFW Remittance,None,0,1
Public,49,29840.45,Bimonthly,Owned,9.9,Yes,2,Parent,118,37171.53,Yes,Yes,Freelance,Community Plan,0,0
Public,91,26025.63,Biweekly,Owned,6.7,Yes,5,Sibling,75,42096.17,Yes,Yes,OFW Remittance,Insurance,0,0
Public,43,17206.63,Monthly,Owned,0.9,No,1,Sibling,35,20089.3,No,No,None,Insurance,0,0
Private,91,33913.6,Bimonthly,Rented,7.5,Yes,0,Parent,23,26846.95,Yes,Yes,Business,Community Plan,0,0
Public,91,44542.38,Bimonthly,Owned,9.9,No,4,Friend,100,43399.4,Yes,Yes,OFW Remittance,Community Plan,0,0
Private,24,29472.84,Biweekly,Owned,0.7,Yes,3,Spouse,15,36658.44,No,No,OFW Remittance,Community Plan,0,0
Private,19,41152.79,Bimonthly,Owned,6.5,Yes,1,Spouse,24,26083.68,No,No,None,Community Plan,0,0
Private,74,33053.77,Monthly,Rented,2.8,Yes,1,Parent,91,16598.82,No,Yes,Freelance,Savings,0,0
Public,61,25328.48,Weekly,Rented,4.7,No,1,Friend,36,44909.24,Yes,Yes,None,Insurance,0,0
Private,13,32624.95,Biweekly,Rented,1.3,Yes,3,Sibling,118,34598.35,Yes,Yes,OFW Remittance,Insurance,0,0
Private,71,27234.89,Monthly,Rented,9.0,No,0,Sibling,42,24380.32,No,Yes,Freelance,Insurance,0,0
Private,102,35722.95,Biweekly,Rented,3.1,Yes,4,Friend,111,42082.65,No,Yes,None,None,0,0
Public,85,26029.19,Monthly,Rented,6.7,No,4,Parent,108,42395.98,No,Yes,Business,None,0,0
Private,82,34627.63,Weekly,Rented,7.2,No,1,Spouse,108,20891.81,Yes,No,None,Insurance,0,0
Private,52,30997.28,Bimonthly,Rented,7.6,Yes,1,Sibling,103,34318.66,No,Yes,Business,Insurance,0,0
Public,101,18668.04,Monthly,Owned,5.9,No,1,Spouse,30,26715.25,No,Yes,Business,None,0,0
Private,49,42908.08,Biweekly,Owned,0.5,No,3,Friend,99,32983.49,Yes,No,Business,Savings,0,0
Private,113,16953.88,Monthly,Rented,3.8,No,3,Spouse,30,29405.45,Yes,No,OFW Remittance,Savings,0,0
Private,100,30029.43,Biweekly,Rented,3.3,Yes,4,Friend,99,35180.95,No,No,OFW Remittance,Insurance,0,0
Private,68,41251.39,Biweekly,Owned,3.1,Yes,2,Spouse,118,39638.47,No,Yes,OFW Remittance,Community Plan,0,0
Private,106,19200.83,Bimonthly,Owned,3.2,Yes,2,Parent,27,25556.25,Yes,No,None,Savings,0,0
Private,64,16394.72,Weekly,Owned,2.3,Yes,0,Spouse,72,27126.72,Yes,Yes,Business,Insurance,0,0
Public,117,21723.9,Monthly,Owned,3.5,Yes,3,Sibling,102,26601.71,Yes,Yes,Freelance,Community Plan,0,0
Public,78,16136.39,Biweekly,Owned,3.9,Yes,3,Sibling,39,32604.4,Yes,Yes,None,Savings,0,0
Private,44,20327.85,Monthly,Owned,3.3,Yes,4,Sibling,86,17006.58,Yes,No,Business,Insurance,0,0
Public,87,39781.02,Biweekly,Rented,2.5,Yes,1,Spouse,18,20077.99,No,No,Freelance,Savings,0,0
Private,72,18674.27,Weekly,Owned,0.9,No,3,Spouse,93,43794.56,Yes,No,Freelance,Community Plan,0,0
Private,40,44392.98,Bimonthly,Rented,2.0,No,0,Sibling,75,36810.81,No,Yes,Business,Savings,0,0
Private,19,22608.91,Monthly,Owned,3.1,Yes,4,Parent,10,22934.08,Yes,No,OFW Remittance,None,0,0
Public,72,26714.27,Biweekly,Rented,9.6,Yes,1,Parent,70,23700.97,No,Yes,OFW Remittance,None,0,0
Public,100,35802.96,Weekly,Owned,4.0,Yes,3,Sibling,117,29274.86,No,Yes,Freelance,Savings,0,0
Public,114,44330.05,Weekly,Rented,6.4,No,5,Sibling,90,15503.64,Yes,Yes,Business,Community Plan,0,0
Private,56,42469.81,Biweekly,Rented,6.6,Yes,5,Friend,51,33820.8,No,No,OFW Remittance,Insurance,0,1
Private,54,24710.29,Weekly,Owned,9.6,No,4,Friend,76,25904.52,Yes,Yes,Business,None,0,1
Private,15,26998.85,Biweekly,Owned,6.7,Yes,0,Friend,63,18097.84,Yes,Yes,Business,Community Plan,0,0
Public,63,34377.37,Bimonthly,Owned,6.8,No,0,Friend,118,15231.22,No,Yes,Freelance,Savings,0,0
Private,104,37970.56,Biweekly,Owned,5.6,Yes,1,Spouse,53,16289.91,No,Yes,Business,None,0,0
Public,105,41696.92,Weekly,Rented,7.9,No,4,Friend,47,28952.72,Yes,Yes,None,None,0,0
Private,87,30299.74,Monthly,Owned,3.7,No,5,Sibling,49,32882.77,No,No,OFW Remittance,None,0,1
Public,106,21160.24,Weekly,Owned,2.7,Yes,5,Parent,85,42353.39,No,Yes,Freelance,None,0,0
Private,32,38889.52,Bimonthly,Owned,5.7,Yes,4,Spouse,27,27696.33,Yes,No,None,Insurance,0,0
Public,114,32720.75,Weekly,Owned,0.2,Yes,4,Sibling,32,24239.91,No,Yes,Freelance,Community Plan,0,0
Public,82,34926.15,Bimonthly,Rented,8.2,No,0,Spouse,62,34177.27,Yes,No,Business,None,0,0
Public,52,37479.3,Bimonthly,Rented,8.0,No,1,Sibling,33,41439.3,Yes,Yes,Freelance,None,0,0
Public,27,17771.92,Weekly,Rented,4.9,No,2,Spouse,91,33004.68,No,No,None,Community Plan,0,0
Public,42,44609.92,Bimonthly,Owned,3.2,Yes,3,Friend,29,22833.16,No,Yes,Business,Insurance,0,0
Public,97,37401.61,Biweekly,Rented,3.6,Yes,2,Spouse,98,32999.22,No,No,Business,Community Plan,0,0
Private,106,21054.83,Monthly,Owned,1.0,No,1,Spouse,54,36877.57,Yes,No,OFW Remittance,Insurance,0,0
Public,20,33913.66,Bimonthly,Owned,5.7,Yes,5,Parent,76,32460.59,Yes,Yes,Freelance,Community Plan,0,0
Private,69,35524.21,Monthly,Owned,6.4,No,3,Spouse,91,37455.06,No,Yes,Freelance,Community Plan,0,0
Private,110,42119.27,Bimonthly,Rented,1.2,Yes,5,Friend,52,25134.72,No,No,Freelance,Savings,0,0
Private,50,35657.96,Weekly,Rented,9.3,No,0,Spouse,19,28865.66,Yes,No,None,Community Plan,0,0
Private,17,44679.82,Bimonthly,Owned,3.0,Yes,5,Sibling,85,23913.8,Yes,Yes,OFW Remittance,Community Plan,0,0
Public,12,31647.88,Bimonthly,Owned,1.9,Yes,2,Parent,102,36846.89,Yes,No,None,Community Plan,0,0
Public,32,29615.09,Biweekly,Owned,0.6,No,2,Friend,59,29495.12,No,No,Business,Community Plan,0,0
Public,56,32192.03,Biweekly,Owned,4.0,Yes,5,Parent,33,34618.57,Yes,No,Freelance,Savings,0,0
Public,119,28114.96,Bimonthly,Rented,9.4,No,0,Parent,46,20301.46,No,No,None,Savings,0,0
Private,112,41146.62,Monthly,Rented,9.4,Yes,0,Sibling,50,15001.0,Yes,Yes,Freelance,Insurance,0,0
Private,48,26318.78,Bimonthly,Owned,8.2,No,0,Friend,22,43369.63,No,No,OFW Remittance,Savings,0,0
Public,14,39657.93,Monthly,Rented,8.1,No,0,Parent,13,22451.59,No,No,None,Community Plan,0,0
Private,60,21889.45,Monthly,Owned,6.1,No,2,Sibling,42,38534.34,No,Yes,OFW Remittance,Insurance,0,0
Public,14,16190.31,Monthly,Rented,6.2,No,4,Parent,37,29684.8,No,Yes,None,Savings,0,1
Public,38,21452.26,Monthly,Owned,1.5,No,0,Parent,46,19855.71,No,Yes,None,Savings,0,0
Private,33,42901.51,Biweekly,Rented,6.2,No,4,Friend,59,28032.68,Yes,No,Freelance,Savings,0,0
Private,29,31471.17,Weekly,Owned,1.5,Yes,2,Sibling,39,32197.89,No,No,Freelance,Community Plan,0,0
Public,18,21945.63,Bimonthly,Rented,7.7,Yes,1,Friend,82,18265.57,No,Yes,None,Savings,0,0
Public,40,20754.33,Monthly,Owned,1.2,Yes,2,Sibling,44,41110.71,Yes,Yes,None,Insurance,0,0
Public,88,29583.14,Monthly,Rented,5.0,No,4,Spouse,24,31999.48,Yes,Yes,Business,Insurance,0,0
Private,105,15384.29,Biweekly,Rented,1.6,Yes,0,Parent,26,43147.61,No,No,OFW Remittance,Savings,0,0
Public,100,31967.04,Bimonthly,Owned,4.0,Yes,3,Friend,24,44948.47,No,Yes,None,Savings,0,0
Private,75,33744.07,Weekly,Owned,6.5,No,2,Spouse,81,29825.9,Yes,Yes,Freelance,Savings,0,0
Public,49,19342.11,Weekly,Owned,9.1,No,5,Parent,37,28962.48,No,Yes,OFW Remittance,Insurance,0,0
Public,55,17006.96,Monthly,Owned,1.4,Yes,1,Parent,103,30010.88,Yes,No,Freelance,Community Plan,0,0
Private,116,30118.89,Bimonthly,Rented,2.1,No,2,Friend,22,16349.17,Yes,Yes,OFW Remittance,Savings,0,1
Private,119,20282.67,Monthly,Owned,2.3,No,1,Sibling,15,16374.37,No,No,Business,Savings,0,1
Public,81,32958.44,Monthly,Owned,3.7,Yes,1,Spouse,31,34638.25,Yes,Yes,Business,None,0,0
Public,15,30393.86,Bimonthly,Rented,5.1,Yes,5,Spouse,65,16996.29,Yes,No,None,None,0,0
Private,10,43805.3,Monthly,Rented,0.4,Yes,5,Sibling,23,17939.41,No,Yes,OFW Remittance,Savings,0,0
Public,45,17126.27,Weekly,Rented,6.6,No,1,Sibling,103,43550.53,Yes,Yes,OFW Remittance,Community Plan,0,0
Public,78,32945.57,Bimonthly,Owned,1.5,No,3,Friend,99,43659.37,Yes,No,Business,None,0,0
Public,70,39243.59,Monthly,Owned,3.6,Yes,4,Parent,66,35987.11,No,Yes,Business,Community Plan,0,0
Public,10,24466.67,Bimonthly,Rented,7.0,Yes,5,Spouse,24,28497.77,Yes,No,Business,Savings,0,0
Private,102,29132.55,Monthly,Owned,1.8,No,3,Sibling,103,28198.27,Yes,Yes,Business,Insurance,0,0
Private,107,21121.76,Monthly,Rented,0.4,Yes,3,Friend,80,24802.76,No,No,OFW Remittance,Savings,0,0
Public,105,35219.49,Biweekly,Rented,3.7,No,4,Friend,119,27484.4,No,No,OFW Remittance,Insurance,0,0
Private,79,38329.84,Bimonthly,Rented,2.4,Yes,1,Parent,111,24691.02,No,No,OFW Remittance,Insurance,0,0
Private,98,37809.39,Monthly,Owned,5.4,No,0,Friend,118,23188.9,No,Yes,Business,Savings,0,0
Public,55,15224.9,Weekly,Owned,4.6,No,0,Friend,29,27218.91,No,No,OFW Remittance,None,0,1
Private,96,33095.87,Bimonthly,Rented,5.0,No,1,Spouse,45,35561.62,No,No,OFW Remittance,None,0,0
Public,42,22009.08,Monthly,Rented,7.4,No,4,Sibling,83,42232.21,No,Yes,None,Community Plan,0,0
Public,101,43410.64,Biweekly,Owned,1.4,Yes,0,Parent,109,30521.02,Yes,No,OFW Remittance,Community Plan,0,0
Public,38,40503.62,Biweekly,Owned,8.0,No,4,Sibling,45,30919.57,No,Yes,Freelance,Insurance,0,0
Private,56,38134.76,Weekly,Owned,5.7,Yes,5,Sibling,100,35914.36,No,No,OFW Remittance,Savings,0,0
Private,60,21755.62,Monthly,Owned,6.7,No,1,Friend,13,41109.35,Yes,Yes,Business,Savings,0,0
Public,33,25392.49,Biweekly,Owned,0.5,Yes,2,Friend,23,24228.63,Yes,No,Freelance,Insurance,0,0
Private,68,31832.08,Monthly,Owned,0.9,No,1,Sibling,91,29141.95,No,Yes,Freelance,None,0,0
Public,93,26486.95,Weekly,Rented,2.8,No,5,Spouse,34,39685.26,No,No,OFW Remittance,Savings,0,0
