Employment_Sector,Employment_Tenure_Months,Net_Salary_Per_Cutoff,Salary_Frequency,Housing_Status,Years_at_Current_Address,Household_Head,Number_of_Dependents,Comaker_Relationship,Comaker_Employment_Tenure_Months,Comaker_Net_Salary_Per_Cutoff,Has_Community_Role,Paluwagan_Participation,Other_Income_Source,Disaster_Preparedness,Is_Renewing_Client,Default
Public,35,24099.15,Bimonthly,Rented,2.5,Yes,2,Friend,16,17265.24,Yes,Yes,OFW Remittance,None,0,0
Public,17,15447.03,Monthly,Owned,8.8,No,4,Spouse,93,33956.08,No,No,Freelance,Savings,0,1
Public,89,18352.45,Weekly,Rented,2.9,No,0,Sibling,105,24674.43,Yes,Yes,Freelance,Insurance,0,0
Public,25,44196.62,Bimonthly,Rented,6.0,No,3,Spouse,72,32643.7,Yes,Yes,OFW Remittance,None,0,0
Private,119,42283.94,Weekly,Owned,8.0,No,2,Parent,109,20395.2,No,Yes,None,None,0,0
Private,62,39544.87,Weekly,Rented,1.7,No,0,Spouse,104,38838.41,No,No,Freelance,Community Plan,0,0
Public,103,17174.71,Weekly,Owned,8.7,No,0,Sibling,82,27404.02,No,Yes,OFW Remittance,Savings,0,0
Public,54,42085.62,Bimonthly,Owned,9.4,Yes,0,Parent,67,31604.94,No,No,Freelance,Savings,0,0
Private,62,34119.15,Monthly,Rented,1.4,No,5,Parent,54,22445.91,Yes,Yes,None,None,0,0
Private,64,37346.25,Bimonthly,Owned,4.8,Yes,3,Friend,18,19539.1,Yes,Yes,Freelance,Community Plan,0,0
Public,95,38666.11,Biweekly,Rented,1.7,No,0,Friend,77,26272.62,No,Yes,None,Insurance,0,0
Public,114,37445.08,Monthly,Owned,8.9,No,4,Parent,26,20411.46,No,Yes,None,None,0,0
Private,31,20030.23,Monthly,Owned,0.7,Yes,3,Spouse,111,16138.84,Yes,Yes,None,Community Plan,0,0
Public,31,21526.97,Weekly,Rented,7.6,Yes,5,Parent,94,20713.77,Yes,No,None,Savings,0,0
Private,8,31536.51,Bimonthly,Owned,9.9,No,1,Parent,25,42566.59,No,No,Freelance,Insurance,0,1
Public,120,32619.88,Monthly,Rented,0.6,No,1,Parent,47,38387.28,Yes,Yes,Business,Savings,0,0
Private,117,40528.21,Monthly,Rented,2.1,Yes,1,Parent,88,18731.1,Yes,No,None,Insurance,0,0
Private,107,21133.61,Bimonthly,Owned,6.4,Yes,4,Friend,38,28489.0,Yes,No,Freelance,Insurance,0,1
Public,85,35864.5,Monthly,Owned,9.9,Yes,4,Friend,85,41994.21,No,Yes,OFW Remittance,Insurance,0,0
Private,34,23847.07,Weekly,Owned,2.0,No,5,Spouse,72,21003.29,No,Yes,Business,Savings,0,0
Public,69,38812.95,Biweekly,Rented,0.7,Yes,5,Parent,102,18661.32,No,No,Business,Insurance,0,0
Private,43,28292.16,Weekly,Owned,7.0,No,0,Spouse,62,16400.37,No,No,OFW Remittance,Community Plan,0,0
Private,62,41069.38,Weekly,Rented,7.6,No,0,Spouse,10,41721.61,Yes,No,OFW Remittance,Savings,0,0
Public,110,38030.82,Biweekly,Owned,0.5,Yes,2,Sibling,106,18013.3,No,No,Business,Savings,0,0
Public,74,35845.16,Weekly,Rented,8.8,Yes,3,Friend,64,34568.36,Yes,Yes,Business,Community Plan,0,0
Public,12,39685.22,Bimonthly,Owned,6.5,Yes,2,Sibling,43,16710.37,Yes,No,None,Savings,0,0
Private,75,17601.71,Weekly,Rented,7.9,No,2,Friend,72,42504.4,No,Yes,None,Savings,0,0
Private,36,24979.08,Monthly,Owned,4.4,No,3,Spouse,113,37450.8,No,No,Business,Insurance,0,0
Private,101,27920.95,Bimonthly,Owned,3.9,Yes,3,Spouse,92,42710.21,Yes,Yes,Business,Community Plan,0,0
Public,118,35580.5,Biweekly,Owned,4.8,Yes,4,Friend,94,36986.97,Yes,Yes,OFW Remittance,None,0,0
Private,9,44409.18,Weekly,Owned,8.6,Yes,3,Sibling,41,27110.97,No,No,None,Savings,0,0
Private,96,24556.27,Monthly,Rented,4.8,No,0,Sibling,56,18973.63,No,Yes,None,None,0,0
Private,107,41098.88,Monthly,Rented,8.9,Yes,3,Friend,20,40300.09,No,No,OFW Remittance,Insurance,0,0
Public,75,32432.6,Monthly,Rented,2.6,No,4,Sibling,45,30767.15,No,Yes,Business,Savings,0,0
Private,31,40887.63,Monthly,Owned,1.8,Yes,5,Parent,23,25162.11,No,Yes,Freelance,None,0,1
Private,20,38811.03,Weekly,Owned,1.4,No,1,Friend,94,26533.1,Yes,Yes,Business,Community Plan,0,0
Public,111,22180.57,Bimonthly,Owned,2.0,Yes,3,Spouse,78,17121.49,Yes,Yes,Business,Community Plan,0,0
Public,94,34600.8,Monthly,Rented,8.7,Yes,5,Spouse,30,38953.06,Yes,Yes,None,Savings,0,0
Public,91,36777.06,Weekly,Rented,6.7,Yes,4,Friend,54,33030.86,Yes,Yes,OFW Remittance,Savings,0,0
Public,87,20239.36,Monthly,Owned,5.7,No,1,Spouse,62,41232.79,No,No,Business,Community Plan,0,0
Public,17,40076.69,Biweekly,Rented,5.8,No,3,Parent,67,43547.36,No,Yes,None,Savings,0,0
Public,59,31868.2,Biweekly,Owned,7.5,Yes,3,Spouse,48,37305.44,Yes,Yes,OFW Remittance,Insurance,0,0
Public,88,36945.71,Weekly,Owned,3.0,Yes,1,Sibling,28,43418.87,No,Yes,OFW Remittance,Insurance,0,0
Public,39,23565.67,Weekly,Owned,7.3,Yes,2,Sibling,90,30961.01,Yes,No,None,Savings,0,1
Public,112,18254.52,Monthly,Rented,4.0,Yes,1,Spouse,100,20483.02,Yes,Yes,OFW Remittance,None,0,0
Private,109,22488.74,Monthly,Owned,4.8,Yes,0,Parent,16,30344.27,Yes,No,Business,None,0,1
Private,29,19809.78,Monthly,Rented,3.7,Yes,2,Sibling,30,28883.31,No,Yes,None,Community Plan,0,0
Public,19,31019.64,Bimonthly,Rented,4.4,No,4,Friend,14,37934.97,No,Yes,Business,None,0,0
Public,111,18084.39,Bimonthly,Owned,4.7,No,3,Friend,48,37186.52,No,Yes,None,Insurance,0,0
Public,115,25434.75,Bimonthly,Rented,1.9,Yes,2,Sibling,65,29737.19,No,No,OFW Remittance,None,0,0
Public,15,23905.84,Bimonthly,Owned,0.3,No,3,Spouse,16,35210.65,Yes,No,OFW Remittance,Insurance,0,0
Public,9,19522.04,Monthly,Rented,2.3,No,0,Sibling,71,19885.41,No,No,Business,Insurance,0,0
Public,97,42653.12,Bimonthly,Owned,2.3,Yes,1,Spouse,32,33654.03,Yes,No,Business,Insurance,0,1
Public,112,33244.04,Biweekly,Owned,5.2,No,1,Parent,58,28529.28,Yes,Yes,OFW Remittance,Community Plan,0,0
Public,78,39350.29,Monthly,Owned,9.8,Yes,2,Sibling,72,26824.49,Yes,Yes,Business,Savings,0,0
Private,101,40262.27,Bimonthly,Owned,3.8,No,4,Friend,79,16136.84,No,No,None,Community Plan,0,0
Public,41,22656.33,Monthly,Owned,4.2,Yes,4,Spouse,61,17332.27,No,Yes,OFW Remittance,Savings,0,0
Public,21,19272.8,Weekly,Rented,7.5,No,1,Parent,101,43338.13,Yes,No,Freelance,Community Plan,0,0
Private,22,28636.91,Monthly,Owned,6.1,No,4,Sibling,98,17545.8,Yes,Yes,Freelance,Savings,0,0
Private,47,36335.12,Monthly,Rented,7.6,No,3,Sibling,36,31690.03,Yes,No,OFW Remittance,Insurance,0,0
Public,113,17758.16,Biweekly,Owned,4.3,No,0,Sibling,88,28076.45,No,Yes,None,None,0,0
Private,51,36032.65,Biweekly,Owned,7.5,Yes,4,Spouse,28,27988.63,No,Yes,OFW Remittance,Community Plan,0,1
Public,75,20928.59,Biweekly,Rented,7.5,No,3,Friend,83,21476.84,Yes,Yes,Business,Community Plan,0,0
Public,108,17685.55,Biweekly,Owned,0.6,Yes,1,Friend,55,28911.68,No,Yes,Freelance,Savings,0,0
Private,90,23164.11,Biweekly,Owned,3.6,Yes,1,Sibling,21,17270.93,Yes,No,Freelance,Savings,0,0
Public,112,25639.42,Monthly,Owned,6.5,Yes,0,Parent,111,38460.34,Yes,Yes,Business,None,0,0
Private,85,35995.55,Monthly,Owned,8.8,No,3,Sibling,51,42974.96,Yes,No,OFW Remittance,Community Plan,0,0
Private,105,17634.18,Bimonthly,Owned,9.1,Yes,3,Spouse,71,28972.38,No,Yes,Freelance,Insurance,0,0
Public,105,43414.55,Monthly,Owned,4.9,Yes,2,Spouse,35,42410.31,Yes,Yes,Freelance,None,0,0
Private,6,40505.1,Biweekly,Rented,6.8,No,4,Friend,70,22768.22,Yes,Yes,OFW Remittance,Savings,0,0
Private,111,36592.19,Weekly,Owned,0.3,Yes,3,Sibling,115,21881.24,No,Yes,Freelance,Savings,0,0
Public,43,16906.17,Bimonthly,Owned,1.5,No,2,Friend,100,28702.11,Yes,No,Freelance,None,0,0
Private,109,37557.97,Bimonthly,Owned,3.8,Yes,3,Sibling,64,25636.27,Yes,Yes,OFW Remittance,Savings,0,0
Private,10,15686.2,Weekly,Rented,6.0,Yes,5,Friend,89,29307.59,Yes,Yes,Business,None,0,0
Public,11,26548.22,Biweekly,Rented,5.3,No,0,Spouse,21,43032.49,No,Yes,Business,Savings,0,0
Private,108,22351.54,Bimonthly,Owned,7.6,No,3,Friend,109,30394.03,No,No,None,Savings,0,0
Public,44,25085.5,Monthly,Owned,4.0,No,0,Sibling,37,17684.62,No,Yes,Business,None,0,0
Private,118,24420.3,Bimonthly,Owned,3.8,Yes,2,Friend,88,30497.35,Yes,No,Freelance,None,0,0
Private,39,41359.36,Biweekly,Rented,10.0,No,3,Spouse,31,31339.13,No,Yes,None,None,0,0
Public,35,31842.48,Weekly,Owned,6.8,No,2,Sibling,59,15561.23,No,Yes,OFW Remittance,Savings,0,0
Public,60,27437.79,Weekly,Rented,9.3,No,2,Spouse,67,26109.05,No,Yes,Freelance,Savings,0,0
Public,51,29536.88,Weekly,Rented,3.1,Yes,3,Parent,58,22131.15,Yes,Yes,None,Insurance,0,0
Public,53,26770.37,Monthly,Owned,7.2,No,5,Friend,72,32264.11,No,Yes,OFW Remittance,Community Plan,0,0
Public,73,41040.18,Monthly,Owned,7.8,No,0,Parent,101,15333.44,Yes,Yes,None,Insurance,0,0
Public,117,36639.78,Biweekly,Owned,8.6,Yes,2,Spouse,107,35109.46,Yes,Yes,Freelance,None,0,0
Private,64,20465.23,Bimonthly,Rented,3.9,Yes,3,Friend,33,38435.67,No,No,OFW Remittance,Insurance,0,0
Private,20,17365.17,Biweekly,Rented,6.2,Yes,1,Spouse,63,39910.05,No,Yes,Business,Community Plan,0,1
Public,77,20555.8,Bimonthly,Owned,9.7,No,0,Spouse,47,31407.09,No,Yes,Freelance,Insurance,0,0
Private,100,21118.7,Biweekly,Owned,3.7,No,2,Spouse,75,38487.93,Yes,No,None,None,0,1
Public,52,30674.21,Weekly,Rented,9.1,Yes,0,Sibling,86,29875.1,Yes,No,Business,None,0,0
Private,64,29370.06,Biweekly,Rented,8.9,Yes,4,Spouse,13,25138.7,Yes,Yes,None,None,0,0
Public,61,38688.64,Biweekly,Rented,9.9,Yes,1,Spouse,60,33263.59,Yes,Yes,Freelance,Savings,0,0
Public,47,32464.38,Biweekly,Rented,0.5,No,2,Parent,12,36975.82,No,No,None,Savings,0,0
Public,80,43981.62,Bimonthly,Owned,4.3,Yes,1,Sibling,88,27345.55,Yes,No,None,None,0,0
Private,73,30090.76,Bimonthly,Owned,4.6,Yes,2,Friend,11,30526.98,No,No,Business,Community Plan,0,0
Public,31,35490.88,Biweekly,Owned,0.3,No,5,Sibling,106,20653.31,No,No,OFW Remittance,Community Plan,0,0
Private,31,34571.6,Bimonthly,Owned,4.5,No,3,Friend,82,38642.21,Yes,No,OFW Remittance,Community Plan,0,1
Private,119,41081.38,Biweekly,Rented,7.0,Yes,2,Parent,118,41494.82,No,No,None,Savings,0,0
Public,40,22700.97,Monthly,Rented,2.3,Yes,5,Sibling,102,43781.7,No,No,OFW Remittance,None,0,1
Public,57,24256.71,Monthly,Rented,9.9,Yes,2,Friend,62,44697.19,Yes,No,OFW Remittance,Community Plan,0,0
Private,12,32175.68,Biweekly,Rented,5.1,Yes,1,Parent,65,39470.69,Yes,Yes,OFW Remittance,Community Plan,0,0
Private,62,33554.7,Biweekly,Rented,1.5,No,5,Parent,29,21102.58,Yes,No,Business,Community Plan,0,0
Public,116,15876.01,Monthly,Rented,9.9,Yes,3,Friend,16,19134.3,No,Yes,None,Community Plan,0,0
Private,106,27091.4,Monthly,Rented,6.9,No,1,Parent,64,15145.15,Yes,No,OFW Remittance,Savings,0,0
Public,61,22405.9,Weekly,Rented,2.3,No,4,Sibling,111,32702.58,Yes,Yes,Freelance,None,0,0
Public,95,43971.02,Bimonthly,Owned,0.8,Yes,5,Parent,56,22408.89,Yes,Yes,Freelance,None,0,0
Private,46,18886.67,Weekly,Owned,1.2,No,4,Friend,61,20448.36,No,No,None,Insurance,0,1
Public,33,31053.42,Monthly,Owned,2.0,Yes,5,Friend,22,38647.34,No,Yes,OFW Remittance,Community Plan,0,0
Public,84,22416.3,Biweekly,Rented,1.2,No,3,Friend,69,17072.54,No,Yes,Freelance,Savings,0,0
Public,58,17081.06,Biweekly,Rented,4.8,No,2,Parent,104,39602.33,No,No,Business,None,0,0
Public,98,42372.37,Monthly,Rented,4.8,Yes,1,Spouse,15,40289.14,Yes,No,OFW Remittance,Insurance,0,0
Private,43,29123.7,Weekly,Rented,6.3,No,1,Spouse,83,18205.63,No,Yes,Freelance,Savings,0,0
Public,49,43644.83,Weekly,Owned,2.1,Yes,0,Friend,38,17695.37,No,No,Business,Insurance,0,0
Private,114,27830.68,Weekly,Owned,5.0,No,5,Parent,87,21099.98,Yes,Yes,Freelance,Insurance,0,0
Private,16,19769.29,Weekly,Owned,6.4,No,1,Sibling,61,27723.14,No,Yes,None,Insurance,0,1
Public,38,19626.55,Biweekly,Rented,7.0,No,5,Spouse,42,16088.59,No,Yes,Business,Savings,0,0
Private,67,31881.54,Weekly,Rented,8.8,No,2,Parent,69,19307.15,Yes,No,OFW Remittance,Insurance,0,0
Private,92,43342.33,Weekly,Rented,2.7,Yes,3,Spouse,31,29288.95,No,No,OFW Remittance,Community Plan,0,0
Private,110,25114.73,Weekly,Owned,6.7,Yes,2,Sibling,52,43748.38,Yes,Yes,Business,None,0,0
Private,19,25187.1,Bimonthly,Owned,4.0,Yes,5,Sibling,110,21871.61,Yes,No,OFW Remittance,Insurance,0,1
Private,85,39693.55,Biweekly,Owned,5.9,No,0,Spouse,45,44839.37,No,No,OFW Remittance,Insurance,0,0
Public,114,43894.22,Bimonthly,Rented,1.2,Yes,5,Friend,15,40880.76,No,No,OFW Remittance,Insurance,0,0
Public,41,24403.28,Bimonthly,Owned,4.2,Yes,1,Sibling,72,25785.71,No,No,Freelance,None,0,0
Public,120,44733.06,Weekly,Rented,2.3,Yes,1,Friend,37,19170.14,No,No,Business,None,0,1
Public,72,27237.41,Weekly,Owned,10.0,No,4,Sibling,60,35170.21,No,Yes,Business,Insurance,0,0
Private,36,41232.45,Weekly,Owned,8.2,Yes,4,Parent,19,17943.49,Yes,Yes,None,Insurance,0,0
Public,32,40197.01,Bimonthly,Rented,3.5,No,2,Parent,16,41361.92,Yes,No,OFW Remittance,Community Plan,0,0
Private,21,39002.4,Biweekly,Owned,5.0,No,1,Parent,109,42648.79,Yes,Yes,Freelance,Savings,0,1
Public,19,23606.74,Bimonthly,Owned,4.1,No,0,Parent,93,36424.11,No,Yes,OFW Remittance,Insurance,0,0
Public,78,31180.33,Biweekly,Owned,8.1,Yes,1,Parent,66,18362.43,No,Yes,OFW Remittance,None,0,0
Private,100,32549.21,Bimonthly,Owned,0.5,No,2,Friend,93,32485.49,Yes,No,Freelance,None,0,0
Public,45,28981.17,Bimonthly,Owned,6.5,No,5,Friend,73,42759.22,No,No,None,Savings,0,0
Public,119,24796.18,Monthly,Owned,3.4,No,0,Friend,75,36845.13,No,No,OFW Remittance,Insurance,0,1
Public,92,41405.05,Monthly,Owned,4.6,Yes,2,Spouse,68,19443.69,No,Yes,None,Savings,0,0
Private,85,44239.77,Monthly,Rented,1.7,No,5,Parent,11,16962.05,Yes,No,None,Insurance,0,0
Public,53,25673.61,Monthly,Owned,5.7,Yes,2,Sibling,76,42015.88,Yes,Yes,Business,Community Plan,0,0
Public,28,22609.45,Monthly,Rented,5.5,Yes,3,Parent,56,21865.28,Yes,No,Freelance,Savings,0,1
Private,58,36358.76,Weekly,Rented,8.2,No,1,Spouse,65,19104.91,Yes,Yes,None,Savings,0,0
Private,104,25174.28,Bimonthly,Rented,9.2,Yes,3,Spouse,77,27006.18,Yes,Yes,Freelance,Savings,0,0
Public,97,20935.89,Weekly,Rented,2.3,Yes,5,Spouse,86,36312.98,No,No,Freelance,None,0,0
Private,41,23525.38,Biweekly,Rented,4.5,No,1,Friend,14,27322.17,Yes,No,None,Savings,0,0
Private,57,40056.3,Monthly,Rented,9.7,Yes,4,Friend,48,30071.62,No,Yes,OFW Remittance,None,0,0
Public,31,18618.7,Monthly,Owned,5.3,No,3,Sibling,118,16327.48,Yes,Yes,Business,Insurance,0,0
Public,108,25721.98,Biweekly,Owned,8.7,No,1,Friend,75,16616.94,No,No,Business,None,0,0
Public,103,42319.35,Monthly,Rented,0.6,No,4,Sibling,65,18948.94,Yes,Yes,Business,None,0,0
Public,21,30851.26,Weekly,Rented,4.4,Yes,4,Spouse,111,37281.27,No,No,Freelance,Community Plan,0,0
Private,29,31109.4,Bimonthly,Owned,2.1,Yes,4,Friend,83,17722.57,No,No,Business,None,0,0
Private,89,36924.98,Bimonthly,Rented,7.3,Yes,4,Parent,22,40212.07,Yes,Yes,OFW Remittance,Community Plan,0,0
Public,21,18545.15,Bimonthly,Rented,6.9,Yes,0,Spouse,21,23294.48,No,No,Freelance,Community Plan,0,1
Private,71,17947.23,Biweekly,Owned,5.8,No,2,Spouse,84,44978.01,Yes,No,Business,Community Plan,0,1
Private,56,23734.55,Bimonthly,Rented,2.7,No,1,Spouse,34,21577.4,No,Yes,OFW Remittance,Savings,0,0
Public,83,41781.09,Bimonthly,Rented,7.4,Yes,3,Spouse,89,21467.2,Yes,Yes,Freelance,None,0,0
Private,16,17801.06,Bimonthly,Rented,3.0,No,2,Sibling,84,41031.6,No,No,OFW Remittance,None,0,0
Private,22,37907.6,Biweekly,Rented,5.4,No,0,Spouse,62,17013.76,No,No,Business,Community Plan,0,0
Public,60,35059.99,Bimonthly,Rented,7.3,Yes,5,Parent,69,32710.8,Yes,No,Business,Savings,0,0
