Employment_Sector,Employment_Tenure_Months,Net_Salary_Per_Cutoff,Salary_Frequency,Housing_Status,Years_at_Current_Address,Household_Head,Number_of_Dependents,Comaker_Relationship,Comaker_Employment_Tenure_Months,Comaker_Net_Salary_Per_Cutoff,Has_Community_Role,Paluwagan_Participation,Other_Income_Source,Disaster_Preparedness,Is_Renewing_Client,Grace_Period_Usage_Rate,Late_Payment_Count,Had_Special_Consideration,Default
Public,120,62457,Monthly,Owned,22,Yes,1,Spouse,78,47195,Yes,Yes,None,Insurance,1,0.0,0,0,0
Public,183,41447,Monthly,Rented,12,No,1,Sibling,94,53075,Yes,Yes,Business,Insurance,1,0.04,1,0,0
Private,165,51340,Monthly,Owned,16,No,1,Spouse,95,61697,No,No,Business,Savings,0,0.21,2,0,0
Public,22,11315,Monthly,Rented,2,No,8,Sibling,11,11820,No,No,Freelance,None,0,0.75,11,1,1
Public,81,65457,Monthly,Owned,12,Yes,0,Spouse,151,76915,No,No,OFW_Remittance,Insurance,1,0.04,2,1,0
Public,193,54300,Monthly,Rented,8,Yes,2,Spouse,107,50601,Yes,No,OFW_Remittance,Insurance,1,0.05,2,0,0
Public,179,36543,Monthly,Owned,13,No,2,Sibling,162,44509,No,Yes,Business,Insurance,1,0.17,1,1,0
Public,73,61941,Monthly,Rented,8,Yes,1,Spouse,168,56003,No,Yes,Business,Savings,1,0.15,2,0,0
Public,67,28722,Monthly,Owned,16,Yes,1,Spouse,93,37496,Yes,Yes,Business,Community Plan,0,0.08,2,0,0
Public,166,29803,Bi-Weekly,Rented,26,Yes,2,Sibling,182,41848,No,Yes,OFW_Remittance,Savings,1,0.13,1,0,0
Public,157,65029,Monthly,Owned,25,Yes,1,Parent,214,72558,No,Yes,Business,Insurance,1,0.04,0,0,0
Public,93,42819,Bi-Weekly,Owned,15,Yes,2,Spouse,120,65643,Yes,No,Business,Community Plan,1,0.21,1,0,0
Private,178,62138,Bi-Weekly,Owned,22,Yes,2,Spouse,201,31896,Yes,No,OFW_Remittance,Savings,1,0.23,1,0,0
Public,20,8255,Bi-Weekly,Rented,3,No,5,Friend,34,19788,No,No,None,None,0,0.64,11,1,1
Private,1,16420,Weekly,Rented,3,No,3,Friend,11,8172,No,Yes,Freelance,None,0,0.83,10,1,1
Public,73,29714,Monthly,Rented,11,No,2,Spouse,152,31469,Yes,No,Business,Insurance,1,0.12,1,0,0
Private,11,12804,Bi-Weekly,Rented,2,Yes,4,Friend,9,11899,No,Yes,None,None,1,0.88,5,0,1
Public,148,59111,Bi-Weekly,Owned,25,Yes,1,Sibling,108,61250,No,No,OFW_Remittance,Savings,1,0.08,2,0,0
Private,13,10062,Weekly,Rented,3,No,4,Friend,21,19639,No,No,None,None,0,0.95,7,1,1
Public,167,47908,Monthly,Rented,27,Yes,1,Parent,208,34594,No,Yes,Business,Community Plan,1,0.23,1,0,0
Private,5,19432,Weekly,Rented,2,No,4,Sibling,35,14103,No,No,Freelance,None,0,0.98,5,1,1
Private,155,51042,Monthly,Owned,18,Yes,2,Sibling,180,75977,Yes,Yes,OFW_Remittance,Insurance,1,0.16,2,0,0
Private,80,25713,Monthly,Owned,6,Yes,1,Spouse,88,53333,Yes,Yes,None,Insurance,1,0.24,2,0,0
Private,5,17197,Monthly,Rented,2,No,7,Friend,21,10228,No,No,Freelance,None,1,0.8,11,0,1
Public,148,26326,Monthly,Rented,15,No,2,Spouse,121,31811,Yes,Yes,Business,Insurance,1,0.03,1,0,0
Public,52,63017,Monthly,Owned,26,No,1,Spouse,102,66380,No,No,Business,Savings,1,0.02,1,0,0
Public,124,68119,Monthly,Owned,29,Yes,0,Spouse,218,58663,No,Yes,OFW_Remittance,Insurance,1,0.09,0,0,0
Public,52,61951,Monthly,Rented,22,Yes,2,Sibling,160,47853,Yes,Yes,OFW_Remittance,Community Plan,1,0.01,2,0,0
Private,178,31812,Monthly,Rented,7,Yes,1,Parent,145,74150,No,Yes,OFW_Remittance,Community Plan,1,0.19,0,1,0
Private,12,14134,Bi-Weekly,Rented,3,No,3,Friend,19,19529,Yes,No,None,None,0,0.72,8,1,1
Private,8,10502,Bi-Weekly,Rented,3,No,6,Friend,12,16215,No,No,None,None,0,0.51,6,0,1
Public,173,50395,Monthly,Owned,11,Yes,1,Spouse,144,66034,No,Yes,Business,Insurance,1,0.23,2,1,0
Private,170,40763,Monthly,Owned,9,No,1,Spouse,181,33817,No,Yes,Business,Community Plan,1,0.24,2,0,0
Private,16,15671,Bi-Weekly,Rented,3,No,9,Friend,20,12174,No,No,Freelance,Savings,1,0.57,5,0,1
Public,125,55811,Monthly,Rented,25,Yes,0,Spouse,138,73532,No,Yes,Business,Insurance,1,0.06,0,0,0
Private,65,56833,Monthly,Rented,5,Yes,0,Spouse,165,49556,Yes,Yes,OFW_Remittance,Insurance,1,0.01,1,0,0
Private,20,19097,Bi-Weekly,Rented,3,No,5,Friend,11,18036,No,No,None,None,0,0.79,11,1,1
Public,194,45974,Monthly,Owned,23,Yes,2,Parent,179,52971,Yes,Yes,Business,Insurance,1,0.23,1,0,0
Public,137,47962,Monthly,Rented,24,Yes,2,Parent,111,70994,Yes,Yes,None,Savings,1,0.03,1,0,0
Public,17,10006,Weekly,Owned,3,No,7,Sibling,9,17960,No,No,None,None,0,0.55,8,0,1
Private,107,63524,Monthly,Owned,28,Yes,2,Parent,199,75638,Yes,Yes,OFW_Remittance,Insurance,1,0.24,1,0,0
Public,57,56004,Bi-Weekly,Rented,29,Yes,1,Parent,180,69807,Yes,Yes,None,Community Plan,1,0.1,0,0,0
Private,20,11964,Weekly,Rented,3,No,5,Sibling,17,8199,Yes,No,None,None,0,1.0,7,0,1
Public,95,47895,Monthly,Rented,21,Yes,2,Spouse,187,68255,Yes,No,OFW_Remittance,Community Plan,1,0.07,1,1,0
Public,23,16704,Weekly,Rented,1,Yes,8,Friend,20,11332,No,No,None,Savings,0,0.72,5,1,1
Private,65,34287,Monthly,Rented,7,Yes,1,Parent,68,53649,No,No,OFW_Remittance,Community Plan,1,0.07,2,0,0
Private,17,14270,Weekly,Owned,3,No,6,Friend,18,12347,Yes,No,None,None,0,0.68,5,1,1
Private,13,19506,Monthly,Rented,1,Yes,7,Sibling,23,12487,No,No,Freelance,None,0,0.9,5,1,1
Public,18,9674,Weekly,Rented,1,No,3,Friend,23,19219,No,No,None,None,0,0.83,7,1,1
Private,165,60582,Monthly,Rented,23,No,0,Spouse,162,71003,Yes,Yes,OFW_Remittance,Insurance,1,0.1,0,0,0
Public,18,19423,Bi-Weekly,Rented,3,No,6,Friend,10,15793,Yes,No,None,None,0,0.98,10,1,1
Private,96,30749,Monthly,Rented,6,No,0,Spouse,118,49082,Yes,Yes,OFW_Remittance,Insurance,1,0.06,1,0,0
Public,42,35241,Monthly,Owned,24,No,1,Sibling,52,43034,Yes,Yes,Business,Insurance,1,0.06,0,0,0
Public,107,30045,Monthly,Owned,13,Yes,0,Parent,193,40011,Yes,Yes,OFW_Remittance,Insurance,1,0.16,2,1,0
Private,66,55344,Monthly,Owned,21,Yes,0,Spouse,105,77036,No,Yes,OFW_Remittance,Community Plan,1,0.11,2,1,0
Public,138,51481,Monthly,Owned,27,Yes,2,Parent,133,38914,Yes,Yes,None,Community Plan,0,0.1,0,0,0
Public,41,34534,Monthly,Owned,12,Yes,0,Spouse,56,66145,No,No,None,Community Plan,1,0.1,1,0,0
Public,19,10015,Weekly,Owned,2,No,5,Friend,9,12607,Yes,No,None,Savings,0,0.59,8,0,1
Public,130,26434,Monthly,Owned,13,No,1,Spouse,144,44985,Yes,Yes,Business,Community Plan,1,0.12,2,0,0
Private,2,10980,Monthly,Rented,1,No,4,Friend,13,8934,No,No,None,None,0,0.93,6,0,1
Private,5,13793,Bi-Weekly,Owned,2,No,7,Sibling,23,13652,No,No,None,None,1,0.99,6,1,1
Public,194,32116,Monthly,Rented,20,Yes,2,Spouse,114,41179,Yes,Yes,Business,Community Plan,1,0.08,2,0,0
Public,123,60896,Monthly,Owned,14,No,0,Spouse,54,37141,Yes,Yes,OFW_Remittance,Insurance,1,0.11,1,0,0
Private,11,14213,Weekly,Rented,2,No,5,Sibling,21,13664,No,No,None,None,0,0.76,9,1,1
Public,11,12701,Weekly,Rented,3,Yes,7,Friend,25,12164,No,Yes,None,None,0,0.54,7,0,1
Public,197,50766,Monthly,Owned,23,Yes,0,Spouse,144,59101,No,Yes,OFW_Remittance,Insurance,0,0.21,0,0,0
Private,7,11037,Monthly,Rented,1,Yes,6,Sibling,23,15472,No,No,None,None,0,0.84,6,0,1
Public,82,29853,Bi-Weekly,Rented,12,Yes,1,Spouse,163,39190,No,No,OFW_Remittance,Insurance,1,0.18,1,0,0
Private,10,14936,Bi-Weekly,Rented,1,No,7,Friend,35,19148,No,No,None,None,0,0.53,8,1,1
Private,77,45907,Monthly,Owned,16,No,2,Sibling,78,68280,Yes,No,OFW_Remittance,Community Plan,1,0.02,2,0,0
Public,48,54874,Monthly,Rented,6,Yes,2,Spouse,180,39714,Yes,Yes,Business,Community Plan,1,0.08,1,0,0
Public,159,58153,Monthly,Owned,17,No,2,Spouse,54,79341,Yes,Yes,OFW_Remittance,Insurance,0,0.19,0,0,0
Public,182,67972,Monthly,Owned,23,No,2,Parent,161,57815,Yes,Yes,OFW_Remittance,Community Plan,1,0.06,1,1,0
Private,109,50540,Monthly,Rented,25,No,1,Parent,117,76646,No,Yes,Business,Community Plan,1,0.14,1,0,0
Public,147,58112,Monthly,Owned,15,No,1,Spouse,51,66367,Yes,No,OFW_Remittance,Community Plan,1,0.19,1,0,0
Private,108,26386,Monthly,Owned,18,No,0,Spouse,50,37923,No,Yes,Business,Community Plan,0,0.15,1,0,0
Public,156,32083,Monthly,Owned,19,Yes,2,Spouse,185,45032,Yes,Yes,None,Community Plan,1,0.23,1,1,0
Private,181,33665,Monthly,Owned,29,Yes,0,Spouse,61,43850,Yes,No,Business,Insurance,1,0.08,0,0,0
Private,15,18468,Weekly,Owned,3,No,8,Friend,26,20659,No,No,None,Savings,0,0.54,7,1,1
Public,133,53951,Monthly,Rented,27,Yes,0,Parent,203,33035,No,Yes,OFW_Remittance,Insurance,0,0.01,2,0,0
Private,148,29810,Monthly,Owned,6,Yes,1,Spouse,152,68489,Yes,Yes,OFW_Remittance,Community Plan,0,0.17,2,0,0
Private,15,14452,Weekly,Rented,2,No,8,Friend,31,16158,No,No,None,None,1,0.82,11,1,1
Private,22,16538,Weekly,Rented,3,No,4,Sibling,10,12058,No,Yes,None,None,0,0.53,10,1,1
Private,11,19874,Monthly,Owned,3,No,4,Friend,31,11838,No,No,Freelance,None,0,0.6,10,0,1
Public,156,37230,Monthly,Owned,16,Yes,2,Spouse,85,61107,No,Yes,OFW_Remittance,Savings,1,0.08,0,1,0
Public,197,41304,Bi-Weekly,Owned,26,Yes,2,Parent,56,60398,Yes,No,None,Community Plan,1,0.14,2,0,0
Private,18,10252,Weekly,Rented,2,No,5,Sibling,8,14847,No,No,Freelance,None,0,0.97,6,0,1
Public,92,41439,Monthly,Owned,12,Yes,0,Spouse,65,57089,No,No,Business,Insurance,1,0.08,2,0,0
Private,10,10824,Weekly,Rented,3,No,3,Sibling,12,17959,Yes,No,None,None,0,0.77,5,1,1
Private,66,44196,Monthly,Owned,16,No,1,Sibling,219,52217,Yes,Yes,Business,Savings,1,0.03,1,1,0
Public,51,54632,Monthly,Owned,11,Yes,2,Spouse,80,43083,Yes,No,Business,Insurance,1,0.04,2,0,0
Private,79,54368,Monthly,Owned,22,No,1,Parent,206,49262,No,No,OFW_Remittance,Community Plan,0,0.01,1,0,0
Private,20,17110,Bi-Weekly,Rented,2,No,7,Friend,34,8877,Yes,No,None,None,0,0.95,8,1,1
Public,2,11749,Bi-Weekly,Rented,1,No,4,Sibling,32,17066,No,Yes,None,None,0,0.62,9,0,1
Public,100,41242,Monthly,Rented,7,Yes,0,Sibling,95,31361,Yes,Yes,OFW_Remittance,Insurance,1,0.13,1,0,0
Private,17,13502,Weekly,Rented,2,No,9,Friend,30,13113,Yes,No,None,Savings,0,0.51,8,0,1
Private,64,41111,Monthly,Rented,28,No,1,Spouse,91,43417,Yes,No,None,Insurance,1,0.01,2,0,0
Public,96,59024,Monthly,Owned,10,Yes,0,Spouse,191,43074,Yes,Yes,None,Community Plan,1,0.21,2,1,0
Public,73,66640,Bi-Weekly,Owned,5,Yes,0,Parent,54,64755,No,No,Business,Savings,1,0.09,1,0,0
Public,100,52285,Bi-Weekly,Owned,24,Yes,0,Parent,113,57567,Yes,Yes,None,Insurance,1,0.04,2,0,0
Private,94,64924,Monthly,Rented,21,Yes,2,Parent,173,75234,Yes,Yes,None,Community Plan,1,0.05,2,0,0
Public,153,50755,Bi-Weekly,Owned,18,No,1,Parent,126,78546,Yes,Yes,Business,Insurance,1,0.05,1,0,0
Public,12,18274,Weekly,Owned,2,No,9,Friend,15,10325,No,No,None,None,0,0.69,11,1,1
Private,2,12314,Monthly,Owned,1,No,8,Friend,21,19463,No,No,None,None,0,0.57,8,1,1
Private,67,49291,Monthly,Rented,12,Yes,0,Spouse,77,35461,Yes,Yes,OFW_Remittance,Savings,0,0.03,0,0,0
Public,19,11742,Weekly,Rented,1,Yes,8,Sibling,34,17294,No,No,None,None,0,0.76,11,1,1
Public,196,51059,Monthly,Rented,26,No,1,Sibling,111,48666,No,Yes,Business,Insurance,1,0.14,0,0,0
Public,7,11701,Weekly,Rented,3,Yes,8,Sibling,19,14534,Yes,No,None,None,0,0.99,10,0,1
Public,145,46698,Monthly,Owned,5,Yes,1,Sibling,161,51990,No,Yes,Business,Savings,1,0.0,1,1,0
Private,182,28702,Monthly,Rented,11,Yes,1,Spouse,180,42930,Yes,Yes,Business,Savings,0,0.12,2,1,0
Private,23,15785,Weekly,Rented,1,Yes,3,Sibling,19,20147,Yes,No,None,Savings,0,0.69,9,0,1
Private,101,65761,Bi-Weekly,Owned,13,Yes,1,Parent,50,77324,Yes,Yes,None,Insurance,1,0.14,0,0,0
Public,94,41846,Monthly,Owned,28,No,0,Spouse,159,71751,No,Yes,Business,Community Plan,0,0.13,2,0,0
Public,80,63613,Monthly,Owned,21,Yes,2,Spouse,65,41225,Yes,Yes,Business,Insurance,1,0.23,0,0,0
Public,52,27965,Bi-Weekly,Rented,27,Yes,2,Spouse,218,57232,Yes,Yes,OFW_Remittance,Insurance,1,0.24,0,0,0
Private,9,16109,Weekly,Rented,3,No,4,Friend,22,9777,No,Yes,None,None,0,0.62,11,0,1
Public,188,36445,Monthly,Owned,16,Yes,2,Spouse,183,72804,No,Yes,Business,Insurance,1,0.1,1,0,0
Public,124,69057,Monthly,Owned,5,Yes,0,Spouse,74,40495,Yes,Yes,Business,Insurance,1,0.16,2,0,0
Private,54,46490,Bi-Weekly,Rented,23,Yes,2,Parent,125,42784,No,Yes,OFW_Remittance,Savings,0,0.01,2,0,0
Private,91,49599,Bi-Weekly,Owned,29,Yes,1,Spouse,107,55166,Yes,Yes,OFW_Remittance,Savings,1,0.2,0,1,0
Private,159,68512,Bi-Weekly,Rented,5,Yes,2,Parent,109,38545,Yes,Yes,Business,Insurance,1,0.13,1,1,0
Public,136,45762,Bi-Weekly,Owned,10,Yes,2,Spouse,191,76539,Yes,Yes,None,Community Plan,1,0.23,2,0,0
Public,153,44741,Monthly,Owned,15,Yes,1,Spouse,191,51082,Yes,No,OFW_Remittance,Community Plan,0,0.06,0,1,0
Public,100,29123,Monthly,Rented,6,Yes,0,Parent,218,41470,No,No,OFW_Remittance,Community Plan,0,0.19,2,0,0
Public,195,42785,Monthly,Owned,11,Yes,1,Spouse,101,71483,Yes,Yes,Business,Insurance,1,0.24,0,0,0
Private,181,38347,Monthly,Rented,23,Yes,1,Spouse,211,44769,Yes,No,OFW_Remittance,Insurance,0,0.11,1,0,0
Private,118,68104,Bi-Weekly,Owned,8,Yes,1,Parent,167,44004,No,Yes,OFW_Remittance,Savings,1,0.15,0,0,0
Public,184,27037,Monthly,Owned,5,No,0,Spouse,200,55144,Yes,No,OFW_Remittance,Insurance,1,0.11,1,0,0
Private,61,43733,Monthly,Rented,6,Yes,2,Spouse,143,61258,Yes,Yes,None,Insurance,1,0.22,2,0,0
Private,77,27206,Monthly,Owned,29,Yes,2,Spouse,217,75455,Yes,Yes,Business,Savings,1,0.05,1,1,0
Private,60,63869,Bi-Weekly,Owned,27,Yes,1,Spouse,168,71982,Yes,Yes,OFW_Remittance,Community Plan,0,0.02,0,0,0
Private,93,54326,Monthly,Owned,20,Yes,1,Spouse,214,71023,Yes,Yes,Business,Insurance,1,0.1,0,0,0
Public,132,39473,Monthly,Owned,13,No,0,Spouse,179,39447,Yes,No,OFW_Remittance,Savings,1,0.1,0,0,0
Public,58,64224,Monthly,Owned,19,Yes,0,Spouse,78,34475,No,Yes,Business,Savings,1,0.19,0,0,0
Public,104,47209,Monthly,Owned,28,Yes,2,Spouse,74,72384,No,Yes,OFW_Remittance,Savings,1,0.21,0,0,0
Private,15,19677,Weekly,Rented,2,No,4,Friend,6,12835,Yes,No,None,None,0,0.97,11,1,1
Public,85,36450,Monthly,Owned,21,Yes,0,Spouse,202,51935,Yes,Yes,OFW_Remittance,Insurance,0,0.24,0,0,0
Public,70,54856,Bi-Weekly,Owned,19,Yes,2,Spouse,169,32709,Yes,Yes,Business,Community Plan,1,0.11,0,0,0
Private,85,29262,Bi-Weekly,Rented,27,No,1,Spouse,167,37799,Yes,Yes,OFW_Remittance,Community Plan,1,0.13,2,0,0
Public,15,8960,Weekly,Rented,2,No,5,Sibling,14,9494,Yes,No,None,None,0,1.0,5,1,1
Public,12,19712,Weekly,Owned,1,Yes,3,Sibling,33,12670,No,No,None,Savings,1,0.67,9,1,1
Public,94,62992,Monthly,Owned,13,Yes,1,Spouse,100,50758,No,Yes,OFW_Remittance,Insurance,0,0.2,0,1,0
Public,161,49597,Monthly,Owned,22,Yes,2,Parent,194,53263,Yes,Yes,OFW_Remittance,Insurance,1,0.1,1,1,0
Private,69,67501,Monthly,Owned,26,Yes,0,Spouse,101,36256,Yes,Yes,OFW_Remittance,Insurance,1,0.13,1,0,0
Private,44,28988,Monthly,Rented,18,Yes,0,Parent,202,55524,Yes,Yes,Business,Community Plan,1,0.2,1,1,0
Public,68,29917,Monthly,Rented,13,Yes,1,Spouse,174,44163,No,No,Business,Insurance,0,0.14,2,0,0
Public,71,66813,Bi-Weekly,Rented,27,No,1,Spouse,203,42963,Yes,Yes,None,Savings,1,0.06,1,0,0
Private,10,19419,Weekly,Rented,2,No,9,Friend,32,16481,Yes,Yes,None,None,0,0.56,9,0,1
Public,160,49638,Monthly,Owned,9,Yes,0,Spouse,192,40194,No,No,Business,Savings,1,0.07,2,0,0
Public,183,66595,Monthly,Owned,14,No,0,Parent,155,72776,Yes,Yes,OFW_Remittance,Community Plan,1,0.22,1,0,0
Public,194,56072,Monthly,Owned,9,Yes,2,Spouse,132,53857,Yes,No,OFW_Remittance,Insurance,1,0.12,1,0,0
Private,40,43674,Monthly,Owned,25,Yes,2,Spouse,147,68243,Yes,No,OFW_Remittance,Insurance,0,0.0,0,0,0
Private,4,9588,Bi-Weekly,Rented,3,Yes,5,Friend,30,19767,No,No,Freelance,None,0,1.0,6,0,1
Private,2,18922,Monthly,Owned,3,No,9,Sibling,20,8766,No,Yes,None,None,0,0.55,8,0,1
Public,38,45996,Monthly,Rented,27,Yes,0,Spouse,213,69010,Yes,Yes,None,Savings,1,0.17,0,0,0
Private,136,30363,Monthly,Owned,21,Yes,1,Spouse,51,75995,No,Yes,Business,Community Plan,1,0.06,0,0,0
Private,120,32972,Bi-Weekly,Rented,10,Yes,1,Spouse,129,32609,No,Yes,OFW_Remittance,Insurance,1,0.18,2,0,0
Public,169,45158,Bi-Weekly,Owned,7,Yes,1,Spouse,76,73466,Yes,Yes,None,Insurance,0,0.2,2,0,0
Public,125,64249,Monthly,Rented,23,No,2,Spouse,176,73868,Yes,No,None,Community Plan,0,0.06,0,0,0
Private,1,14477,Bi-Weekly,Owned,3,No,7,Friend,7,12578,No,No,None,None,0,0.56,5,0,1
Private,5,15293,Weekly,Rented,1,No,6,Friend,24,15770,No,No,None,Savings,0,0.54,8,1,1
Private,137,42499,Monthly,Owned,15,No,1,Spouse,164,49516,Yes,Yes,OFW_Remittance,Insurance,0,0.22,1,0,0
Private,61,50169,Monthly,Owned,23,Yes,1,Parent,139,75557,Yes,No,OFW_Remittance,Insurance,1,0.0,0,0,0
Public,82,45155,Monthly,Owned,19,Yes,2,Spouse,59,46253,Yes,No,Business,Community Plan,1,0.21,0,0,0
Public,19,19361,Bi-Weekly,Rented,3,No,3,Friend,24,12371,No,Yes,None,None,0,0.68,8,0,1
Public,183,34375,Monthly,Owned,9,Yes,0,Parent,66,60323,No,Yes,OFW_Remittance,Insurance,1,0.15,2,0,0
Public,178,63902,Bi-Weekly,Rented,16,Yes,0,Spouse,63,38145,No,Yes,Business,Insurance,0,0.14,2,1,0
Private,22,11505,Bi-Weekly,Rented,1,No,3,Friend,31,10840,No,No,None,None,0,0.59,9,1,1
Private,147,46824,Bi-Weekly,Owned,11,Yes,2,Spouse,90,54066,Yes,Yes,None,Insurance,1,0.12,2,0,0
Public,182,53781,Monthly,Rented,22,No,0,Parent,56,59536,Yes,Yes,None,Community Plan,1,0.24,2,0,0
Private,9,18894,Bi-Weekly,Rented,2,No,4,Friend,33,14533,No,No,None,Savings,1,0.55,8,1,1
Public,183,43843,Monthly,Owned,17,No,2,Spouse,115,79425,Yes,Yes,Business,Community Plan,1,0.06,2,0,0
Public,186,47650,Bi-Weekly,Rented,19,No,1,Spouse,193,42184,Yes,Yes,Business,Insurance,1,0.11,1,0,0
Public,151,31420,Monthly,Owned,25,Yes,2,Spouse,201,51094,Yes,No,Business,Savings,1,0.22,0,0,0
Public,85,36832,Monthly,Owned,5,No,2,Spouse,163,35679,No,Yes,OFW_Remittance,Savings,1,0.2,2,0,0
