Employment_Sector,Employment_Tenure_Months,Net_Salary_Per_Cutoff,Salary_Frequency,Housing_Status,Years_at_Current_Address,Household_Head,Number_of_Dependents,Comaker_Relationship,Comaker_Employment_Tenure_Months,Comaker_Net_Salary_Per_Cutoff,Has_Community_Role,Paluwagan_Participation,Other_Income_Source,Disaster_Preparedness,Is_Renewing_Client,Default
Private,52,33165.76,Biweekly,Rented,2.9,Yes,0,Parent,70,16096.77,No,Yes,None,Savings,0,0
Public,68,32296.51,Biweekly,Owned,9.5,Yes,5,Sibling,103,22306.81,No,Yes,None,Community Plan,0,0
Public,87,42282.35,Biweekly,Rented,1.8,No,0,Sibling,75,28030.61,Yes,No,OFW Remittance,Insurance,0,0
Public,96,44289.6,Monthly,Owned,5.2,No,4,Friend,94,41220.23,Yes,Yes,Freelance,None,0,0
Private,104,33043.19,Weekly,Owned,5.8,Yes,3,Spouse,115,26651.61,Yes,Yes,Freelance,None,0,0
Public,75,28604.33,Weekly,Owned,6.6,Yes,5,Spouse,91,16590.9,No,Yes,OFW Remittance,Savings,0,0
Private,57,44379.15,Monthly,Rented,7.9,Yes,0,Spouse,115,26969.92,No,Yes,None,Savings,0,0
Public,16,41795.81,Weekly,Rented,9.7,No,0,Friend,51,33584.38,No,Yes,None,Savings,0,0
Public,42,28452.84,Biweekly,Rented,3.6,No,1,Friend,31,24412.69,No,No,None,None,0,0
Public,103,21877.85,Weekly,Owned,0.5,No,5,Friend,26,16381.96,No,Yes,Freelance,Insurance,0,0
Public,111,38319.04,Monthly,Owned,5.6,No,3,Friend,84,44690.2,No,Yes,None,Community Plan,0,0
Public,57,39382.46,Weekly,Rented,8.6,Yes,0,Parent,10,36739.93,No,No,Freelance,Insurance,0,0
Private,89,15675.85,Weekly,Owned,8.5,Yes,0,Sibling,12,42500.89,Yes,Yes,Business,Community Plan,0,0
Public,98,26572.84,Monthly,Rented,1.3,Yes,5,Friend,48,20588.87,Yes,No,OFW Remittance,Savings,0,0
Private,63,33722.23,Monthly,Owned,1.7,No,2,Spouse,86,15197.03,Yes,Yes,None,None,0,0
Private,79,41568.06,Bimonthly,Rented,1.4,No,2,Spouse,64,40079.11,No,No,Business,Savings,0,0
Public,64,40615.29,Biweekly,Owned,4.1,No,5,Sibling,65,21769.29,No,No,None,Insurance,0,0
Public,93,31090.04,Biweekly,Owned,1.6,Yes,3,Parent,53,32477.03,Yes,No,None,Community Plan,0,0
Private,94,43519.88,Bimonthly,Rented,8.5,No,2,Sibling,93,35430.26,No,No,OFW Remittance,Insurance,0,0
Public,82,35282.45,Weekly,Owned,3.2,No,3,Spouse,111,42842.33,No,Yes,Freelance,Insurance,0,0
Public,14,20978.85,Bimonthly,Owned,1.7,Yes,2,Friend,78,36974.57,No,Yes,OFW Remittance,Savings,0,1
Public,52,22903.19,Biweekly,Rented,5.3,No,4,Friend,106,32169.84,Yes,No,Business,Savings,0,0
Public,60,35061.07,Bimonthly,Owned,4.4,Yes,0,Sibling,94,29022.98,Yes,Yes,None,None,0,0
Public,34,26098.62,Monthly,Rented,5.8,Yes,4,Parent,84,16506.79,No,Yes,Business,Community Plan,0,0
Public,65,39396.83,Weekly,Rented,2.6,Yes,1,Sibling,71,29038.7,Yes,Yes,OFW Remittance,Insurance,0,0
Private,6,33560.48,Weekly,Owned,5.6,Yes,4,Spouse,29,21414.51,No,Yes,None,Community Plan,0,0
Public,101,26671.97,Monthly,Rented,9.5,Yes,0,Spouse,105,20978.62,No,Yes,Freelance,Savings,0,0
Public,24,27658.51,Bimonthly,Rented,3.6,Yes,3,Friend,52,36953.49,No,No,Business,None,0,0
Public,22,37192.99,Monthly,Rented,5.4,No,4,Sibling,48,20916.38,No,No,OFW Remittance,Community Plan,0,0
Private,69,33537.14,Monthly,Rented,4.7,No,3,Spouse,60,23340.79,No,No,None,Savings,0,1
Public,71,18088.83,Biweekly,Owned,4.8,No,3,Sibling,120,27538.61,Yes,No,None,Community Plan,0,1
Public,62,34640.23,Bimonthly,Owned,6.0,Yes,3,Spouse,49,22232.41,Yes,No,None,Savings,0,0
Private,113,16291.58,Weekly,Owned,1.7,No,4,Spouse,51,17628.08,Yes,Yes,None,Savings,0,0
Private,17,24223.87,Bimonthly,Rented,0.4,No,1,Parent,58,40381.45,No,No,OFW Remittance,Insurance,0,0
Public,22,16260.37,Monthly,Rented,4.4,No,2,Friend,56,22345.02,Yes,Yes,Business,None,0,0
Private,26,23031.03,Monthly,Rented,1.5,No,0,Parent,15,26868.28,No,Yes,Freelance,Savings,0,0
Private,120,27755.64,Weekly,Owned,4.1,Yes,3,Parent,73,21321.25,No,Yes,None,None,0,0
Private,87,34436.37,Biweekly,Rented,2.7,Yes,2,Spouse,71,15187.18,No,No,OFW Remittance,Insurance,0,0
Public,117,19867.8,Biweekly,Rented,9.7,No,3,Friend,70,23080.98,Yes,No,None,Insurance,0,0
Private,28,38357.37,Bimonthly,Owned,8.0,No,2,Sibling,84,41216.27,No,Yes,None,Community Plan,0,0
Private,49,19585.55,Bimonthly,Owned,3.4,No,3,Parent,96,19147.5,Yes,No,OFW Remittance,Insurance,0,0
Public,74,39368.24,Weekly,Rented,1.9,No,2,Spouse,34,27372.8,Yes,No,OFW Remittance,None,0,0
Public,68,39138.28,Biweekly,Rented,5.1,No,1,Parent,17,17902.17,Yes,No,None,Insurance,0,0
Private,24,43021.49,Bimonthly,Owned,5.2,No,2,Sibling,56,29291.18,Yes,Yes,OFW Remittance,None,0,0
Private,104,29349.53,Monthly,Rented,6.7,Yes,5,Spouse,21,41603.16,No,Yes,OFW Remittance,Community Plan,0,0
Public,19,25534.02,Monthly,Owned,8.7,No,0,Parent,72,20976.06,No,Yes,Freelance,Savings,0,0
Public,85,29391.58,Monthly,Rented,8.8,No,4,Parent,13,42707.7,Yes,Yes,Business,None,0,0
Public,18,20771.45,Monthly,Rented,0.8,Yes,0,Parent,95,32851.67,No,Yes,Freelance,Insurance,0,0
Private,108,16638.98,Biweekly,Rented,3.5,No,1,Spouse,73,39292.22,No,No,None,Savings,0,0
Private,22,23408.51,Monthly,Rented,4.2,No,1,Friend,89,28610.02,No,Yes,Freelance,Savings,0,1
Public,46,43942.27,Monthly,Rented,5.1,Yes,4,Friend,54,32348.29,Yes,No,Freelance,Savings,0,1
Private,45,36995.86,Bimonthly,Rented,4.8,No,2,Spouse,96,39490.24,No,No,Business,Community Plan,0,0
Public,102,20631.54,Biweekly,Owned,8.5,Yes,5,Sibling,77,15133.69,Yes,Yes,Business,Savings,0,0
Private,32,34648.06,Weekly,Owned,8.0,Yes,3,Parent,80,31062.25,No,No,None,Savings,0,0
Public,93,22102.26,Weekly,Rented,0.2,No,0,Friend,23,21984.01,Yes,Yes,OFW Remittance,Savings,0,0
Public,101,37986.15,Monthly,Owned,6.0,No,4,Friend,113,28529.23,Yes,No,OFW Remittance,None,0,1
Public,27,29726.84,Biweekly,Rented,3.7,Yes,5,Friend,44,42873.06,Yes,No,None,None,0,0
Public,70,37996.69,Weekly,Rented,5.1,Yes,4,Parent,16,25539.32,No,Yes,Business,Community Plan,0,0
Public,60,32047.06,Monthly,Rented,4.1,No,4,Parent,43,24662.26,Yes,Yes,Freelance,Community Plan,0,0
Private,30,43798.9,Weekly,Rented,7.5,No,3,Sibling,45,29741.88,No,No,Business,None,0,0
Private,67,22516.78,Monthly,Owned,2.6,Yes,0,Friend,93,15875.13,Yes,Yes,Freelance,None,0,0
Public,61,38132.14,Monthly,Owned,6.2,Yes,5,Parent,84,22148.11,No,No,Freelance,Insurance,0,0
Public,57,24986.86,Bimonthly,Owned,0.2,No,3,Friend,46,16635.14,Yes,Yes,Business,None,0,0
Public,87,27066.8,Monthly,Rented,3.8,Yes,4,Sibling,54,40501.77,Yes,No,OFW Remittance,Community Plan,0,0
Private,80,38718.5,Bimonthly,Owned,4.7,No,5,Sibling,107,38951.71,Yes,Yes,Business,Community Plan,0,0
Public,42,35731.49,Bimonthly,Rented,3.4,Yes,2,Parent,54,22901.19,No,No,Business,None,0,0
Private,20,21304.84,Monthly,Rented,3.7,No,0,Spouse,49,43094.56,Yes,Yes,None,None,0,0
Private,19,31844.29,Biweekly,Owned,0.4,No,1,Parent,83,42755.01,No,Yes,Freelance,Insurance,0,0
Public,115,15419.1,Monthly,Owned,4.1,Yes,5,Spouse,93,16950.85,Yes,Yes,Business,Savings,0,0
Private,45,44961.48,Monthly,Rented,1.4,No,3,Spouse,60,32184.92,No,No,None,None,0,0
Public,23,35500.73,Monthly,Owned,8.3,No,3,Parent,70,28764.6,Yes,Yes,Business,None,0,0
Public,7,43644.35,Bimonthly,Owned,6.2,Yes,3,Spouse,75,19244.37,Yes,No,Freelance,Insurance,0,0
Private,16,23403.95,Weekly,Owned,3.6,Yes,0,Parent,111,18098.14,No,Yes,Freelance,Savings,0,0
Private,50,44662.11,Bimonthly,Owned,1.4,Yes,2,Parent,119,35206.73,Yes,No,Business,None,0,0
Private,7,19600.72,Biweekly,Rented,6.6,No,4,Friend,116,40772.61,No,No,Business,Savings,0,1
Private,11,35752.81,Weekly,Rented,9.3,Yes,4,Friend,11,24394.8,Yes,Yes,Freelance,Savings,0,1
Private,45,26828.9,Weekly,Owned,5.7,No,0,Spouse,92,40529.85,No,Yes,Business,None,0,0
Public,114,16230.88,Weekly,Rented,7.9,No,5,Parent,80,31717.44,No,No,OFW Remittance,Community Plan,0,0
Public,112,42707.52,Weekly,Owned,2.1,Yes,3,Spouse,68,17241.29,Yes,Yes,OFW Remittance,Insurance,0,0
Private,34,23299.44,Monthly,Owned,2.6,Yes,5,Parent,94,23684.67,Yes,No,OFW Remittance,Savings,0,0
Private,70,31756.54,Biweekly,Rented,1.5,Yes,4,Sibling,11,43135.27,Yes,No,None,Savings,0,1
Public,116,22616.01,Biweekly,Rented,9.6,Yes,3,Parent,116,33403.61,No,Yes,OFW Remittance,Community Plan,0,0
Public,30,40712.25,Monthly,Owned,5.5,Yes,1,Parent,63,41450.8,No,Yes,Business,Savings,0,0
Private,100,30607.9,Monthly,Rented,0.4,Yes,5,Sibling,10,19340.59,Yes,Yes,None,Community Plan,0,0
Public,88,30793.17,Biweekly,Rented,4.9,Yes,5,Spouse,43,32579.83,Yes,No,OFW Remittance,Community Plan,0,0
Private,27,15761.53,Monthly,Rented,8.6,No,3,Spouse,111,42339.26,Yes,No,None,Savings,0,0
Private,28,29132.41,Bimonthly,Owned,4.2,No,2,Friend,53,33773.68,No,Yes,OFW Remittance,Community Plan,0,0
Private,81,37539.02,Bimonthly,Rented,4.2,No,2,Parent,73,36725.16,Yes,Yes,None,None,0,1
Private,111,38586.1,Monthly,Rented,0.3,Yes,5,Sibling,16,31752.21,Yes,Yes,Business,Insurance,0,0
Public,78,29295.71,Bimonthly,Owned,9.9,Yes,4,Spouse,47,35533.48,No,Yes,Business,Savings,0,0
Private,23,34576.5,Monthly,Rented,7.5,Yes,1,Parent,13,19071.0,No,Yes,Freelance,Community Plan,0,0
Public,10,33880.45,Weekly,Owned,1.3,Yes,0,Spouse,95,34852.71,Yes,No,Business,Savings,0,0
Private,44,32916.12,Biweekly,Rented,4.5,No,5,Friend,79,25731.12,Yes,Yes,Business,None,0,0
Private,53,23187.83,Bimonthly,Rented,4.0,No,4,Parent,51,40722.94,No,No,Freelance,None,0,1
Private,36,41835.47,Bimonthly,Owned,2.0,Yes,1,Parent,52,24861.35,Yes,No,None,Savings,0,0
Private,66,17951.0,Monthly,Rented,1.0,Yes,0,Spouse,49,35601.83,No,No,Freelance,Insurance,0,0
Public,29,16817.29,Monthly,Owned,1.4,No,5,Friend,111,22394.66,No,Yes,OFW Remittance,None,0,1
Private,43,15118.96,Weekly,Owned,6.4,No,5,Spouse,13,41248.81,Yes,Yes,Business,Community Plan,0,0
Public,110,28199.03,Biweekly,Rented,5.6,No,3,Sibling,50,31620.33,Yes,Yes,Business,Community Plan,0,0
Public,10,25818.54,Biweekly,Rented,2.8,Yes,1,Spouse,57,27274.88,No,No,Freelance,None,0,0
Public,43,25766.69,Weekly,Owned,7.3,No,0,Sibling,107,20564.48,Yes,Yes,Business,Savings,0,0
Private,77,29894.56,Bimonthly,Owned,8.0,No,3,Friend,39,19903.02,Yes,No,Business,Savings,0,0
Private,114,39678.17,Weekly,Rented,0.8,Yes,3,Parent,59,36480.36,Yes,No,Business,Insurance,0,0
Private,115,30481.5,Monthly,Owned,3.8,No,3,Spouse,67,40306.78,No,Yes,Business,Insurance,0,0
Private,45,30601.69,Biweekly,Owned,9.1,No,4,Parent,79,44440.5,No,No,Freelance,Community Plan,0,0
Public,104,32869.97,Monthly,Rented,1.3,Yes,1,Sibling,24,27161.95,Yes,Yes,Business,Insurance,0,0
Public,7,44598.43,Bimonthly,Owned,3.4,Yes,4,Sibling,106,30473.86,No,No,None,Insurance,0,0
Public,98,24812.31,Biweekly,Rented,9.8,No,3,Friend,38,32259.3,Yes,Yes,Freelance,Insurance,0,0
Public,37,26379.48,Monthly,Rented,0.4,No,3,Parent,60,33131.06,Yes,No,None,Insurance,0,1
Private,31,17736.8,Weekly,Owned,4.1,Yes,5,Parent,41,41916.08,No,Yes,OFW Remittance,None,0,1
Private,106,39732.97,Weekly,Rented,4.7,No,2,Friend,83,44772.92,Yes,Yes,None,Savings,0,0
Public,49,19626.21,Weekly,Owned,3.5,No,1,Parent,42,39648.51,Yes,No,Business,Community Plan,0,1
Public,66,27117.41,Biweekly,Rented,7.5,Yes,4,Parent,79,26418.65,Yes,Yes,OFW Remittance,Insurance,0,0
Private,9,15012.38,Monthly,Owned,6.6,No,1,Sibling,114,42284.26,No,No,Business,Insurance,0,1
Public,81,35507.92,Biweekly,Owned,8.8,No,1,Spouse,114,33503.5,No,Yes,Freelance,Community Plan,0,0
Private,40,28162.11,Biweekly,Rented,1.3,No,3,Sibling,112,21715.93,Yes,No,Business,Insurance,0,0
Public,120,16623.64,Bimonthly,Rented,2.6,No,0,Parent,51,44574.7,No,No,Business,Savings,0,0
Private,59,27198.51,Bimonthly,Rented,8.0,No,1,Parent,100,15530.42,No,No,Business,Savings,0,0
Public,29,38445.15,Biweekly,Rented,4.2,No,0,Parent,119,42915.03,No,No,OFW Remittance,None,0,0
Private,94,19561.48,Biweekly,Rented,7.6,No,1,Parent,50,39278.73,Yes,Yes,None,None,0,0
Public,70,20443.51,Biweekly,Rented,4.5,Yes,2,Sibling,34,41092.55,No,No,OFW Remittance,Savings,0,0
Public,56,39004.69,Bimonthly,Owned,2.3,No,0,Friend,96,18437.63,No,Yes,None,Community Plan,0,0
Public,72,41829.81,Bimonthly,Rented,4.7,No,3,Friend,76,25154.63,Yes,Yes,OFW Remittance,Insurance,0,0
Public,79,15724.29,Biweekly,Owned,5.6,Yes,1,Parent,48,28626.25,Yes,No,Business,Insurance,0,0
Private,13,30175.52,Bimonthly,Owned,0.7,No,3,Parent,73,25816.45,Yes,No,Business,Insurance,0,0
Public,118,17468.94,Monthly,Owned,4.5,Yes,1,Parent,90,32227.27,Yes,No,None,None,0,0
Public,108,19449.34,Monthly,Owned,7.9,Yes,0,Sibling,29,32774.88,No,No,Freelance,Community Plan,0,0
Private,36,27696.26,Weekly,Owned,9.3,No,0,Parent,24,36711.0,Yes,No,OFW Remittance,Insurance,0,0
Private,85,36907.42,Biweekly,Rented,1.4,Yes,4,Sibling,28,15085.29,No,Yes,OFW Remittance,Savings,0,0
Public,60,21577.91,Monthly,Owned,6.9,Yes,1,Spouse,84,28917.32,Yes,Yes,None,None,0,0
Private,70,17585.24,Weekly,Owned,9.7,No,5,Parent,111,44957.83,No,No,Freelance,None,0,0
Private,34,29626.83,Bimonthly,Owned,9.5,No,3,Parent,36,44258.62,No,No,Freelance,Savings,0,0
Private,73,38873.01,Weekly,Rented,1.1,No,0,Spouse,26,20331.78,No,Yes,OFW Remittance,Community Plan,0,0
Public,19,27610.96,Weekly,Owned,8.9,Yes,0,Sibling,13,33962.67,Yes,No,OFW Remittance,Community Plan,0,1
Public,17,15918.35,Monthly,Rented,0.5,No,0,Sibling,47,16936.59,Yes,No,Business,Savings,0,0
Public,54,27256.21,Monthly,Owned,1.4,No,4,Spouse,37,43021.31,No,No,Freelance,Savings,0,0
Private,26,40495.12,Monthly,Rented,3.8,Yes,4,Spouse,36,38281.16,No,Yes,Business,Community Plan,0,0
Private,111,21773.04,Biweekly,Owned,7.6,Yes,1,Friend,29,22380.4,No,No,Business,Savings,0,0
Public,84,19365.56,Bimonthly,Rented,8.5,No,0,Friend,68,27453.38,No,Yes,Freelance,Savings,0,0
Private,67,38236.91,Bimonthly,Rented,1.8,No,2,Parent,71,16188.64,No,Yes,Business,Insurance,0,0
Public,21,40218.3,Biweekly,Owned,0.7,Yes,3,Friend,67,43748.84,No,No,Business,Insurance,0,0
Public,90,22619.48,Bimonthly,Rented,3.3,No,0,Spouse,101,42970.83,No,Yes,None,Insurance,0,0
Private,67,22047.25,Biweekly,Rented,4.1,No,1,Spouse,37,42528.56,Yes,Yes,Freelance,Insurance,0,0
Public,110,37565.7,Bimonthly,Rented,9.5,Yes,4,Sibling,80,26676.44,Yes,No,Freelance,Community Plan,0,0
Private,101,15489.46,Monthly,Rented,0.9,No,3,Sibling,108,31673.01,Yes,Yes,Freelance,Savings,0,0
Public,73,34173.51,Monthly,Owned,1.7,No,5,Sibling,56,35436.04,Yes,No,Business,Savings,0,0
Public,60,33211.58,Biweekly,Owned,9.3,Yes,3,Friend,10,25955.72,No,Yes,OFW Remittance,Savings,0,0
Public,91,15870.56,Monthly,Rented,8.2,Yes,0,Spouse,75,33111.42,Yes,No,None,Community Plan,0,0
Public,53,21375.97,Biweekly,Rented,2.4,Yes,1,Friend,84,15222.19,Yes,Yes,Business,Insurance,0,0
Public,46,33319.04,Weekly,Rented,5.7,No,5,Spouse,91,19297.49,Yes,Yes,Business,Savings,0,0
Private,33,31497.54,Bimonthly,Owned,0.4,Yes,2,Sibling,65,33016.04,No,No,Business,Savings,0,0
Private,32,20097.3,Monthly,Owned,2.1,No,3,Sibling,11,27133.1,Yes,No,None,Insurance,0,1
Public,64,29988.3,Monthly,Owned,0.3,Yes,1,Sibling,95,23225.58,No,Yes,OFW Remittance,Community Plan,0,0
Public,89,41988.23,Bimonthly,Rented,4.5,Yes,3,Parent,97,38192.61,Yes,No,OFW Remittance,Savings,0,0
Private,74,35241.75,Monthly,Rented,6.8,No,3,Sibling,113,28047.01,No,Yes,Business,Community Plan,0,0
Private,67,37518.39,Weekly,Owned,2.8,No,0,Spouse,18,25978.46,No,Yes,Freelance,Insurance,0,0
Private,75,25324.15,Monthly,Owned,0.1,No,5,Parent,66,39847.62,No,Yes,Business,Insurance,0,1
Public,113,43469.22,Weekly,Owned,1.0,Yes,5,Sibling,73,44166.91,No,No,OFW Remittance,Insurance,0,0
Public,103,30823.4,Bimonthly,Owned,2.0,No,4,Parent,44,34081.91,Yes,No,Freelance,Community Plan,0,0
Private,28,17103.26,Monthly,Owned,4.0,No,4,Spouse,81,26101.8,No,No,OFW Remittance,Community Plan,0,0
Private,65,22558.0,Bimonthly,Rented,2.5,No,5,Spouse,21,16825.56,No,No,Freelance,Insurance,0,1
Public,86,37094.76,Biweekly,Rented,8.6,Yes,5,Sibling,95,19552.61,Yes,Yes,Freelance,Insurance,0,0
Private,111,37638.11,Monthly,Owned,0.9,No,1,Sibling,44,31544.37,No,No,None,Insurance,0,0
Public,58,20768.2,Bimonthly,Owned,7.9,No,3,Friend,18,33141.05,Yes,Yes,Freelance,Insurance,0,0
Public,52,22850.99,Weekly,Rented,9.3,No,0,Sibling,101,25641.36,Yes,No,None,Insurance,0,0
Private,96,36941.69,Monthly,Owned,0.8,No,2,Spouse,21,29048.36,Yes,Yes,Business,None,0,0
Public,63,27205.34,Bimonthly,Owned,6.2,No,3,Spouse,102,38909.51,Yes,Yes,None,Savings,0,0
Private,57,25826.81,Bimonthly,Owned,4.3,Yes,1,Friend,68,43186.41,Yes,Yes,Business,Community Plan,0,0
Public,98,27410.41,Monthly,Owned,3.0,Yes,3,Sibling,54,26013.65,No,No,OFW Remittance,Insurance,0,0
Public,62,26808.21,Weekly,Rented,4.1,No,5,Parent,43,37548.55,No,No,Business,Community Plan,0,1
Private,11,39788.84,Weekly,Owned,0.5,No,2,Friend,119,20971.18,Yes,Yes,OFW Remittance,None,0,0
Public,56,34162.29,Weekly,Owned,4.3,No,5,Spouse,41,18284.6,No,No,Business,Savings,0,1
Private,13,25003.98,Monthly,Rented,0.8,Yes,1,Sibling,24,26506.71,Yes,Yes,None,Insurance,0,0
Public,62,41157.04,Biweekly,Owned,2.5,No,4,Sibling,67,28351.68,Yes,No,Freelance,Insurance,0,0
Private,24,30033.46,Bimonthly,Owned,9.7,Yes,1,Sibling,71,18621.13,Yes,Yes,None,Insurance,0,0
Public,46,37899.63,Weekly,Owned,6.9,No,3,Friend,86,44646.4,Yes,Yes,None,Community Plan,0,0
Public,9,22339.21,Weekly,Owned,7.0,No,2,Parent,117,27852.28,No,No,Business,Insurance,0,1
Public,73,27135.89,Bimonthly,Rented,2.5,No,4,Spouse,71,44724.31,No,Yes,OFW Remittance,Savings,0,0
Public,10,36797.43,Bimonthly,Rented,5.6,Yes,1,Parent,101,28610.87,Yes,Yes,None,Insurance,0,0
Private,13,30300.34,Weekly,Rented,2.2,No,5,Spouse,16,25830.83,No,Yes,Freelance,Community Plan,0,0
Public,105,23685.72,Biweekly,Owned,2.9,No,3,Friend,21,43770.92,Yes,Yes,Freelance,Insurance,0,0
Public,74,39326.82,Biweekly,Owned,7.1,Yes,0,Friend,27,26454.39,No,No,Business,Community Plan,0,0
Private,27,21267.87,Monthly,Owned,1.7,No,2,Parent,48,40614.6,Yes,Yes,OFW Remittance,Community Plan,0,0
Private,73,19306.73,Bimonthly,Owned,3.7,No,2,Friend,52,23331.08,No,No,OFW Remittance,Savings,0,0
Private,77,35561.08,Monthly,Owned,8.7,No,1,Parent,59,39709.96,Yes,Yes,Business,Insurance,0,0
Private,35,18341.35,Weekly,Owned,6.8,No,4,Sibling,88,32731.13,Yes,Yes,OFW Remittance,Savings,0,0
Public,112,32742.45,Bimonthly,Owned,0.6,No,1,Friend,103,17891.63,No,Yes,OFW Remittance,None,0,0
Public,58,15427.07,Biweekly,Rented,4.5,Yes,2,Spouse,79,39850.89,Yes,No,None,Community Plan,0,1
Public,36,25606.84,Weekly,Owned,5.4,Yes,3,Friend,118,39394.41,No,Yes,None,None,0,0
Private,120,43230.19,Monthly,Owned,2.7,Yes,0,Spouse,12,29379.94,Yes,No,Business,Savings,0,0
Public,41,16946.52,Biweekly,Owned,0.7,No,1,Parent,97,24745.41,Yes,No,Business,Community Plan,0,0
Public,92,34619.63,Bimonthly,Owned,4.8,Yes,0,Parent,61,39857.87,No,Yes,Freelance,Insurance,0,0
Private,96,20313.65,Monthly,Owned,5.4,Yes,3,Sibling,92,21922.77,Yes,Yes,Business,None,0,0
Public,48,38489.06,Bimonthly,Rented,9.3,Yes,0,Parent,37,38839.7,Yes,No,Freelance,None,0,0
Public,56,25005.15,Weekly,Rented,9.8,No,4,Friend,29,19895.78,Yes,Yes,None,None,0,0
Public,45,22323.56,Bimonthly,Owned,3.1,Yes,1,Spouse,110,23577.46,Yes,Yes,Freelance,Savings,0,0
Private,115,30782.26,Bimonthly,Owned,1.1,No,1,Friend,81,29583.53,No,Yes,None,Insurance,0,0
Private,17,35098.14,Weekly,Owned,8.9,No,2,Sibling,104,41714.61,Yes,Yes,Business,Insurance,0,0
Public,107,36253.49,Weekly,Owned,6.8,Yes,2,Friend,58,20893.4,Yes,Yes,Freelance,Insurance,0,0
