Employment_Tenure_Months,Net_Salary_Per_Cutoff,Salary_Frequency,Years_at_Current_Address,Household_Head,Number_of_Dependents,Comaker_Employment_Tenure_Months,Comaker_Net_Salary_Per_Cutoff,Is_Renewing_Client,Grace_Period_Usage_Rate,Late_Payment_Count,Had_Special_Consideration,Default
16,16000,Bi-Monthly,2.1,No,2,58,22000,0,0,0,0,0
11,13000,Bi-Monthly,1.4,No,0,17,12000,0,0,0,0,1
47,29000,Bi-Monthly,10.8,Yes,2,52,27000,1,0.1,0,0,0
72,34000,Monthly,17.3,Yes,3,78,36000,1,0.2,1,0,0
23,18000,Bi-Monthly,2.9,No,2,28,17000,0,0,0,0,0
4,11000,Bi-Monthly,0.7,No,0,10,10000,0,0,0,0,1
36,24000,Bi-Monthly,8.9,Yes,1,42,26000,1,0,0,0,0
25,18000,Bi-Monthly,3.1,Yes,3,68,26000,0,0,1,0,0
14,15000,Bi-Monthly,1.8,No,2,20,14000,0,0,0,0,1
63,37000,Bi-Monthly,14.2,Yes,2,67,35000,1,0.3,1,0,0
33,21000,Monthly,8.4,Yes,1,38,23000,1,0.1,0,0,0
7,12000,Bi-Monthly,1,No,1,13,11000,0,0,0,0,1
41,27000,Bi-Monthly,9.6,Yes,3,45,25000,1,0.2,0,0,0
89,40000,Monthly,20.1,Yes,2,95,43000,1,0.1,0,0,0
19,16000,Bi-Monthly,2.4,No,2,24,15000,0,0,0,0,0
3,10000,Weekly,0.6,No,0,8,9000,0,0,0,0,1
48,30000,Bi-Monthly,11.3,Yes,1,53,28000,1,0.2,1,0,0
21,17000,Bi-Monthly,2.7,No,2,62,24000,0,0,0,0,0
31,20000,Bi-Monthly,6.8,Yes,4,35,18000,0,0,2,1,0
10,13000,Bi-Monthly,1.3,No,1,16,12000,0,0,0,0,1
105,44000,Monthly,21.9,Yes,3,110,46000,1,0.1,0,0,0
26,19000,Bi-Monthly,3.3,Yes,2,31,17000,0,0,0,0,0
55,34000,Bi-Monthly,12.8,Yes,1,60,32000,1,0.3,1,0,0
17,16000,Bi-Monthly,2.2,No,2,55,21000,0,0,0,0,0
13,14000,Bi-Monthly,1.6,No,1,19,13000,0,0,0,0,1
44,28000,Bi-Monthly,10.1,Yes,2,49,26000,1,0.1,0,0,0
68,33000,Monthly,16.4,Yes,3,72,35000,1,0.2,1,0,0
20,17000,Bi-Monthly,2.5,No,2,25,16000,0,0,0,0,0
2,11000,Bi-Monthly,0.5,No,0,7,10000,0,0,0,0,1
37,25000,Bi-Monthly,8.2,Yes,1,43,27000,1,0,0,0,0
28,19000,Bi-Monthly,3.4,Yes,3,70,27000,0,0,1,0,0
59,35000,Bi-Monthly,13.1,Yes,2,64,33000,1,0.2,1,0,0
16,15000,Bi-Monthly,2,No,2,22,14000,0,0,0,0,1
92,41000,Monthly,19.8,Yes,2,98,44000,1,0.1,0,0,0
24,18000,Bi-Monthly,3,No,2,29,17000,0,0,0,0,0
1,10000,Weekly,0.8,No,0,5,9000,0,0,0,0,1
46,29000,Bi-Monthly,10.7,Yes,1,51,27000,1,0.3,1,0,0
32,20000,Monthly,7.6,Yes,3,37,22000,1,0.1,0,0,0
15,15000,Bi-Monthly,1.9,No,2,21,14000,,,,,
