Employment_Sector,Employment_Tenure_Months,Net_Salary_Per_Cutoff,Salary_Frequency,Housing_Status,Years_at_Current_Address,Household_Head,Number_of_Dependents,Comaker_Relationship,Comaker_Employment_Tenure_Months,Comaker_Net_Salary_Per_Cutoff,Has_Community_Role,Paluwagan_Participation,Other_Income_Source,Disaster_Preparedness,Is_Renewing_Client,Grace_Period_Usage_Rate,Late_Payment_Count,Had_Special_Consideration,Default
Private,15,16000,Bi-Monthly,Rented,2.1,No,2,Sibling,22,14000,No,Yes,Freelance,None,0,0.0,0,0,0
Private,42,28000,Bi-Monthly,Owned,9.3,Yes,1,Spouse,38,25000,No,Yes,None,Savings,1,0.0,0,0,0
Public,156,45000,Monthly,Owned,22.7,Yes,2,Spouse,160,50000,Yes,No,OFW_Remittance,Insurance,1,0.1,0,0,0
Private,8,11000,Bi-Monthly,Rented,1.2,No,0,Friend,15,10000,No,No,None,None,0,0.0,0,0,1
Private,29,18000,Bi-Monthly,Rented,3.8,Yes,3,Sibling,32,17000,No,Yes,Part_Time,Community_Plan,0,0.0,0,0,0
Public,24,19000,Bi-Monthly,Rented,2.9,No,2,Parent,65,28000,No,No,None,Savings,0,0.0,0,0,0
Private,51,32000,Bi-Monthly,Owned,11.4,Yes,1,Spouse,55,29000,Yes,Yes,Business,Insurance,1,0.3,1,0,0
Private,12,14000,Bi-Monthly,Rented,1.5,No,1,Friend,18,13000,No,No,None,None,0,0.0,0,0,1
Public,87,38000,Monthly,Owned,19.2,Yes,3,Spouse,90,42000,Yes,Yes,None,Savings,1,0.0,0,0,0
Private,21,17000,Bi-Monthly,Rented,2.8,No,2,Sibling,27,16000,No,Yes,Freelance,None,0,0.0,0,0,0
Private,6,10000,Weekly,Rented,0.9,No,0,Friend,12,9000,No,No,None,None,0,0.0,0,0,1
Private,45,26000,Bi-Monthly,Family_Owned,12.6,Yes,2,Spouse,50,28000,No,Yes,None,Savings,1,0.2,0,0,0
Public,18,17000,Bi-Monthly,Rented,2.3,No,1,Parent,72,25000,No,No,OFW_Remittance,Community_Plan,0,0.0,0,0,0
Private,35,21000,Bi-Monthly,Owned,7.8,Yes,4,Sibling,40,19000,No,Yes,Part_Time,Savings,0,0.0,2,1,0
Private,9,12000,Bi-Monthly,Rented,1.1,No,1,Friend,14,11000,No,No,None,None,0,0.0,0,0,1
Public,114,42000,Monthly,Owned,23.5,Yes,2,Spouse,120,45000,Yes,No,Business,Insurance,1,0.1,0,0,0
Private,27,19000,Bi-Monthly,Rented,3.2,Yes,3,Sibling,30,18000,No,Yes,Freelance,None,0,0.0,1,0,0
Private,58,33000,Bi-Monthly,Owned,13.7,Yes,1,Spouse,62,31000,Yes,Yes,Business,Insurance,1,0.2,1,0,0
Public,16,16000,Bi-Monthly,Rented,2.1,No,2,Parent,58,22000,No,No,None,Savings,0,0.0,0,0,0
Private,11,13000,Bi-Monthly,Rented,1.4,No,0,Friend,17,12000,No,No,None,None,0,0.0,0,0,1
Private,47,29000,Bi-Monthly,Owned,10.8,Yes,2,Spouse,52,27000,No,Yes,None,Savings,1,0.1,0,0,0
Public,72,34000,Monthly,Owned,17.3,Yes,3,Spouse,78,36000,Yes,Yes,OFW_Remittance,Insurance,1,0.2,1,0,0
Private,23,18000,Bi-Monthly,Rented,2.9,No,2,Sibling,28,17000,No,Yes,Part_Time,None,0,0.0,0,0,0
Private,4,11000,Bi-Monthly,Rented,0.7,No,0,Friend,10,10000,No,No,None,None,0,0.0,0,0,1
Private,36,24000,Bi-Monthly,Family_Owned,8.9,Yes,1,Spouse,42,26000,No,Yes,None,Savings,1,0.0,0,0,0
Public,25,18000,Bi-Monthly,Rented,3.1,Yes,3,Parent,68,26000,No,No,None,Community_Plan,0,0.0,1,0,0
Private,14,15000,Bi-Monthly,Rented,1.8,No,2,Friend,20,14000,No,No,Freelance,None,0,0.0,0,0,1
Private,63,37000,Bi-Monthly,Owned,14.2,Yes,2,Spouse,67,35000,Yes,Yes,Business,Insurance,1,0.3,1,0,0
Public,33,21000,Monthly,Owned,8.4,Yes,1,Spouse,38,23000,No,Yes,None,Savings,1,0.1,0,0,0
Private,7,12000,Bi-Monthly,Rented,1.0,No,1,Friend,13,11000,No,No,None,None,0,0.0,0,0,1
Private,41,27000,Bi-Monthly,Owned,9.6,Yes,3,Sibling,45,25000,No,Yes,Part_Time,Savings,1,0.2,0,0,0
Public,89,40000,Monthly,Owned,20.1,Yes,2,Spouse,95,43000,Yes,Yes,OFW_Remittance,Insurance,1,0.1,0,0,0
Private,19,16000,Bi-Monthly,Rented,2.4,No,2,Sibling,24,15000,No,Yes,None,None,0,0.0,0,0,0
Private,3,10000,Weekly,Rented,0.6,No,0,Friend,8,9000,No,No,None,None,0,0.0,0,0,1
Private,48,30000,Bi-Monthly,Family_Owned,11.3,Yes,1,Spouse,53,28000,Yes,Yes,Business,Savings,1,0.2,1,0,0
Public,21,17000,Bi-Monthly,Rented,2.7,No,2,Parent,62,24000,No,No,None,Community_Plan,0,0.0,0,0,0
Private,31,20000,Bi-Monthly,Owned,6.8,Yes,4,Sibling,35,18000,No,Yes,Freelance,None,0,0.0,2,1,0
Private,10,13000,Bi-Monthly,Rented,1.3,No,1,Friend,16,12000,No,No,None,None,0,0.0,0,0,1
Public,105,44000,Monthly,Owned,21.9,Yes,3,Spouse,110,46000,Yes,No,Business,Insurance,1,0.1,0,0,0
Private,26,19000,Bi-Monthly,Rented,3.3,Yes,2,Sibling,31,17000,No,Yes,Part_Time,Savings,0,0.0,0,0,0
Private,55,34000,Bi-Monthly,Owned,12.8,Yes,1,Spouse,60,32000,No,Yes,None,Insurance,1,0.3,1,0,0
Public,17,16000,Bi-Monthly,Rented,2.2,No,2,Parent,55,21000,No,No,OFW_Remittance,None,0,0.0,0,0,0
Private,13,14000,Bi-Monthly,Rented,1.6,No,1,Friend,19,13000,No,No,None,None,0,0.0,0,0,1
Private,44,28000,Bi-Monthly,Family_Owned,10.1,Yes,2,Spouse,49,26000,No,Yes,Business,Savings,1,0.1,0,0,0
Public,68,33000,Monthly,Owned,16.4,Yes,3,Spouse,72,35000,Yes,Yes,None,Insurance,1,0.2,1,0,0
Private,20,17000,Bi-Monthly,Rented,2.5,No,2,Sibling,25,16000,No,Yes,Freelance,None,0,0.0,0,0,0
Private,2,11000,Bi-Monthly,Rented,0.5,No,0,Friend,7,10000,No,No,None,None,0,0.0,0,0,1
Private,37,25000,Bi-Monthly,Owned,8.2,Yes,1,Spouse,43,27000,No,Yes,Part_Time,Savings,1,0.0,0,0,0
Public,28,19000,Bi-Monthly,Rented,3.4,Yes,3,Parent,70,27000,No,No,None,Community_Plan,0,0.0,1,0,0
Private,59,35000,Bi-Monthly,Owned,13.1,Yes,2,Spouse,64,33000,Yes,Yes,Business,Insurance,1,0.2,1,0,0
Private,16,15000,Bi-Monthly,Rented,2.0,No,2,Friend,22,14000,No,No,Freelance,None,0,0.0,0,0,1
Public,92,41000,Monthly,Owned,19.8,Yes,2,Spouse,98,44000,Yes,Yes,OFW_Remittance,Insurance,1,0.1,0,0,0
Private,24,18000,Bi-Monthly,Rented,3.0,No,2,Sibling,29,17000,No,Yes,None,Savings,0,0.0,0,0,0
Private,1,10000,Weekly,Rented,0.8,No,0,Friend,5,9000,No,No,None,None,0,0.0,0,0,1
Private,46,29000,Bi-Monthly,Family_Owned,10.7,Yes,1,Spouse,51,27000,No,Yes,Business,Savings,1,0.3,1,0,0
Public,32,20000,Monthly,Owned,7.6,Yes,3,Spouse,37,22000,No,Yes,None,Community_Plan,1,0.1,0,0,0
Private,15,15000,Bi-Monthly,Rented,1.9,No,2,Friend,21,14000,No,No,Part_Time,
