Employment_Sector,Employment_Tenure_Months,Net_Salary_Per_Cutoff,Salary_Frequency,Housing_Status,Years_at_Current_Address,Household_Head,Number_of_Dependents,Comaker_Relationship,Comaker_Employment_Tenure_Months,Comaker_Net_Salary_Per_Cutoff,Has_Community_Role,Paluwagan_Participation,Other_Income_Source,Disaster_Preparedness,Is_Renewing_Client,Default
Public,98,15878.34,Bimonthly,Owned,3.3,Yes,4,Parent,88,34784.6,No,No,OFW Remittance,Savings,0,0
Public,69,20903.11,Bimonthly,Rented,9.8,Yes,2,Sibling,72,30424.0,Yes,Yes,OFW Remittance,Insurance,0,0
Private,117,28263.63,Biweekly,Owned,7.6,No,4,Parent,51,25361.42,No,Yes,Freelance,Savings,0,0
Public,68,28123.18,Bimonthly,Rented,3.0,Yes,2,Spouse,111,42690.34,Yes,No,Business,Community Plan,0,0
Public,102,15137.68,Bimonthly,Rented,2.0,No,0,Friend,79,29864.7,No,No,OFW Remittance,None,0,0
Public,79,27907.12,Biweekly,Rented,1.1,Yes,3,Spouse,16,44118.99,Yes,No,Freelance,Insurance,0,1
Public,64,40548.33,Monthly,Rented,8.1,No,4,Parent,79,17506.4,No,No,Freelance,None,0,1
Public,27,35963.91,Bimonthly,Rented,6.8,Yes,4,Friend,81,32655.28,No,No,Business,Community Plan,0,0
Private,36,22381.52,Weekly,Owned,3.2,No,5,Friend,66,37571.67,Yes,No,Freelance,Community Plan,0,0
Public,84,24878.74,Bimonthly,Owned,0.7,Yes,5,Friend,105,36879.91,No,No,Freelance,Insurance,0,0
Private,20,35015.47,Monthly,Owned,7.7,Yes,0,Spouse,71,37975.68,No,Yes,Business,None,0,0
Private,94,21230.22,Monthly,Rented,9.6,No,2,Spouse,93,26368.61,No,Yes,OFW Remittance,Community Plan,0,0
Public,19,23229.61,Weekly,Rented,8.1,No,0,Spouse,106,24400.74,Yes,Yes,OFW Remittance,Insurance,0,0
Public,36,30300.9,Biweekly,Owned,1.1,No,3,Sibling,39,21288.49,No,Yes,Business,Community Plan,0,0
Private,116,26579.06,Biweekly,Owned,0.7,Yes,5,Parent,89,39177.39,No,Yes,Freelance,Insurance,0,0
Private,65,33699.28,Biweekly,Owned,3.2,Yes,0,Friend,52,43491.52,Yes,No,Freelance,None,0,0
Private,100,37490.13,Biweekly,Owned,3.2,Yes,1,Friend,57,23795.54,Yes,No,Freelance,Insurance,0,0
Public,113,21756.46,Biweekly,Rented,6.5,No,5,Sibling,45,32574.43,No,No,Freelance,Community Plan,0,0
Public,85,34722.76,Biweekly,Rented,8.2,No,5,Sibling,49,38152.21,No,Yes,Business,Savings,0,0
Public,74,32995.71,Bimonthly,Rented,5.2,No,1,Friend,81,34017.4,No,No,Freelance,Insurance,0,0
Public,90,24626.63,Weekly,Owned,1.2,No,4,Friend,114,20871.21,No,Yes,None,Insurance,0,0
Private,84,26403.13,Monthly,Owned,8.3,Yes,1,Sibling,34,42121.47,Yes,Yes,OFW Remittance,Community Plan,0,0
Public,52,32333.5,Weekly,Owned,9.9,Yes,3,Friend,108,37739.54,Yes,No,OFW Remittance,Community Plan,0,0
Public,117,24843.71,Monthly,Owned,4.7,No,2,Friend,79,30502.95,Yes,Yes,None,Community Plan,0,0
Public,90,31373.54,Biweekly,Owned,5.7,No,5,Parent,93,20983.27,Yes,Yes,Business,Insurance,0,0
Private,50,31385.95,Monthly,Owned,1.6,No,2,Parent,67,32231.67,Yes,Yes,Business,Savings,0,0
Public,78,42077.14,Weekly,Owned,8.2,No,1,Parent,71,23203.22,Yes,Yes,Freelance,Insurance,0,0
Public,47,38367.26,Weekly,Owned,1.1,No,3,Parent,52,19542.17,No,No,Business,Community Plan,0,0
Private,50,32843.2,Weekly,Rented,2.5,No,1,Friend,98,20192.23,No,No,Freelance,Savings,0,0
Public,61,42708.93,Biweekly,Rented,4.4,No,1,Spouse,49,16321.53,No,No,None,None,0,0
Private,95,16248.59,Biweekly,Owned,2.9,Yes,0,Sibling,43,31539.5,No,Yes,Freelance,Savings,0,0
Private,45,15628.16,Monthly,Owned,0.1,Yes,1,Sibling,38,19619.12,Yes,No,Business,Savings,0,0
Public,93,24199.94,Weekly,Owned,5.6,No,3,Spouse,61,40360.22,Yes,No,Freelance,Savings,0,0
Public,93,40241.37,Weekly,Rented,3.3,No,4,Sibling,72,18694.61,Yes,No,None,None,0,0
Public,64,20260.93,Bimonthly,Rented,9.8,No,5,Sibling,16,34800.96,No,No,Business,Insurance,0,1
Public,37,30866.18,Monthly,Owned,5.3,No,2,Friend,52,34071.11,Yes,Yes,Freelance,None,0,0
Public,28,43853.65,Monthly,Rented,8.5,Yes,2,Sibling,94,30974.2,Yes,No,Business,None,0,0
Private,42,22683.31,Weekly,Owned,2.5,No,5,Spouse,12,35611.06,Yes,Yes,Freelance,None,0,0
Public,6,33138.46,Biweekly,Owned,4.0,Yes,5,Parent,37,21636.88,Yes,No,Business,Community Plan,0,0
Private,50,31715.51,Monthly,Owned,9.1,Yes,0,Spouse,69,27869.71,Yes,No,Business,None,0,0
Private,38,20310.9,Biweekly,Rented,3.8,Yes,1,Parent,94,43719.02,No,No,Freelance,Community Plan,0,0
Public,85,39867.05,Weekly,Rented,0.2,Yes,4,Sibling,109,37477.22,No,Yes,OFW Remittance,Savings,0,0
Public,101,27520.02,Weekly,Owned,5.9,No,0,Parent,120,31938.56,Yes,Yes,Business,None,0,0
Private,53,18237.47,Weekly,Rented,4.4,No,0,Spouse,104,23708.54,No,No,Freelance,Insurance,0,0
Public,26,41466.75,Monthly,Rented,0.2,Yes,4,Friend,88,40248.15,No,No,OFW Remittance,Insurance,0,0
Public,77,42031.14,Weekly,Rented,6.9,No,3,Spouse,59,38494.17,Yes,Yes,None,Community Plan,0,0
Public,93,31324.91,Weekly,Rented,7.0,Yes,0,Spouse,109,32450.27,No,Yes,Freelance,Community Plan,0,0
Public,79,24586.35,Biweekly,Rented,9.5,No,4,Spouse,66,33286.5,Yes,Yes,None,Savings,0,0
Private,71,34695.7,Weekly,Owned,1.8,Yes,0,Spouse,55,41549.95,Yes,No,OFW Remittance,Savings,0,0
Private,92,25930.88,Bimonthly,Owned,6.3,Yes,1,Parent,65,17750.74,No,Yes,Business,Community Plan,0,0
Private,89,18147.98,Bimonthly,Owned,0.8,No,5,Spouse,65,33301.06,No,Yes,None,Savings,0,0
Public,84,23601.27,Bimonthly,Owned,5.4,Yes,0,Friend,53,42270.85,No,Yes,Business,Community Plan,0,0
Private,107,43813.91,Monthly,Rented,4.0,No,2,Friend,102,28960.6,No,Yes,Business,None,0,0
Public,70,31778.35,Bimonthly,Owned,0.4,No,4,Spouse,31,21953.21,Yes,Yes,Business,None,0,0
Private,61,33347.21,Monthly,Owned,4.8,Yes,5,Friend,84,34931.0,No,Yes,Freelance,Community Plan,0,0
Public,105,42723.68,Weekly,Owned,3.6,Yes,1,Spouse,119,26105.17,Yes,No,OFW Remittance,Insurance,0,0
Public,65,31716.58,Bimonthly,Rented,8.6,Yes,1,Sibling,97,15938.94,Yes,No,Freelance,Community Plan,0,0
Public,70,15082.77,Monthly,Rented,1.6,Yes,2,Spouse,108,16572.86,Yes,Yes,Business,None,0,0
Private,91,44502.17,Bimonthly,Rented,1.7,Yes,0,Parent,11,19231.08,No,Yes,Business,Insurance,0,0
Private,58,30280.19,Monthly,Owned,6.7,Yes,1,Spouse,76,19163.14,Yes,No,None,None,0,0
Private,117,19284.41,Monthly,Rented,0.5,No,4,Friend,66,40925.9,Yes,No,Freelance,None,0,1
Private,21,18181.25,Weekly,Owned,4.8,No,1,Spouse,48,35615.69,Yes,Yes,Freelance,Savings,0,0
Public,21,35850.08,Bimonthly,Rented,2.7,Yes,4,Sibling,28,17011.04,No,No,Freelance,None,0,0
Public,63,44009.19,Weekly,Owned,6.1,No,2,Parent,105,16811.26,No,No,Freelance,Insurance,0,0
Public,96,35806.95,Bimonthly,Rented,4.3,Yes,3,Parent,32,37972.79,No,Yes,Business,Insurance,0,0
Public,11,25482.1,Bimonthly,Rented,7.4,No,1,Sibling,17,22866.83,Yes,Yes,Freelance,Community Plan,0,0
Private,100,21976.61,Bimonthly,Rented,6.2,No,2,Friend,112,39137.57,No,No,OFW Remittance,Community Plan,0,0
Private,27,26756.84,Weekly,Rented,0.4,Yes,2,Parent,106,24202.96,No,Yes,OFW Remittance,Savings,0,0
Private,68,41342.64,Monthly,Owned,0.5,No,5,Spouse,103,34664.46,Yes,No,None,Community Plan,0,0
Private,43,19168.57,Monthly,Owned,5.8,Yes,3,Sibling,114,18972.59,No,No,Freelance,Savings,0,1
Private,100,30786.99,Weekly,Owned,0.9,No,1,Sibling,21,34576.05,No,No,OFW Remittance,Community Plan,0,0
Private,73,29259.89,Weekly,Owned,3.1,Yes,2,Sibling,104,40896.83,No,No,Freelance,Community Plan,0,0
Public,77,29277.36,Weekly,Rented,9.4,Yes,2,Parent,111,38157.84,Yes,Yes,Business,Savings,0,0
Private,54,31097.93,Monthly,Owned,1.7,No,5,Parent,25,42008.35,No,No,None,Insurance,0,0
Private,99,40262.15,Weekly,Owned,4.7,No,2,Parent,55,35607.91,Yes,No,Business,Community Plan,0,0
Private,92,27884.72,Monthly,Owned,6.3,Yes,4,Sibling,66,15153.45,No,Yes,Freelance,None,0,0
Public,91,35287.1,Weekly,Rented,9.3,Yes,1,Friend,22,29982.93,Yes,No,None,Community Plan,0,0
Public,74,25583.69,Weekly,Owned,0.5,No,5,Sibling,47,29809.26,No,No,None,Savings,0,0
Private,61,25893.28,Weekly,Owned,2.3,No,3,Parent,38,36722.82,No,Yes,Freelance,Community Plan,0,0
Private,89,28093.64,Weekly,Owned,7.9,Yes,4,Parent,27,36457.21,No,Yes,OFW Remittance,Savings,0,0
Public,31,32732.4,Biweekly,Owned,8.3,Yes,4,Friend,118,30776.79,Yes,No,OFW Remittance,None,0,0
Public,64,42802.38,Bimonthly,Owned,2.8,Yes,4,Spouse,83,22422.65,Yes,No,Business,Community Plan,0,0
Public,36,31637.9,Biweekly,Owned,7.2,No,1,Spouse,21,24238.07,Yes,No,Business,Insurance,0,0
Public,9,35834.19,Weekly,Rented,4.0,No,0,Parent,33,28440.96,Yes,Yes,None,Savings,0,0
Public,84,34063.14,Bimonthly,Rented,8.5,No,1,Spouse,42,16536.85,No,No,Freelance,Insurance,0,0
Public,63,19192.38,Monthly,Rented,5.8,Yes,2,Sibling,57,28688.81,No,No,None,Community Plan,0,0
Private,57,33669.9,Biweekly,Owned,3.6,No,2,Friend,80,17214.02,No,Yes,Freelance,None,0,0
Public,37,34850.3,Biweekly,Owned,2.0,Yes,0,Friend,115,19831.55,No,No,Business,Insurance,0,0
Public,21,35002.25,Monthly,Owned,1.9,No,1,Spouse,56,37944.93,Yes,No,Freelance,Community Plan,0,0
Public,96,24916.15,Weekly,Rented,9.1,No,4,Friend,100,20638.24,No,No,Freelance,Insurance,0,0
Public,16,40103.91,Bimonthly,Rented,7.7,No,3,Sibling,109,18136.36,No,No,Business,None,0,0
Public,88,21206.1,Weekly,Rented,3.6,No,5,Sibling,91,25519.44,Yes,No,Business,Insurance,0,0
Public,78,24691.85,Weekly,Rented,3.2,No,1,Parent,81,22711.4,Yes,Yes,Freelance,Community Plan,0,0
Private,41,39584.17,Weekly,Owned,8.0,Yes,2,Parent,11,37216.92,Yes,Yes,Business,None,0,0
Public,101,33854.24,Monthly,Owned,5.3,No,1,Parent,37,42526.32,No,No,Freelance,Savings,0,0
Public,9,24822.61,Biweekly,Owned,4.0,Yes,1,Parent,109,23587.93,No,Yes,OFW Remittance,Insurance,0,0
Public,56,36219.26,Biweekly,Owned,3.8,Yes,4,Sibling,95,16979.14,Yes,Yes,Business,None,0,0
Private,62,35663.56,Weekly,Owned,6.2,Yes,5,Spouse,61,43451.53,No,Yes,None,None,0,0
Private,92,39365.8,Biweekly,Rented,0.7,Yes,1,Spouse,45,32807.01,Yes,Yes,Business,None,0,0
Public,24,33869.81,Monthly,Rented,8.1,Yes,1,Friend,35,28949.71,Yes,Yes,Business,Insurance,0,0
Private,20,26097.04,Biweekly,Rented,4.1,Yes,4,Parent,102,25940.79,Yes,Yes,Freelance,None,0,0
Public,89,17552.17,Bimonthly,Owned,9.9,No,4,Friend,100,24440.64,Yes,No,None,Insurance,0,1
Public,16,38971.21,Monthly,Rented,0.3,No,2,Sibling,13,15695.9,No,Yes,OFW Remittance,Insurance,0,0
Private,21,32297.56,Biweekly,Owned,9.9,No,2,Parent,81,38618.4,No,No,Business,Community Plan,0,0
Private,112,24343.73,Weekly,Owned,4.0,Yes,1,Friend,26,39511.45,Yes,No,OFW Remittance,None,0,0
Private,103,28670.28,Biweekly,Owned,2.5,Yes,3,Sibling,69,30071.89,Yes,No,Business,None,0,1
Public,71,30818.14,Monthly,Owned,9.1,Yes,5,Sibling,86,42214.54,Yes,Yes,None,Community Plan,0,0
Private,58,41030.21,Biweekly,Rented,3.3,No,5,Spouse,115,19272.07,Yes,No,OFW Remittance,Insurance,0,0
Private,80,16088.9,Weekly,Rented,7.1,No,1,Parent,114,16563.26,No,Yes,OFW Remittance,Community Plan,0,0
Public,12,23042.41,Bimonthly,Rented,4.3,No,5,Friend,35,22966.83,Yes,No,OFW Remittance,None,0,1
Private,111,19790.35,Bimonthly,Rented,9.9,Yes,1,Sibling,88,37052.82,Yes,No,Freelance,Savings,0,0
Public,93,39584.01,Biweekly,Rented,3.7,Yes,4,Friend,59,30442.46,No,Yes,Business,Savings,0,0
Private,73,40832.57,Biweekly,Rented,7.4,No,2,Friend,119,27999.18,Yes,Yes,Freelance,Community Plan,0,0
Private,86,30049.67,Bimonthly,Owned,7.4,No,1,Sibling,18,29866.25,No,No,OFW Remittance,Savings,0,0
Public,40,26037.25,Biweekly,Owned,5.6,No,3,Sibling,48,40438.01,Yes,Yes,OFW Remittance,Savings,0,0
Public,80,24017.15,Monthly,Owned,4.1,No,0,Sibling,101,19704.94,Yes,No,OFW Remittance,Insurance,0,0
Public,112,26878.47,Weekly,Owned,8.3,Yes,5,Spouse,112,30697.06,No,No,Business,Community Plan,0,0
Public,105,26459.4,Weekly,Rented,9.7,Yes,4,Spouse,114,41965.68,Yes,No,Freelance,None,0,0
Private,9,39912.92,Weekly,Owned,8.1,Yes,5,Friend,120,35761.19,No,Yes,OFW Remittance,Savings,0,0
Public,52,33587.54,Biweekly,Owned,7.0,Yes,1,Parent,71,44083.34,Yes,Yes,None,Community Plan,0,0
Public,23,15158.57,Weekly,Owned,7.7,No,0,Friend,72,34785.16,No,Yes,Business,Savings,0,0
Private,18,33565.52,Monthly,Rented,3.2,No,0,Friend,100,19654.15,Yes,No,OFW Remittance,None,0,0
Private,63,36495.42,Monthly,Rented,7.5,Yes,2,Sibling,84,27585.58,No,No,None,None,0,0
Private,51,41801.24,Weekly,Rented,2.5,No,2,Spouse,65,29800.12,No,Yes,None,Community Plan,0,0
Public,100,17803.74,Biweekly,Rented,1.1,Yes,5,Sibling,73,22696.35,No,No,OFW Remittance,Insurance,0,1
Public,8,37671.11,Biweekly,Rented,2.0,Yes,4,Spouse,66,24419.07,Yes,Yes,Freelance,None,0,0
Public,30,40283.54,Bimonthly,Rented,6.2,Yes,1,Sibling,14,19096.68,No,No,None,Savings,0,0
Private,93,20384.19,Biweekly,Rented,0.9,Yes,4,Sibling,77,36845.08,No,Yes,None,None,0,1
Private,37,15813.84,Weekly,Rented,2.0,No,0,Friend,83,36491.92,No,No,Business,Savings,0,0
Private,30,15423.41,Bimonthly,Rented,1.3,Yes,3,Friend,58,25148.12,Yes,No,Business,None,0,0
Private,91,29815.34,Bimonthly,Owned,7.7,No,4,Parent,119,31548.27,Yes,No,Freelance,Insurance,0,0
Public,33,35463.18,Biweekly,Owned,8.4,Yes,0,Friend,84,42363.54,Yes,Yes,Business,None,0,0
Public,73,40202.15,Bimonthly,Owned,8.4,No,1,Sibling,52,43051.52,Yes,Yes,OFW Remittance,Community Plan,0,0
Public,9,32503.29,Monthly,Rented,7.4,No,0,Sibling,57,15141.15,Yes,No,Freelance,Insurance,0,0
Public,59,36893.34,Bimonthly,Rented,0.7,Yes,5,Spouse,55,38772.09,Yes,No,Freelance,None,0,0
Private,20,28523.44,Weekly,Rented,4.3,No,4,Spouse,16,19911.91,Yes,No,Business,None,0,0
Public,111,34079.34,Monthly,Rented,7.5,No,5,Friend,91,17438.03,No,Yes,None,None,0,0
Public,85,44389.91,Monthly,Rented,8.4,Yes,4,Sibling,43,29308.36,No,Yes,OFW Remittance,None,0,0
Private,115,40364.55,Biweekly,Owned,9.8,No,1,Spouse,68,38224.71,Yes,Yes,Business,Community Plan,0,1
Public,18,20729.75,Monthly,Rented,7.1,No,0,Parent,42,39933.18,No,Yes,Business,Community Plan,0,0
Private,25,25368.21,Biweekly,Rented,1.7,No,4,Parent,58,27708.71,Yes,Yes,None,Community Plan,0,0
Public,97,15806.61,Monthly,Owned,5.6,No,4,Sibling,62,33477.63,Yes,No,Business,None,0,0
Public,42,19735.53,Monthly,Rented,0.9,Yes,0,Parent,23,38495.35,Yes,No,None,Community Plan,0,0
Private,79,26724.96,Bimonthly,Owned,8.4,Yes,2,Spouse,118,43276.22,No,Yes,Business,Savings,0,0
Private,16,33674.21,Biweekly,Rented,9.3,No,1,Sibling,85,34806.4,Yes,Yes,Business,Savings,0,0
Public,44,28549.69,Monthly,Rented,6.9,Yes,4,Spouse,106,16263.55,Yes,No,Freelance,Savings,0,1
Public,47,44521.16,Bimonthly,Owned,5.6,Yes,5,Friend,98,15425.46,No,Yes,OFW Remittance,Insurance,0,1
Public,49,33390.66,Bimonthly,Rented,6.4,No,2,Spouse,116,21674.93,Yes,No,Business,Community Plan,0,0
Public,109,21916.75,Bimonthly,Rented,6.7,Yes,5,Sibling,82,30437.43,No,No,None,Insurance,0,1
Public,32,34340.21,Weekly,Owned,2.7,Yes,2,Sibling,87,43210.03,Yes,No,OFW Remittance,Savings,0,1
Public,20,23349.24,Biweekly,Owned,3.2,No,2,Friend,81,20334.94,No,Yes,None,Savings,0,1
Public,97,38735.75,Weekly,Owned,5.5,No,1,Friend,72,42656.15,No,Yes,None,Savings,0,0
Private,118,44866.78,Bimonthly,Owned,0.6,No,0,Parent,31,44649.99,Yes,Yes,OFW Remittance,Community Plan,0,0
Public,6,40878.29,Bimonthly,Owned,6.8,Yes,5,Sibling,98,30543.21,Yes,No,Business,Community Plan,0,1
Public,72,21422.14,Biweekly,Rented,5.2,No,2,Spouse,65,25146.08,Yes,No,OFW Remittance,Insurance,0,0
Public,42,24481.83,Biweekly,Owned,8.1,Yes,3,Parent,31,24525.23,Yes,No,None,Community Plan,0,0
Public,75,24994.29,Weekly,Owned,2.4,Yes,4,Friend,20,23059.62,Yes,Yes,None,Insurance,0,0
Public,31,18233.32,Weekly,Owned,8.6,No,4,Parent,18,18216.84,Yes,No,Business,Savings,0,0
Public,22,40535.84,Biweekly,Rented,6.4,Yes,1,Parent,118,27322.88,Yes,Yes,Business,None,0,0
Private,65,29978.94,Biweekly,Rented,2.5,No,4,Sibling,107,15756.88,Yes,Yes,Business,Insurance,0,0
Private,26,38322.77,Weekly,Owned,2.1,No,3,Sibling,50,23772.37,Yes,No,OFW Remittance,None,0,0
Public,35,42762.18,Monthly,Rented,3.4,Yes,4,Parent,30,21422.57,Yes,Yes,None,None,0,0
Public,95,28784.76,Monthly,Rented,2.3,No,0,Parent,48,23297.77,Yes,Yes,Freelance,Insurance,0,0
Public,53,35857.58,Weekly,Rented,1.7,No,3,Spouse,99,22495.04,Yes,Yes,Business,Insurance,0,0
Public,107,21396.61,Monthly,Rented,1.3,No,0,Spouse,41,36429.04,Yes,No,OFW Remittance,Insurance,0,0
Public,59,25625.56,Monthly,Rented,3.5,No,3,Parent,22,40952.08,No,No,OFW Remittance,None,0,0
Private,80,19564.08,Monthly,Owned,5.7,Yes,3,Sibling,20,21254.92,Yes,Yes,None,Insurance,0,0
Private,86,25003.58,Monthly,Owned,2.3,No,2,Sibling,36,17870.52,No,Yes,Business,Savings,0,0
Private,95,30394.67,Biweekly,Rented,4.4,No,0,Parent,118,18115.48,No,No,None,Savings,0,0
Private,32,17486.82,Biweekly,Rented,4.4,No,0,Sibling,70,34622.74,Yes,Yes,OFW Remittance,Savings,0,0
Public,8,43115.01,Bimonthly,Rented,1.2,Yes,0,Sibling,58,39275.84,No,No,Freelance,None,0,0
Public,32,15653.72,Weekly,Rented,4.1,No,2,Friend,96,35412.12,No,No,Freelance,Insurance,0,1
