Employment_Sector,Employment_Tenure_Months,Net_Salary_Per_Cutoff,Salary_Frequency,Housing_Status,Years_at_Current_Address,Household_Head,Number_of_Dependents,Comaker_Relationship,Comaker_Employment_Tenure_Months,Comaker_Net_Salary_Per_Cutoff,Has_Community_Role,Paluwagan_Participation,Other_Income_Source,Disaster_Preparedness,Is_Renewing_Client,Default
Public,8,42389.3,Weekly,Rented,1.7,Yes,0,Spouse,38,16247.64,Yes,No,OFW Remittance,Savings,0,0
Private,116,30525.96,Weekly,Rented,5.6,No,0,Friend,90,28464.86,No,No,OFW Remittance,None,0,0
Public,15,39867.35,Monthly,Owned,3.8,No,3,Friend,29,34332.45,Yes,No,Business,Savings,0,0
Public,111,38051.4,Biweekly,Rented,7.1,No,5,Sibling,47,25928.35,Yes,Yes,None,Savings,0,1
Private,41,16284.52,Weekly,Rented,2.4,Yes,3,Sibling,47,26940.7,Yes,Yes,Freelance,Community Plan,0,1
Public,7,16200.65,Biweekly,Owned,1.3,Yes,4,Friend,57,19920.79,No,Yes,OFW Remittance,Savings,0,0
Public,69,19713.82,Biweekly,Owned,1.2,Yes,3,Friend,111,21320.05,Yes,No,None,Community Plan,0,1
Public,12,17075.64,Bimonthly,Owned,2.1,Yes,4,Friend,59,37630.26,No,Yes,None,Community Plan,0,0
Public,63,16019.88,Bimonthly,Rented,7.6,Yes,0,Parent,53,24220.56,No,Yes,Freelance,Community Plan,0,0
Public,52,29545.29,Bimonthly,Rented,0.7,Yes,4,Parent,114,29384.83,Yes,No,OFW Remittance,Community Plan,0,0
Public,77,21728.73,Biweekly,Owned,2.5,Yes,2,Parent,112,44357.58,No,Yes,Freelance,None,0,0
Public,52,38998.94,Monthly,Rented,8.5,Yes,0,Friend,84,35771.84,No,Yes,None,None,0,0
Public,12,27242.98,Biweekly,Owned,0.1,Yes,5,Friend,111,19187.07,No,Yes,None,Insurance,0,0
Public,112,32475.6,Monthly,Owned,6.5,No,0,Friend,28,19131.37,No,No,Freelance,Community Plan,0,0
Private,81,37902.08,Bimonthly,Owned,0.2,Yes,5,Friend,77,16493.41,Yes,No,None,None,0,0
Private,38,15119.5,Weekly,Rented,6.0,No,5,Sibling,35,26180.38,Yes,Yes,OFW Remittance,None,0,1
Private,41,32737.66,Bimonthly,Owned,6.0,Yes,3,Sibling,80,30604.04,Yes,No,Business,Insurance,0,0
Private,52,38887.15,Biweekly,Owned,0.2,Yes,3,Sibling,60,43791.21,No,Yes,None,Community Plan,0,0
Private,71,30399.79,Monthly,Rented,4.3,No,1,Parent,55,43587.99,No,No,None,None,0,0
Public,120,22771.1,Monthly,Rented,8.8,Yes,4,Spouse,85,42169.84,No,No,Freelance,Savings,0,0
Private,28,18345.77,Bimonthly,Owned,6.4,Yes,4,Sibling,99,16619.21,No,No,Freelance,None,0,1
Public,82,37697.72,Biweekly,Rented,4.4,No,3,Sibling,109,28962.54,Yes,No,Business,None,0,1
Public,112,42879.46,Monthly,Rented,8.3,Yes,2,Parent,70,22379.16,No,No,None,Community Plan,0,0
Public,43,21889.89,Bimonthly,Owned,2.9,No,3,Spouse,104,17742.34,No,Yes,None,Community Plan,0,0
Private,25,40997.89,Bimonthly,Owned,4.0,Yes,1,Spouse,50,44078.44,Yes,Yes,OFW Remittance,Community Plan,0,0
Public,31,43589.24,Weekly,Rented,2.2,Yes,2,Spouse,106,38934.66,Yes,No,None,None,0,0
Public,46,15281.79,Weekly,Rented,2.8,Yes,1,Sibling,55,44424.09,Yes,Yes,Business,Community Plan,0,0
Public,109,29513.66,Biweekly,Owned,4.5,No,3,Spouse,60,20838.64,Yes,Yes,None,Insurance,0,0
Public,70,16601.85,Bimonthly,Owned,8.8,No,1,Spouse,56,17394.01,No,No,Business,None,0,1
Public,117,27994.68,Bimonthly,Owned,3.5,Yes,2,Friend,118,34117.28,Yes,No,None,Insurance,0,0
Private,52,17878.08,Biweekly,Rented,9.5,Yes,0,Friend,111,29671.84,Yes,Yes,None,Savings,0,0
Public,29,37893.5,Biweekly,Rented,1.4,No,5,Friend,65,33681.05,No,Yes,Business,None,0,0
Public,68,28750.22,Monthly,Owned,6.8,No,4,Sibling,104,25707.24,No,Yes,Business,Insurance,0,0
Public,100,43739.86,Weekly,Owned,7.6,No,3,Parent,41,33754.0,Yes,No,Freelance,Insurance,0,0
Public,58,29385.26,Biweekly,Rented,0.6,Yes,5,Spouse,75,33976.62,Yes,No,None,None,0,0
Public,55,25234.06,Bimonthly,Owned,2.9,No,5,Friend,54,33435.25,No,Yes,Freelance,Community Plan,0,1
Public,104,18131.75,Weekly,Rented,1.1,No,2,Spouse,118,21464.36,No,Yes,OFW Remittance,Insurance,0,0
Private,112,31562.29,Weekly,Owned,6.8,No,0,Friend,112,33721.58,Yes,No,Business,Savings,0,0
Private,65,20228.53,Biweekly,Owned,6.6,No,1,Friend,92,20875.06,Yes,Yes,None,Community Plan,0,1
Public,19,17715.34,Biweekly,Owned,0.5,Yes,3,Friend,63,23030.26,No,No,Business,Community Plan,0,0
Public,33,30747.92,Biweekly,Rented,4.2,No,4,Friend,81,32677.48,No,No,OFW Remittance,None,0,0
Public,96,32721.95,Bimonthly,Rented,9.0,No,3,Spouse,12,15990.4,No,No,Business,None,0,1
Public,30,19540.06,Biweekly,Owned,7.9,Yes,4,Spouse,14,20598.69,No,Yes,None,Savings,0,0
Private,41,37867.76,Weekly,Rented,9.1,No,4,Sibling,17,41265.24,No,No,OFW Remittance,None,0,1
Private,32,22146.42,Biweekly,Owned,5.3,Yes,4,Sibling,93,24028.08,Yes,No,Freelance,Insurance,0,1
Public,30,25527.37,Bimonthly,Rented,2.6,Yes,0,Friend,16,20847.31,No,Yes,OFW Remittance,Savings,0,1
Public,11,22933.8,Weekly,Rented,4.7,No,2,Parent,48,38551.41,No,Yes,None,Savings,0,0
Private,43,16676.31,Weekly,Rented,3.3,No,0,Friend,84,23400.58,Yes,Yes,None,Community Plan,0,0
Public,117,41072.34,Bimonthly,Rented,9.8,Yes,0,Parent,36,24778.18,No,No,None,Insurance,0,0
Private,66,40051.0,Weekly,Owned,10.0,No,1,Spouse,38,17308.88,Yes,Yes,OFW Remittance,Savings,0,1
Private,62,25173.65,Weekly,Owned,7.3,No,2,Friend,83,19653.11,No,No,Business,Savings,0,0
Private,62,15931.82,Weekly,Rented,3.0,No,2,Parent,46,31997.8,Yes,No,None,Savings,0,0
Public,100,26732.54,Weekly,Owned,5.1,Yes,4,Parent,55,19267.52,No,No,OFW Remittance,Community Plan,0,0
Public,69,37482.11,Biweekly,Owned,0.3,Yes,1,Spouse,51,40258.56,Yes,No,Freelance,Savings,0,0
Private,105,18097.26,Monthly,Owned,9.8,Yes,4,Spouse,58,30354.25,No,No,OFW Remittance,Insurance,0,0
Public,73,20357.45,Weekly,Rented,0.6,No,2,Spouse,113,43386.59,Yes,No,Business,Insurance,0,0
Private,107,31000.08,Biweekly,Rented,2.2,Yes,2,Parent,109,21329.91,Yes,No,Business,Savings,0,0
Public,43,34969.33,Bimonthly,Owned,3.8,No,4,Spouse,43,34451.02,No,No,Business,None,0,0
Public,19,40722.53,Biweekly,Rented,9.9,Yes,4,Friend,120,31869.11,No,No,None,None,0,0
Private,76,19297.49,Weekly,Owned,4.4,No,2,Spouse,11,20448.01,No,Yes,None,Savings,0,0
Public,26,25003.89,Weekly,Owned,5.2,Yes,3,Sibling,116,17785.02,Yes,No,Freelance,Savings,0,0
Private,65,30132.23,Bimonthly,Rented,8.8,Yes,2,Friend,58,15556.17,Yes,No,Freelance,Insurance,0,0
Private,110,38250.22,Bimonthly,Owned,0.2,No,0,Spouse,28,34494.48,No,No,None,Community Plan,0,0
Public,88,33175.72,Weekly,Owned,5.6,No,3,Parent,98,17639.97,No,Yes,OFW Remittance,None,0,0
Public,97,25351.07,Bimonthly,Owned,2.7,No,5,Spouse,22,18471.86,No,Yes,Freelance,Community Plan,0,0
Private,31,31686.3,Weekly,Rented,6.6,No,2,Sibling,50,21652.18,Yes,Yes,Freelance,Community Plan,0,0
Private,81,19619.16,Monthly,Rented,4.1,Yes,2,Spouse,88,23994.92,Yes,Yes,None,None,0,0
Public,91,17404.4,Bimonthly,Owned,7.8,No,3,Sibling,112,28940.36,No,No,Freelance,Community Plan,0,0
Private,29,20896.81,Bimonthly,Rented,3.3,No,3,Spouse,22,20802.25,Yes,No,None,Savings,0,0
Private,91,39387.65,Biweekly,Rented,5.4,No,4,Friend,115,33328.91,No,Yes,OFW Remittance,Insurance,0,0
Private,67,27842.73,Biweekly,Owned,7.1,Yes,1,Parent,80,40183.47,No,Yes,OFW Remittance,Savings,0,0
Private,102,41121.65,Weekly,Rented,4.2,Yes,2,Sibling,27,40401.59,No,No,None,Savings,0,0
Public,60,38742.12,Weekly,Rented,5.6,No,1,Friend,25,34265.31,Yes,No,Freelance,Savings,0,0
Public,47,39332.54,Monthly,Owned,2.7,Yes,3,Parent,79,40334.77,No,No,OFW Remittance,Insurance,0,1
Public,17,34802.16,Biweekly,Rented,3.1,Yes,4,Spouse,47,34018.91,Yes,No,Business,None,0,0
Private,64,35222.17,Weekly,Rented,6.8,Yes,2,Parent,58,18685.55,No,No,Business,Community Plan,0,0
Private,99,16605.16,Bimonthly,Owned,6.9,Yes,0,Sibling,58,36653.23,No,Yes,Business,Community Plan,0,0
Public,54,23729.36,Biweekly,Rented,8.0,No,2,Parent,62,36040.45,No,No,Business,Community Plan,0,0
Public,71,35505.11,Bimonthly,Owned,8.6,Yes,4,Friend,73,23932.97,Yes,Yes,Freelance,None,0,0
Public,116,39393.04,Bimonthly,Rented,4.2,Yes,2,Parent,88,35915.81,No,No,None,None,0,0
Private,77,37600.93,Weekly,Owned,5.1,No,1,Parent,98,40081.05,No,No,Business,Insurance,0,0
Private,118,22561.15,Bimonthly,Rented,7.8,No,1,Parent,34,37397.66,No,Yes,Business,Community Plan,0,0
Private,9,27858.53,Biweekly,Owned,3.3,Yes,2,Sibling,46,43400.71,Yes,Yes,Business,Insurance,0,0
Private,80,34910.07,Bimonthly,Owned,2.9,No,5,Friend,80,16563.52,Yes,No,None,Community Plan,0,0
Public,64,32267.39,Monthly,Owned,3.9,No,5,Friend,29,35025.76,Yes,Yes,Business,Community Plan,0,0
Private,32,19433.35,Weekly,Owned,8.3,No,1,Parent,74,36508.1,No,No,Business,Savings,0,1
Private,81,17042.72,Monthly,Rented,7.8,Yes,0,Spouse,91,44611.08,No,Yes,OFW Remittance,Community Plan,0,0
Private,95,16610.42,Bimonthly,Rented,0.5,Yes,5,Friend,116,25983.83,Yes,Yes,Business,Savings,0,0
Private,104,29247.78,Bimonthly,Rented,7.0,Yes,2,Sibling,40,19130.02,Yes,No,Freelance,Savings,0,0
Private,8,37100.58,Weekly,Rented,0.2,No,1,Parent,44,20831.91,No,Yes,None,Savings,0,0
Private,67,20160.34,Biweekly,Owned,10.0,No,1,Spouse,21,28546.36,No,No,Freelance,Savings,0,1
Public,83,39215.95,Biweekly,Owned,5.8,Yes,5,Sibling,59,28607.02,No,No,None,None,0,0
Private,49,22071.37,Monthly,Owned,6.3,Yes,3,Spouse,20,40796.65,No,Yes,OFW Remittance,Savings,0,0
Private,115,31739.73,Bimonthly,Owned,2.6,Yes,3,Spouse,46,41068.62,No,Yes,Business,Savings,0,0
Public,78,25309.52,Weekly,Rented,6.6,Yes,2,Friend,21,21695.33,No,Yes,Freelance,None,0,0
Private,25,22015.26,Monthly,Owned,7.3,Yes,5,Parent,77,23338.8,No,Yes,Business,None,0,0
Private,75,41253.97,Weekly,Owned,1.9,Yes,5,Friend,52,25688.51,Yes,No,Freelance,Community Plan,0,1
Private,31,29605.84,Biweekly,Rented,2.9,No,5,Spouse,35,23306.45,No,Yes,Freelance,Community Plan,0,1
Public,72,33245.79,Weekly,Rented,3.5,No,5,Spouse,64,24535.61,Yes,No,Business,None,0,1
Public,13,28855.98,Monthly,Rented,8.8,Yes,5,Spouse,25,20350.87,No,No,Freelance,Insurance,0,1
Public,26,21902.78,Monthly,Rented,5.8,No,4,Sibling,16,15771.89,No,Yes,None,Savings,0,0
Private,26,28657.39,Biweekly,Rented,3.8,No,3,Friend,32,21787.5,Yes,No,None,Savings,0,0
Private,69,24723.25,Biweekly,Rented,0.2,No,0,Parent,119,35521.33,Yes,Yes,Business,Insurance,0,0
Private,22,41258.13,Bimonthly,Owned,2.8,No,1,Spouse,43,36792.19,Yes,Yes,OFW Remittance,Community Plan,0,0
Public,76,32089.79,Bimonthly,Owned,3.9,No,5,Sibling,63,15489.19,Yes,Yes,None,Savings,0,0
Public,95,25987.94,Bimonthly,Owned,9.2,Yes,3,Friend,75,32137.85,Yes,No,OFW Remittance,Savings,0,0
Public,108,41486.17,Weekly,Rented,7.2,Yes,5,Sibling,45,16039.51,Yes,Yes,Business,Savings,0,0
Public,102,18812.34,Weekly,Owned,9.1,No,3,Friend,109,43863.06,Yes,Yes,OFW Remittance,None,0,0
Public,105,34811.58,Monthly,Owned,4.7,No,3,Friend,71,29762.57,No,Yes,OFW Remittance,Savings,0,0
Public,65,38245.32,Bimonthly,Rented,6.9,No,4,Spouse,45,24701.13,Yes,Yes,OFW Remittance,None,0,0
Private,26,31286.47,Bimonthly,Owned,4.4,Yes,0,Friend,86,37252.34,Yes,Yes,Freelance,Insurance,0,0
Private,105,39826.29,Monthly,Owned,5.3,Yes,5,Sibling,90,24275.35,Yes,Yes,Freelance,Savings,0,0
Public,32,27620.53,Bimonthly,Rented,5.6,No,1,Sibling,108,38695.04,No,Yes,None,Community Plan,0,0
Private,109,40518.44,Biweekly,Rented,8.5,Yes,1,Spouse,83,31133.69,No,No,Business,Savings,0,0
Public,27,38371.71,Bimonthly,Owned,6.2,Yes,5,Spouse,63,20142.9,No,Yes,Freelance,None,0,0
Private,71,41422.45,Monthly,Rented,7.0,No,1,Parent,67,24134.3,No,Yes,OFW Remittance,None,0,0
Public,12,16445.63,Bimonthly,Owned,2.8,Yes,1,Friend,16,19406.54,Yes,Yes,Business,None,0,0
Private,12,26382.97,Bimonthly,Owned,0.5,Yes,1,Spouse,71,44397.96,Yes,Yes,Business,Community Plan,0,0
Public,46,15906.91,Bimonthly,Rented,5.8,Yes,4,Sibling,21,28460.71,No,Yes,OFW Remittance,Savings,0,0
Private,94,15779.12,Bimonthly,Owned,8.4,No,3,Sibling,106,29470.43,Yes,No,Business,Insurance,0,1
Public,28,15060.17,Biweekly,Rented,1.1,Yes,4,Sibling,44,21185.53,No,Yes,None,None,0,0
Public,96,37300.86,Biweekly,Rented,2.9,No,3,Friend,49,40199.18,Yes,Yes,None,Community Plan,0,0
Private,33,16859.7,Weekly,Rented,3.0,Yes,4,Parent,84,21644.51,Yes,No,Business,Insurance,0,1
Private,10,37744.17,Bimonthly,Owned,7.9,No,4,Parent,29,43821.03,Yes,Yes,Freelance,Community Plan,0,0
Public,58,36888.47,Biweekly,Owned,1.1,No,3,Spouse,63,41310.5,No,No,OFW Remittance,None,0,0
Public,92,43983.9,Biweekly,Owned,7.3,Yes,5,Friend,59,16425.87,No,No,None,None,0,0
Private,74,29285.06,Biweekly,Rented,2.5,Yes,2,Friend,117,16416.95,No,No,Business,Community Plan,0,0
Private,117,18035.32,Weekly,Rented,5.5,No,0,Parent,49,28623.06,No,Yes,OFW Remittance,Insurance,0,0
Public,35,38549.69,Biweekly,Rented,7.1,No,5,Sibling,67,17764.38,Yes,Yes,OFW Remittance,Savings,0,0
Private,14,20480.13,Bimonthly,Rented,5.9,No,2,Spouse,49,44436.98,No,No,Freelance,Savings,0,0
Public,11,27907.51,Monthly,Rented,4.7,No,1,Parent,44,43115.02,Yes,No,OFW Remittance,Insurance,0,1
Public,47,44396.63,Weekly,Owned,4.5,Yes,5,Friend,72,23752.22,Yes,No,OFW Remittance,Insurance,0,0
Private,58,22065.4,Weekly,Owned,1.2,No,0,Spouse,100,27844.1,Yes,No,None,Insurance,0,0
Private,79,44762.51,Monthly,Rented,2.8,Yes,5,Parent,13,23313.94,Yes,Yes,OFW Remittance,Savings,0,0
Private,91,26611.65,Monthly,Rented,2.7,Yes,5,Spouse,85,30071.29,No,No,Business,Savings,0,0
Private,78,36098.42,Bimonthly,Owned,4.4,Yes,3,Sibling,102,35264.95,No,No,OFW Remittance,Community Plan,0,0
Private,92,17439.57,Weekly,Owned,7.7,No,2,Parent,45,21919.44,Yes,No,Business,Community Plan,0,1
Public,55,34663.29,Bimonthly,Rented,3.0,Yes,5,Parent,58,35540.44,Yes,No,Business,None,0,0
Public,61,26605.0,Weekly,Owned,8.8,No,5,Parent,16,21097.96,Yes,Yes,Freelance,None,0,0
Private,31,27638.75,Monthly,Owned,3.2,Yes,3,Friend,72,24705.02,No,Yes,Freelance,Savings,0,0
Private,116,42368.16,Weekly,Owned,8.9,No,2,Parent,27,22984.62,No,Yes,Business,None,0,0
Private,31,15424.73,Monthly,Owned,0.3,No,5,Parent,91,17179.53,Yes,No,Freelance,None,0,0
Public,74,26128.06,Biweekly,Rented,7.3,Yes,3,Sibling,16,35953.69,No,No,OFW Remittance,Community Plan,0,0
Private,97,28258.66,Bimonthly,Owned,9.3,Yes,0,Sibling,72,33867.22,Yes,Yes,Freelance,Insurance,0,0
Public,34,16022.27,Weekly,Rented,3.6,No,1,Parent,92,23098.34,Yes,No,OFW Remittance,None,0,0
Private,114,29993.66,Biweekly,Owned,8.2,Yes,1,Parent,109,40148.56,Yes,Yes,Business,Savings,0,0
Private,30,41596.09,Monthly,Owned,6.6,No,4,Parent,100,40830.48,Yes,No,OFW Remittance,Community Plan,0,1
Private,86,36244.18,Bimonthly,Owned,2.6,Yes,1,Spouse,109,22070.85,No,No,None,Community Plan,0,0
Private,73,32720.97,Weekly,Rented,5.0,No,1,Friend,118,35780.74,Yes,No,Business,Insurance,0,1
Private,38,28586.21,Weekly,Rented,3.0,Yes,3,Sibling,102,43696.56,No,Yes,Business,Insurance,0,0
Private,72,30633.91,Biweekly,Owned,9.7,No,3,Friend,98,23571.14,Yes,Yes,OFW Remittance,None,0,0
Private,16,25301.11,Monthly,Rented,9.2,No,2,Parent,23,19222.43,No,Yes,Business,Savings,0,0
Public,113,21718.96,Monthly,Rented,1.2,No,4,Spouse,103,42838.41,Yes,Yes,Business,None,0,0
Public,72,35535.43,Biweekly,Owned,1.5,No,1,Spouse,75,22676.67,No,No,Freelance,Savings,0,0
Private,17,22839.99,Monthly,Rented,4.5,Yes,0,Sibling,17,23450.46,No,Yes,OFW Remittance,Savings,0,0
Private,77,34206.01,Bimonthly,Owned,2.9,Yes,5,Parent,44,38381.78,Yes,Yes,None,Community Plan,0,0
Public,107,18737.01,Bimonthly,Owned,9.3,Yes,4,Sibling,35,37602.28,No,Yes,Freelance,Community Plan,0,1
Public,119,22224.84,Bimonthly,Rented,7.9,No,4,Sibling,80,34568.34,Yes,Yes,None,Savings,0,0
Private,11,23434.42,Weekly,Owned,3.2,No,1,Sibling,54,25104.06,No,Yes,Business,Community Plan,0,0
Private,77,25291.68,Weekly,Owned,1.2,Yes,1,Friend,74,38554.75,Yes,Yes,Freelance,Savings,0,0
Private,18,31729.85,Bimonthly,Rented,3.7,No,2,Spouse,93,30070.84,Yes,Yes,OFW Remittance,Insurance,0,0
Public,19,41441.91,Monthly,Owned,7.8,No,0,Friend,59,23697.99,Yes,No,OFW Remittance,Savings,0,0
Public,90,36794.27,Bimonthly,Rented,7.5,No,3,Sibling,62,35419.4,Yes,Yes,Business,Insurance,0,0
Private,67,18044.62,Bimonthly,Rented,10.0,Yes,4,Sibling,42,30764.54,Yes,No,Business,Insurance,0,0
