Employment_Sector,Employment_Tenure_Months,Net_Salary_Per_Cutoff,Salary_Frequency,Housing_Status,Years_at_Current_Address,Household_Head,Number_of_Dependents,Comaker_Relationship,Comaker_Emp_Tenure,Comaker_Net_Salary,Has_Community_Role,Paluwagan_Participation,Other_Income_Source,Disaster_Preparedness,Is_Renewing_Client,Default
Private,88.19548,37912.96,Bimonthly,Owned,3.3757086,No,2.5856745,Friend,-0.068464056,0.9999798,Leader,Frequently,Business,Community Plan,0.14889008,0.07587427
Private,78.47361,38600.055,Bimonthly,Owned,3.4122314,No,2.8044262,Friend,-0.13908176,0.99998575,Leader,Frequently,Business,Community Plan,0.027239429,0.12845203
Private,81.652115,36402.273,Bimonthly,Owned,3.4229302,No,2.5782273,Friend,0.057264395,0.9999726,Leader,Frequently,Business,Community Plan,-0.04883718,0.09699172
Private,84.236176,37566.426,Bimonthly,Owned,3.556422,No,2.8195481,Friend,0.042325225,0.9999701,Leader,Frequently,Business,Community Plan,-0.035659928,0.037271727
Private,78.05915,37784.133,Bimonthly,Owned,3.6425092,No,2.7512038,Friend,-0.05530259,0.99995303,Leader,Frequently,Business,Community Plan,-0.005922099,0.1285916
Private,85.8958,40458.94,Bimonthly,Owned,3.6157203,No,2.9869206,Friend,-0.0104342,0.99995536,Leader,Frequently,Business,Community Plan,0.019487908,-0.018367166
Private,81.03533,40236.504,Bimonthly,Owned,3.44231,No,2.953442,Friend,-0.0031376155,0.9999025,Leader,Frequently,Business,Community Plan,0.079710156,0.18102871
Private,80.460815,36850.867,Bimonthly,Owned,3.5087116,No,2.8727624,Friend,0.30488726,0.999996,Leader,Frequently,Business,Community Plan,0.056750447,0.08327894
Private,77.539696,37662.246,Bimonthly,Owned,3.5308652,No,2.8881292,Friend,-0.046555243,0.9999826,Leader,Frequently,Business,Community Plan,0.12005392,0.05923902
Private,79.612404,39615.863,Bimonthly,Owned,3.5942106,No,2.7886407,Friend,-0.20067263,0.9999819,Leader,Frequently,Business,Community Plan,-0.016284132,0.1069951
Private,92.521,39835.344,Bimonthly,Owned,3.5229623,No,2.3572137,Friend,-0.23670557,0.999997,Leader,Frequently,Business,Community Plan,0.06552764,0.16924664
Private,84.09068,41597.496,Bimonthly,Owned,3.825558,No,2.697499,Friend,-0.20751552,0.9999874,Leader,Frequently,Business,Community Plan,0.062519625,0.20622502
Private,77.58757,36437.586,Bimonthly,Owned,3.518614,No,2.7424672,Friend,-0.18447249,0.99999505,Leader,Frequently,Business,Community Plan,0.092193745,0.18495484
Private,83.47037,39404.293,Bimonthly,Owned,3.6382017,No,2.649434,Friend,0.046984676,0.9999703,Leader,Frequently,Business,Community Plan,0.041982118,-0.026713034
Private,79.1308,38785.332,Bimonthly,Owned,3.3158247,No,2.6538725,Friend,0.17741807,0.9999888,Leader,Frequently,Business,Community Plan,-0.10745091,0.1085294
Private,83.609825,38840.938,Bimonthly,Owned,3.3648362,No,2.5396852,Friend,0.07611144,0.9999723,Leader,Frequently,Business,Community Plan,0.050764523,0.060031056
Private,85.66519,38116.4,Bimonthly,Owned,3.7241783,No,2.8738103,Friend,-0.12269479,0.99985623,Leader,Frequently,Business,Community Plan,0.063276164,0.076803625
Private,78.65233,39832.723,Bimonthly,Owned,3.4385314,No,2.7894719,Friend,-0.21126516,0.9999921,Leader,Frequently,Business,Community Plan,0.031698473,0.19116172
Private,85.95455,40058.598,Bimonthly,Owned,3.4362671,No,2.585908,Friend,0.009780315,0.99994016,Leader,Frequently,Business,Community Plan,0.048880417,0.07505999
Private,84.39545,40769.37,Bimonthly,Owned,3.5943696,No,2.9763434,Friend,-0.06301079,0.9999972,Leader,Frequently,Business,Community Plan,-0.111608006,0.17164665
Private,87.02303,38626.625,Bimonthly,Owned,3.3823814,No,2.7101731,Friend,0.07435119,0.9999703,Leader,Frequently,Business,Community Plan,0.04188068,-0.0018791972
Private,82.32943,38110.96,Bimonthly,Owned,3.4656794,No,2.5763097,Friend,-0.09487537,0.99999064,Leader,Frequently,Business,Community Plan,0.012700415,0.21735145
Private,82.9752,37046.0,Bimonthly,Owned,3.4003677,No,2.6422908,Friend,-0.000779209,0.99999374,Leader,Frequently,Business,Community Plan,-0.010261466,0.08158203
Private,85.98519,38191.723,Bimonthly,Owned,3.568463,No,2.4594672,Friend,0.09516053,0.99998087,Leader,Frequently,Business,Community Plan,0.000908985,-0.017310804
Private,81.98071,39169.99,Bimonthly,Owned,3.774254,No,2.8648653,Friend,-0.13261849,0.9999315,Leader,Frequently,Business,Community Plan,0.036636837,0.041215952
Private,76.50306,35556.02,Bimonthly,Owned,3.4886515,No,2.5550177,Friend,-0.051516745,0.9999958,Leader,Frequently,Business,Community Plan,0.10915368,0.12859836
Private,81.539375,38761.18,Bimonthly,Owned,4.030828,No,2.485428,Friend,-0.32874265,0.99997675,Leader,Frequently,Business,Community Plan,-0.0142779555,0.20270984
Private,83.42488,38405.49,Bimonthly,Owned,3.5714965,No,2.5927377,Friend,-0.16177039,0.9999881,Leader,Frequently,Business,Community Plan,-0.016274158,0.093431845
Private,91.64651,40038.74,Bimonthly,Owned,3.7952795,No,2.7578728,Friend,-0.0050900327,0.9999705,Leader,Frequently,Business,Community Plan,0.07644563,0.0473175
Private,84.76175,41654.527,Bimonthly,Owned,3.5710475,No,2.609595,Friend,-0.1398039,0.9999893,Leader,Frequently,Business,Community Plan,0.018443385,0.21980599
Private,84.77513,42059.66,Bimonthly,Owned,3.713574,No,2.86602,Friend,-0.1616434,0.99998224,Leader,Frequently,Business,Community Plan,0.12744355,0.0931096
Private,91.48143,38110.207,Bimonthly,Owned,3.4115863,No,2.43719,Friend,0.021103349,0.99999297,Leader,Frequently,Business,Community Plan,0.090775736,0.1322544
Private,84.37819,41712.86,Bimonthly,Owned,3.4851654,No,2.7993388,Friend,-0.07276302,0.9999795,Leader,Frequently,Business,Community Plan,0.045227416,0.025097312
Private,82.80628,40335.883,Bimonthly,Owned,3.861192,No,2.926867,Friend,-0.14959489,0.9999862,Leader,Frequently,Business,Community Plan,0.15486693,0.18553881
Private,89.06648,36203.4,Bimonthly,Owned,3.3350272,No,2.5042539,Friend,0.16855517,0.999988,Leader,Frequently,Business,Community Plan,-0.006937582,-0.15303186
Private,87.1054,36710.67,Bimonthly,Owned,3.2726338,No,2.6195526,Friend,0.066444375,0.9999711,Leader,Frequently,Business,Community Plan,-0.04126059,0.015441388
Private,84.83551,38714.086,Bimonthly,Owned,3.5912905,No,2.8309608,Friend,-0.104259506,0.9999779,Leader,Frequently,Business,Community Plan,0.0014004605,0.18308917
Private,83.02058,38993.406,Bimonthly,Owned,3.64464,No,2.7296236,Friend,-0.06813668,0.99994844,Leader,Frequently,Business,Community Plan,0.06764739,0.13004348
Private,76.31863,41769.004,Bimonthly,Owned,3.8805609,No,2.9477684,Friend,-0.24711101,0.9999882,Leader,Frequently,Business,Community Plan,0.017684463,0.07044708
Private,85.38036,38310.73,Bimonthly,Owned,3.4148748,No,2.6705515,Friend,0.032697443,0.9999757,Leader,Frequently,Business,Community Plan,0.063373566,0.049815245
Private,83.09088,39228.535,Bimonthly,Owned,3.7350235,No,2.8561518,Friend,-0.16184594,0.99995524,Leader,Frequently,Business,Community Plan,0.056399744,0.10346847
Private,83.58969,39577.875,Bimonthly,Owned,3.7900803,No,2.7681203,Friend,-0.053905815,0.9999487,Leader,Frequently,Business,Community Plan,0.09787697,0.13068295
Private,81.71275,37514.53,Bimonthly,Owned,3.7839515,No,2.6715782,Friend,-0.08023475,0.9999744,Leader,Frequently,Business,Community Plan,-0.0023738213,0.031968903
Private,79.08099,35966.93,Bimonthly,Owned,3.6066582,No,2.7912822,Friend,-0.06403381,0.9999845,Leader,Frequently,Business,Community Plan,-0.0037092154,0.20131224
Private,80.35692,37818.184,Bimonthly,Owned,3.6782818,No,2.7865336,Friend,-0.057456035,0.9999684,Leader,Frequently,Business,Community Plan,0.042037718,0.19973832
Private,81.972435,37493.984,Bimonthly,Owned,3.5958025,No,2.7916136,Friend,-0.18900827,0.9999607,Leader,Frequently,Business,Community Plan,0.016840389,0.09033635
Private,85.87578,39335.895,Bimonthly,Owned,3.494725,No,2.6690192,Friend,0.12343366,0.99997365,Leader,Frequently,Business,Community Plan,0.00568749,0.018878747
Private,89.265114,42200.324,Bimonthly,Owned,3.6423419,No,2.6426053,Friend,-0.12781571,0.99997526,Leader,Frequently,Business,Community Plan,-0.05949836,0.073812224
Private,83.70962,36051.414,Bimonthly,Owned,3.5078561,No,2.5181746,Friend,-0.026016353,0.9999862,Leader,Frequently,Business,Community Plan,0.09644459,0.10670127
Private,77.964096,40865.62,Bimonthly,Owned,3.5870914,No,2.9964724,Friend,0.02489725,0.9999744,Leader,Frequently,Business,Community Plan,0.057021346,0.13006191
Private,77.48899,40979.234,Bimonthly,Owned,3.6353078,No,2.8209488,Friend,-0.044929333,0.9999629,Leader,Frequently,Business,Community Plan,-0.10508107,0.032030232
Private,81.21137,39385.027,Bimonthly,Owned,3.9784298,No,2.7190254,Friend,-0.22357115,0.99994653,Leader,Frequently,Business,Community Plan,0.1281957,0.039790917
Private,87.90425,37252.17,Bimonthly,Owned,3.6967144,No,2.737783,Friend,0.20448618,0.9999748,Leader,Frequently,Business,Community Plan,-0.031805076,-0.026044333
Private,77.719025,37070.71,Bimonthly,Owned,3.3413959,No,2.845033,Friend,-0.070934616,0.99999845,Leader,Frequently,Business,Community Plan,-0.035090793,-0.0616676
Private,83.713135,38259.64,Bimonthly,Owned,3.9052737,No,2.7314982,Friend,-0.106768124,0.9999938,Leader,Frequently,Business,Community Plan,0.084162585,0.14474744
Private,85.31853,38827.46,Bimonthly,Owned,3.567835,No,2.9211502,Friend,-0.06455122,0.99997956,Leader,Frequently,Business,Community Plan,0.08773548,0.017460266
Private,87.7201,41774.3,Bimonthly,Owned,3.448517,No,2.7296743,Friend,0.02515744,0.99999744,Leader,Frequently,Business,Community Plan,-0.016531043,0.08289263
Private,78.293106,35931.316,Bimonthly,Owned,3.5879517,No,2.580433,Friend,-0.033897083,0.999975,Leader,Frequently,Business,Community Plan,0.09506585,0.09515927
Private,78.940285,35784.387,Bimonthly,Owned,3.3683345,No,2.6618452,Friend,-0.058965944,0.99998814,Leader,Frequently,Business,Community Plan,0.038912527,-0.10047276
Private,86.68344,41793.965,Bimonthly,Owned,3.3794167,No,2.7580109,Friend,0.17467801,0.9999748,Leader,Frequently,Business,Community Plan,0.037577372,-0.13156363
Private,70.02788,37743.383,Bimonthly,Owned,3.4487162,No,2.856097,Friend,-0.047854055,0.999976,Leader,Frequently,Business,Community Plan,-0.06749437,0.07417808
Private,84.738884,39735.8,Bimonthly,Owned,3.4702842,No,2.6739748,Friend,-0.046411276,0.9999789,Leader,Frequently,Business,Community Plan,0.023927733,0.16400908
Private,82.358444,39108.85,Bimonthly,Owned,3.5342455,No,2.8861055,Friend,0.08289814,0.9999851,Leader,Frequently,Business,Community Plan,0.077484086,0.18411817
Private,76.34946,38329.707,Bimonthly,Owned,3.4157815,No,2.733338,Friend,-0.040145364,0.99994886,Leader,Frequently,Business,Community Plan,-0.08361657,0.031226873
Private,91.09124,41528.26,Bimonthly,Owned,3.1439674,No,2.8300924,Friend,0.21907157,0.99998385,Leader,Frequently,Business,Community Plan,0.028308136,0.0726362
Private,76.49916,37236.812,Bimonthly,Owned,3.5418413,No,2.6155026,Friend,0.09406714,0.99997836,Leader,Frequently,Business,Community Plan,0.05237731,0.011675956
Private,82.27092,38327.496,Bimonthly,Owned,3.5904171,No,2.714293,Friend,-0.17560801,0.99998575,Leader,Frequently,Business,Community Plan,0.11940065,0.08374152
Private,79.8292,38674.133,Bimonthly,Owned,3.5347316,No,2.7671368,Friend,-0.030981762,0.99999106,Leader,Frequently,Business,Community Plan,0.037849586,-0.034147155
Private,82.93526,42386.562,Bimonthly,Owned,3.614549,No,2.794604,Friend,-0.13335073,0.99996233,Leader,Frequently,Business,Community Plan,-0.018816158,-0.018430455
Private,81.25133,35067.66,Bimonthly,Owned,3.4840295,No,2.5065138,Friend,-0.0026730571,0.9999917,Leader,Frequently,Business,Community Plan,-0.016851243,0.056234516
Private,80.9042,37484.44,Bimonthly,Owned,3.715233,No,2.7280579,Friend,-0.056063216,0.9999609,Leader,Frequently,Business,Community Plan,-0.053584445,0.12731764
Private,86.57076,39127.918,Bimonthly,Owned,3.3575146,No,2.7454576,Friend,0.11469049,0.99999386,Leader,Frequently,Business,Community Plan,0.08311643,-0.003062532
Private,86.9058,39239.176,Bimonthly,Owned,3.3244505,No,2.5310497,Friend,-0.17693934,0.9999893,Leader,Frequently,Business,Community Plan,-0.032868937,0.22211365
Private,81.5197,39946.305,Bimonthly,Owned,3.6831434,No,2.7009928,Friend,-0.10065268,0.9999727,Leader,Frequently,Business,Community Plan,0.03642193,0.12588333
Private,88.086,39588.86,Bimonthly,Owned,3.614154,No,2.6628468,Friend,-0.123868346,0.9999837,Leader,Frequently,Business,Community Plan,0.15083842,0.06443597
Private,84.10683,39858.734,Bimonthly,Owned,3.6394534,No,2.7503166,Friend,0.0033736622,0.9999978,Leader,Frequently,Business,Community Plan,-0.050007556,0.12032785
Private,82.36225,37434.004,Bimonthly,Owned,3.5540407,No,2.7207053,Friend,0.02063544,0.9999706,Leader,Frequently,Business,Community Plan,0.010014084,0.0318439
Private,93.908485,41259.418,Bimonthly,Owned,3.9409966,No,2.999833,Friend,-0.0020003703,0.99999785,Leader,Frequently,Business,Community Plan,-0.004234289,0.005891218
Private,85.84699,38579.004,Bimonthly,Owned,3.4018078,No,2.548379,Friend,0.15561263,0.99999446,Leader,Frequently,Business,Community Plan,0.030145915,0.012857306
Private,87.18394,38101.523,Bimonthly,Owned,3.3744857,No,2.6242101,Friend,0.046858843,0.9999641,Leader,Frequently,Business,Community Plan,0.0072571263,0.024124308
Private,88.22534,41430.664,Bimonthly,Owned,3.528557,No,2.7460945,Friend,-0.06420426,0.99993235,Leader,Frequently,Business,Community Plan,-0.010104781,0.11684114
Private,79.70201,37503.656,Bimonthly,Owned,3.4669933,No,2.7334788,Friend,-0.1920499,0.99999076,Leader,Frequently,Business,Community Plan,0.06725102,0.10781971
Private,81.60814,41425.97,Bimonthly,Owned,3.2522795,No,3.0380626,Friend,0.16062121,0.9999849,Leader,Frequently,Business,Community Plan,-0.042057563,0.021288794
Private,76.777885,37035.887,Bimonthly,Owned,3.5894396,No,2.9801164,Friend,-0.10382779,0.9999924,Leader,Frequently,Business,Community Plan,-0.008400857,0.06750048
Private,90.331,38213.027,Bimonthly,Owned,3.8004286,No,2.6005788,Friend,-0.08800102,0.9999907,Leader,Frequently,Business,Community Plan,0.09890211,-0.09512556
Private,86.33921,37531.836,Bimonthly,Owned,3.5881872,No,2.669027,Friend,-0.022158213,0.99999326,Leader,Frequently,Business,Community Plan,-0.065704845,0.10610305
Private,79.379585,37088.53,Bimonthly,Owned,3.6640716,No,2.7601125,Friend,-0.05622846,0.9999949,Leader,Frequently,Business,Community Plan,-0.010485542,0.136901
Private,82.42815,38501.84,Bimonthly,Owned,3.7467937,No,2.753025,Friend,-0.008092871,0.99997854,Leader,Frequently,Business,Community Plan,0.038305975,0.08153432
Private,82.10934,39966.21,Bimonthly,Owned,3.4176927,No,2.8582373,Friend,-0.020305263,0.99998784,Leader,Frequently,Business,Community Plan,-0.08126755,0.07355871
Private,77.94881,37028.074,Bimonthly,Owned,3.4751697,No,2.5998688,Friend,-0.19005658,0.99999666,Leader,Frequently,Business,Community Plan,-0.0077963346,0.15282619
Private,84.83846,37379.62,Bimonthly,Owned,3.6194565,No,2.5730317,Friend,0.014593054,0.99999577,Leader,Frequently,Business,Community Plan,0.08673522,-0.043960396
Private,86.75827,39916.582,Bimonthly,Owned,3.653191,No,2.750168,Friend,-0.18284667,0.99998873,Leader,Frequently,Business,Community Plan,0.15112862,-0.07184234
Private,78.25023,35692.49,Bimonthly,Owned,3.6551921,No,2.570137,Friend,-0.094132744,0.9999864,Leader,Frequently,Business,Community Plan,0.09542436,0.0090050055
Private,73.24753,41198.996,Bimonthly,Owned,3.6437647,No,2.9267788,Friend,-0.14027065,0.9999886,Leader,Frequently,Business,Community Plan,-0.00078666565,0.083685644
Private,87.42283,38157.438,Bimonthly,Owned,3.5854764,No,2.5816216,Friend,0.09195235,0.9999561,Leader,Frequently,Business,Community Plan,0.06986739,0.034817602
Private,88.542244,37405.66,Bimonthly,Owned,3.4298787,No,2.6462536,Friend,0.054191433,0.9999851,Leader,Frequently,Business,Community Plan,0.14116518,0.01211125
Private,80.604164,37697.883,Bimonthly,Owned,3.4779885,No,2.7754867,Friend,0.09833106,0.99993706,Leader,Frequently,Business,Community Plan,-0.027367119,0.011379918
Private,89.87889,37189.105,Bimonthly,Owned,3.4275072,No,2.7581341,Friend,0.028174153,0.9999661,Leader,Frequently,Business,Community Plan,0.07171215,0.042537197
Private,82.6641,41080.312,Bimonthly,Owned,3.3296642,No,2.9061844,Friend,-0.055073857,0.99998266,Leader,Frequently,Business,Community Plan,-0.01890024,0.04148708
Private,83.1096,39872.746,Bimonthly,Owned,3.7011752,No,2.9034438,Friend,0.03364827,0.9999548,Leader,Frequently,Business,Community Plan,0.032485496,-0.019076733
Private,79.52422,35163.848,Bimonthly,Owned,3.3701985,No,2.5693276,Friend,-0.064345606,0.99999714,Leader,Frequently,Business,Community Plan,-0.011820697,0.077859685
Private,84.22048,40318.45,Bimonthly,Owned,3.5991623,No,2.5998683,Friend,-0.07632879,0.9999892,Leader,Frequently,Business,Community Plan,-0.004930827,-0.02060934
Private,90.60543,39797.4,Bimonthly,Owned,3.5714297,No,2.8343167,Friend,0.019509317,0.99996585,Leader,Frequently,Business,Community Plan,-0.006171032,0.05861244
Private,81.132454,36504.168,Bimonthly,Owned,3.5390787,No,2.7193387,Friend,0.089952745,0.9999926,Leader,Frequently,Business,Community Plan,-0.045343574,0.09214315
Private,84.405396,36508.758,Bimonthly,Owned,3.609434,No,2.673487,Friend,-0.1678011,0.9999414,Leader,Frequently,Business,Community Plan,0.03607417,0.030549727
Private,75.1567,39204.168,Bimonthly,Owned,3.77589,No,3.0028925,Friend,-0.048810177,0.9999936,Leader,Frequently,Business,Community Plan,0.18995784,-0.24375823
Private,87.71437,39984.867,Bimonthly,Owned,3.3181124,No,2.6798167,Friend,0.16195513,0.9999071,Leader,Frequently,Business,Community Plan,-0.06096368,0.12900253
Private,77.81894,35539.715,Bimonthly,Owned,3.321427,No,2.6433868,Friend,0.094818726,0.99998254,Leader,Frequently,Business,Community Plan,-0.13372056,-0.059385218
Private,85.69397,37165.176,Bimonthly,Owned,3.5636182,No,2.5984597,Friend,0.02160596,0.9999471,Leader,Frequently,Business,Community Plan,-0.02051609,0.087357126
Private,84.61466,36414.37,Bimonthly,Owned,3.861996,No,2.7180119,Friend,-0.09903735,0.99989206,Leader,Frequently,Business,Community Plan,-0.02391949,0.055199403
Private,74.57236,39134.6,Bimonthly,Owned,3.5767307,No,2.7914822,Friend,-0.07447382,0.99998635,Leader,Frequently,Business,Community Plan,0.13293637,0.05298754
Private,87.48259,40141.895,Bimonthly,Owned,3.6762857,No,2.911519,Friend,-0.018061101,0.99988043,Leader,Frequently,Business,Community Plan,0.14189185,0.109248474
Private,85.23156,37670.152,Bimonthly,Owned,3.3083029,No,2.7055845,Friend,0.09669355,0.99988365,Leader,Frequently,Business,Community Plan,0.08709424,0.03875425
Private,82.89864,36361.605,Bimonthly,Owned,3.6695278,No,2.6025505,Friend,-0.08080501,0.999989,Leader,Frequently,Business,Community Plan,0.015716234,-0.19245689
Private,83.200836,38327.508,Bimonthly,Owned,3.2802107,No,2.8307788,Friend,0.19485566,0.9999581,Leader,Frequently,Business,Community Plan,0.01728538,-0.04204267
Private,88.74113,39368.6,Bimonthly,Owned,3.685132,No,2.6416554,Friend,-0.007129662,0.9999958,Leader,Frequently,Business,Community Plan,-0.1029341,0.10714823
Private,86.01959,37749.496,Bimonthly,Owned,3.312885,No,2.551439,Friend,0.18091623,0.9999534,Leader,Frequently,Business,Community Plan,0.11403497,0.04227291
Private,84.44244,40961.934,Bimonthly,Owned,3.319797,No,2.6668148,Friend,0.045317784,0.9999895,Leader,Frequently,Business,Community Plan,0.13315155,0.050994232
Private,86.05692,38563.93,Bimonthly,Owned,3.4596558,No,2.5972376,Friend,0.08312166,0.9999838,Leader,Frequently,Business,Community Plan,-0.11884725,-0.008973581
Private,84.93729,36408.418,Bimonthly,Owned,3.6041288,No,2.5199735,Friend,0.03709728,0.99998677,Leader,Frequently,Business,Community Plan,-0.054487195,0.054946832
Private,83.619865,36927.652,Bimonthly,Owned,3.5618885,No,2.6831014,Friend,-0.033936776,0.9999811,Leader,Frequently,Business,Community Plan,-0.035896603,0.023093006
Private,68.48866,37629.934,Bimonthly,Owned,3.371467,No,2.7602732,Friend,-0.07028022,0.9999951,Leader,Frequently,Business,Community Plan,-0.10401915,0.0799353
Private,91.154724,38482.48,Bimonthly,Owned,3.4011707,No,2.5424302,Friend,-0.123176135,0.99997026,Leader,Frequently,Business,Community Plan,0.09032583,0.02262899
Private,79.06067,40261.08,Bimonthly,Owned,3.5996742,No,2.5886776,Friend,-0.03139511,0.9999928,Leader,Frequently,Business,Community Plan,-0.07395052,0.13509338
Private,84.04741,39359.258,Bimonthly,Owned,3.540525,No,2.646848,Friend,-0.06741407,0.9999788,Leader,Frequently,Business,Community Plan,0.14103717,0.15509695
Private,80.72727,35230.293,Bimonthly,Owned,3.6107924,No,2.6765125,Friend,-0.2467079,0.9999639,Leader,Frequently,Business,Community Plan,-0.009203379,0.09606047
Private,79.213036,39634.273,Bimonthly,Owned,3.5510538,No,2.723469,Friend,-0.20307566,0.99999356,Leader,Frequently,Business,Community Plan,-0.010474813,0.12750606
Private,84.590004,36466.535,Bimonthly,Owned,3.5584977,No,2.618692,Friend,-0.1416579,0.99999046,Leader,Frequently,Business,Community Plan,0.11502599,0.08542333
Private,85.73706,37988.453,Bimonthly,Owned,3.4333763,No,2.705727,Friend,0.079096995,0.9999604,Leader,Frequently,Business,Community Plan,0.14324585,-0.0068439073
Private,82.26889,40650.598,Bimonthly,Owned,3.4935575,No,2.8349926,Friend,-0.08118348,0.9999927,Leader,Frequently,Business,Community Plan,0.12238796,0.03376371
Private,83.93267,38344.125,Bimonthly,Owned,3.3353167,No,2.7770624,Friend,0.014396865,0.99996096,Leader,Frequently,Business,Community Plan,0.018531451,0.021786878
Private,80.75958,40886.34,Bimonthly,Owned,3.699422,No,3.0023804,Friend,-0.041184418,0.99994254,Leader,Frequently,Business,Community Plan,0.15258491,-0.016225891
Private,83.715004,36148.555,Bimonthly,Owned,3.297006,No,2.7753313,Friend,-0.10025663,0.99997663,Leader,Frequently,Business,Community Plan,0.14117724,0.041111622
Private,87.62384,40544.82,Bimonthly,Owned,3.7655811,No,2.7873006,Friend,-0.045079313,0.9999814,Leader,Frequently,Business,Community Plan,0.114835866,0.01782958
Private,75.19748,36263.938,Bimonthly,Owned,3.354078,No,2.8397636,Friend,-0.08751611,0.99999267,Leader,Frequently,Business,Community Plan,-0.042158842,0.05725751
Private,84.38334,37173.707,Bimonthly,Owned,3.625444,No,2.5470967,Friend,0.004480507,0.9999893,Leader,Frequently,Business,Community Plan,-0.091154076,0.05008285
Private,82.33182,39098.414,Bimonthly,Owned,3.695119,No,2.7124603,Friend,-0.1525345,0.9999862,Leader,Frequently,Business,Community Plan,0.05949012,0.14781661
Private,81.92587,37849.273,Bimonthly,Owned,3.6033971,No,2.6909595,Friend,-0.048145138,0.99998355,Leader,Frequently,Business,Community Plan,0.09744626,0.06913567
Private,82.52631,37201.113,Bimonthly,Owned,3.5198746,No,2.8934143,Friend,0.087381616,0.9998826,Leader,Frequently,Business,Community Plan,-0.053598322,-0.09234173
Private,83.40601,39190.727,Bimonthly,Owned,3.4819016,No,2.8155074,Friend,-0.16694312,0.9999276,Leader,Frequently,Business,Community Plan,0.10803767,0.02658874
Private,90.11157,38007.43,Bimonthly,Owned,3.499584,No,2.3788016,Friend,-0.06652269,0.9999821,Leader,Frequently,Business,Community Plan,0.018090058,0.17596892
Private,84.10379,38753.027,Bimonthly,Owned,3.6603813,No,2.7446234,Friend,-0.161494,0.99998903,Leader,Frequently,Business,Community Plan,-0.07140309,0.24504027
Private,78.66553,39609.074,Bimonthly,Owned,3.722447,No,2.7671967,Friend,-0.07488831,0.9999961,Leader,Frequently,Business,Community Plan,-0.009893021,-0.0033346403
Private,80.87042,37779.47,Bimonthly,Owned,3.66853,No,2.7753165,Friend,-0.030665351,0.9999712,Leader,Frequently,Business,Community Plan,0.06795504,-0.023483878
Private,87.319046,39010.15,Bimonthly,Owned,3.3851078,No,2.52326,Friend,0.31876656,0.9999333,Leader,Frequently,Business,Community Plan,-0.048037592,-0.14424251
Private,80.997734,39016.21,Bimonthly,Owned,3.803631,No,2.7627244,Friend,-0.10192589,0.9999622,Leader,Frequently,Business,Community Plan,0.12534484,-0.116106175
Private,87.80118,37725.95,Bimonthly,Owned,3.5362089,No,2.412616,Friend,-0.019907061,0.9999819,Leader,Frequently,Business,Community Plan,0.06931971,-0.048356943
Private,85.49441,37809.973,Bimonthly,Owned,3.7162368,No,2.8398345,Friend,-0.08318776,0.9999879,Leader,Frequently,Business,Community Plan,0.08932102,-0.027542023
Private,81.82898,35054.78,Bimonthly,Owned,3.4317157,No,2.4599316,Friend,0.13279045,0.9999708,Leader,Frequently,Business,Community Plan,-0.008764933,-0.09923551
Private,84.61688,38918.29,Bimonthly,Owned,3.623197,No,2.6216114,Friend,0.029302342,0.9999874,Leader,Frequently,Business,Community Plan,-0.020489823,0.1411044
Private,78.40032,38412.027,Bimonthly,Owned,3.435169,No,2.771207,Friend,-0.088192895,0.99999416,Leader,Frequently,Business,Community Plan,0.055813197,0.027307773
